
[00:00:00.000 --> 00:00:07.640]  在我們在收奉獻的同時,我們讀一段聖經,在馬太福音第五章十四節到第十六節,
[00:00:07.640 --> 00:00:10.620]  主耶穌基督的話說,你們是世上的光,
[00:00:10.620 --> 00:00:13.320]  晨照在山上是不能夠隱藏的,
[00:00:13.320 --> 00:00:18.480]  人點燈不放在斗底下,是放在燈台上就照亮一家的人,
[00:00:18.480 --> 00:00:23.060]  你們的光也當這樣照在人前,叫他們看見你們的好行為,
[00:00:23.060 --> 00:00:26.160]  便將榮耀歸給你們在天上的父。
[00:00:26.160 --> 00:00:29.600]  第二段聖經是馬太福音十三章第三十三節,
[00:00:29.600 --> 00:00:33.040]  他又對他們講一個比喻說,天國好像面孝,
[00:00:33.040 --> 00:00:39.240]  有婦人拿來藏在山斗面裡,只等到全團都發起來。
[00:00:39.240 --> 00:00:41.240]  我們就讀到這裡。
[00:00:41.240 --> 00:00:44.540]  我想這個禮拜你有機會打開報紙的話,
[00:00:44.540 --> 00:00:49.580]  你發現充滿了驚心動魄的新聞,不是嗎?
[00:00:49.580 --> 00:00:52.720]  波士頓馬拉松賽跑的爆炸案,
[00:00:52.720 --> 00:00:59.120]  持續了一個禮拜,一直到禮拜五,才把嫌犯逮捕。
[00:00:59.120 --> 00:01:03.760]  德州的肥料廠爆炸案,死傷也不少人,
[00:01:03.760 --> 00:01:06.960]  還有很多人失蹤到現在下落不明。
[00:01:06.960 --> 00:01:11.600]  但是因為與波士頓這個爆炸案相比,缺乏新聞度,
[00:01:11.600 --> 00:01:14.480]  所以多半人不大知道詳情。
[00:01:14.480 --> 00:01:21.420]  再加上四川又一次地震,報紙說起碼死了超過兩百多人。
[00:01:21.420 --> 00:01:27.820]  哇,我們看見這真是充滿一個天災人禍的一個禮拜。
[00:01:27.820 --> 00:01:30.520]  第二點,今天我們所處的世代,
[00:01:30.520 --> 00:01:35.160]  真的是一個充滿恐懼跟不安的世代。
[00:01:35.160 --> 00:01:37.060]  我們在波士頓分堂,
[00:01:37.060 --> 00:01:40.960]  他們很多的孩子是在波士頓大學讀書的。
[00:01:40.960 --> 00:01:45.740]  禮拜五,他們被告訴他們說,整個學校停課,
[00:01:45.740 --> 00:01:51.240]  而且所有的學生都要停留在宿舍裡面,不准出來。
[00:01:51.240 --> 00:01:55.480]  連出來吃飯都必須要按照樓層,
[00:01:55.480 --> 00:01:58.080]  被學校叫到你的樓層,
[00:01:58.080 --> 00:02:02.360]  你才准離開你的宿舍到餐廳去吃飯。
[00:02:02.360 --> 00:02:03.360]  為什麼呢?
[00:02:03.360 --> 00:02:07.320]  因為怕被這個嫌疑犯劫持。
[00:02:07.320 --> 00:02:14.240]  你可以想像到這些孩子們整天在宿舍裡他們的心情嗎?
[00:02:14.240 --> 00:02:18.640]  這真是一個充滿恐懼跟不安的世代。
[00:02:18.640 --> 00:02:22.480]  這兩天當我看到這些新聞的時候,
[00:02:22.480 --> 00:02:26.120]  我心中就在思想兩個問題。
[00:02:26.120 --> 00:02:27.740]  第一個問題,
[00:02:27.740 --> 00:02:32.080]  就是這世界到底需要什麼呢?
[00:02:32.080 --> 00:02:33.680]  第二個問題,
[00:02:33.680 --> 00:02:36.960]  那到底教會能夠做什麼?
[00:02:36.960 --> 00:02:41.500]  神對教會的心意又是如何呢?
[00:02:41.500 --> 00:02:43.460]  面對第一個問題,
[00:02:43.460 --> 00:02:45.140]  我深深的相信,
[00:02:45.140 --> 00:02:48.840]  在這樣一個充滿破碎跟傷害的世界裡面,
[00:02:48.840 --> 00:02:54.240]  這個世界所最需要的不是更多的教條,
[00:02:54.240 --> 00:02:58.080]  這個世界所需要的也不是更多的律法,
[00:02:58.080 --> 00:02:59.880]  do's and don'ts。
[00:02:59.880 --> 00:03:02.520]  今天這個世界所需要的,
[00:03:02.520 --> 00:03:06.860]  乃是更多的愛跟關懷的行動。
[00:03:06.860 --> 00:03:12.360]  今天這個世界所需要的是更多帶給人盼望的信息,
[00:03:12.360 --> 00:03:16.000]  是更多帶給人盼望的幫助。
