
[00:00:00.000 --> 00:00:03.520]  多謝恩主讓我們今天再次來到你的說話面前
[00:00:03.520 --> 00:00:05.040]  一同去思想
[00:00:05.040 --> 00:00:08.880]  也感謝你讓我們再次可以透過你的說話
[00:00:08.880 --> 00:00:11.120]  去學習怎樣更趨成熟
[00:00:11.120 --> 00:00:12.560]  求主你的幫助
[00:00:12.560 --> 00:00:15.440]  讓我們能夠真正常常的在生命當中
[00:00:15.440 --> 00:00:16.880]  能夠更生變化
[00:00:16.880 --> 00:00:18.960]  因為不能更生變化的生命
[00:00:18.960 --> 00:00:20.480]  如同死鳥一樣
[00:00:20.480 --> 00:00:22.080]  所以求主你的幫助
[00:00:22.080 --> 00:00:25.360]  讓我們能夠在無論歌頌裏面
[00:00:25.360 --> 00:00:28.800]  或者思想學習主義上說話的時候
[00:00:28.800 --> 00:00:31.840]  我們都能夠真是不懼的去
[00:00:31.840 --> 00:00:33.360]  能夠更趨成熟
[00:00:33.360 --> 00:00:34.640]  更長遠處理
[00:00:34.640 --> 00:00:36.160]  祈禱奉主耶穌基督
[00:00:36.160 --> 00:00:37.120]  得聖的名字
[00:00:37.120 --> 00:00:38.640]  以及安和的安穩
[00:00:38.640 --> 00:00:42.240]  過去用了接近一年的時間
[00:00:42.240 --> 00:00:44.000]  去完成了啟示錄
[00:00:44.000 --> 00:00:46.240]  我們過去將近一年的時間
[00:00:46.240 --> 00:00:49.120]  接受啟示錄的講座
[00:00:49.120 --> 00:00:50.480]  對於我自己來計
[00:00:50.480 --> 00:00:53.760]  也可以說是完成了一個心願
[00:00:53.760 --> 00:00:56.320]  跟我自己來說也是完成了一個心願
[00:00:58.080 --> 00:00:59.440]  因為在很多年裏面
[00:00:59.440 --> 00:01:01.920]  看見太多信徒對啟示錄的誤解
[00:01:01.920 --> 00:01:04.000]  在過去這麼多年裏面
[00:01:04.000 --> 00:01:06.720]  看到很多信徒對啟示錄的誤解
[00:01:06.720 --> 00:01:08.240]  當我們了解了
[00:01:08.240 --> 00:01:10.880]  原來我們的誤解是需要去改變之後
[00:01:10.880 --> 00:01:14.160]  當我們了解到我們誤解需要去改變的時候
[00:01:14.160 --> 00:01:16.400]  原來我們是有很多軟弱的地方
[00:01:16.400 --> 00:01:18.320]  我們有很多軟弱的地方
[00:01:18.320 --> 00:01:20.320]  我們有很多不完美的地方
[00:01:20.320 --> 00:01:22.560]  我們有很多不完美的地方
[00:01:22.560 --> 00:01:23.760]  那下一步做什麼呢
[00:01:23.760 --> 00:01:25.600]  我們下一步該做什麼呢
[00:01:25.600 --> 00:01:26.640]  作為一個牧者
[00:01:26.640 --> 00:01:28.720]  很多時候在這個時候要思想
[00:01:28.720 --> 00:01:32.400]  下一步我們應該在哪一個神的道理上學習
[00:01:32.400 --> 00:01:34.320]  作為一個牧者就要去思考
[00:01:34.320 --> 00:01:36.800]  我們下一步應該在哪一方面
[00:01:36.800 --> 00:01:38.720]  下功夫去學習什麼法律
[00:01:38.720 --> 00:01:42.160]  我就想到在《新約聖經》裏面的教牧書信
[00:01:42.160 --> 00:01:45.120]  我就想到新約的教牧書信
[00:01:45.120 --> 00:01:47.840]  很多人對於教牧書信的理解
[00:01:47.840 --> 00:01:49.440]  都有一種偏見
[00:01:49.440 --> 00:01:52.240]  很多人對教牧書信的理解都有一種偏見
[00:01:52.240 --> 00:01:54.160]  在《新約聖經》裏面有三本書
[00:01:54.160 --> 00:01:55.680]  合稱為教牧書信
[00:01:55.680 --> 00:01:57.440]  在《新約聖經》裏面有三本書
[00:01:57.440 --> 00:01:58.560]  合稱為教牧書信
[00:01:58.560 --> 00:02:00.480]  包括提摩太前書
[00:02:00.480 --> 00:02:01.760]  包括提摩太前書
[00:02:01.760 --> 00:02:03.040]  提摩太後書
[00:02:03.040 --> 00:02:03.920]  提摩太後書
[00:02:03.920 --> 00:02:05.360]  和提多書
[00:02:05.360 --> 00:02:06.400]  和提多書
[00:02:06.400 --> 00:02:08.240]  在這三本書信裏面
[00:02:08.240 --> 00:02:09.520]  在這三本書信裏面
