
[00:00:00.000 --> 00:00:04.220]  陳志全:早上好,連續很多堂都是在講大衛的新評
[00:00:04.220 --> 00:00:09.420]  今天我們要暫停,我們試一下去留意一個比較近期的
[00:00:09.420 --> 00:00:16.740]  和我們生活比較貼身的問題,在訊息裡面,怎樣回應我們的生活
[00:00:16.740 --> 00:00:18.540]  愛國的月亮圓嗎?
[00:00:18.540 --> 00:00:22.980]  我想大家可能都會有聯想到我想講什麼的
[00:00:22.980 --> 00:00:28.700]  這句話其實可以在不同的情境裡面講,都有不同的情況的
[00:00:28.700 --> 00:00:32.900]  我試一下這樣,看大家會怎樣意會這句話
[00:00:32.900 --> 00:00:39.220]  你好啦,去英國了,那邊是不是什麼都比香港好的?
[00:00:39.220 --> 00:00:46.360]  唉,好自由啊,教育好,我剛才的語氣錯了一點,再來一次,不好意思
[00:00:46.360 --> 00:00:51.420]  唉,真的好,你可以去到英國,那邊是不是什麼都比香港好的?
[00:00:51.420 --> 00:00:54.780]  教育好一點,又自由一點,心情也好一點
[00:00:54.780 --> 00:00:57.300]  不知道那邊的月亮是不是真的好一點呢?
[00:00:57.300 --> 00:00:59.840]  這個是一個心情,不知道大家能不能感受到
[00:00:59.840 --> 00:01:06.020]  可能我的演技還是差一點點,第二個,好,第二個,第二個可能容易一點
[00:01:06.020 --> 00:01:08.780]  英國和香港是不是有疫情?
[00:01:08.780 --> 00:01:11.820]  英國的月餅,我不信它比香港好了
[00:01:11.820 --> 00:01:18.060]  然後那些高途大馬的人擋著你看月光,那邊的月亮是不是圓一點呢?
[00:01:18.060 --> 00:01:23.080]  不過其實呢,我最想大家用一個心情去看
[00:01:23.080 --> 00:01:29.380]  因為這句話就是我早一個月,我們的舊同學的WhatsApp群組
[00:01:29.380 --> 00:01:36.340]  我有一個同學去了英國移民,剛剛中秋節,同學彼此問候
[00:01:36.340 --> 00:01:40.520]  問一下外國的月亮是不是圓一點,是這樣的背景說的
[00:01:40.520 --> 00:01:45.700]  就是這樣說,你認不認識當地的環境啊?
[00:01:45.700 --> 00:01:52.320]  是不是和家人一起慶祝中秋啊,賞月啊,有沒有想念香港啊?
[00:01:52.320 --> 00:01:53.620]  大家聽不聽得到分別啊?
[00:01:53.620 --> 00:01:57.900]  就是同一句話,不知道你會用什麼心情去跟別人說
[00:01:57.900 --> 00:02:02.220]  但是我們也知道,其實接下來可能也有很多人會移民
[00:02:02.220 --> 00:02:06.980]  我們都是關心的態度,去跟我們身邊的人去接觸
[00:02:06.980 --> 00:02:12.320]  當我有機會參加一些不同的講座,就是關於這個題目的時候
[00:02:12.320 --> 00:02:17.440]  有一位牧師,就是馬鞍峰教會的主任牧師Steven,李志哥牧師
[00:02:17.440 --> 00:02:22.200]  他搜集了資料之後,他有這樣的預測,大家覺得這個可不可以信呢?
[00:02:22.200 --> 00:02:28.440]  就是未來三至五年裡面,香港可能有七十五至一百萬人會離開香港
[00:02:28.440 --> 00:02:31.840]  包括移民,包括去海外升學等等
[00:02:31.840 --> 00:02:34.100]  大家聽完這個數字覺得怎麼樣呢?
[00:02:34.100 --> 00:02:40.980]  那我給大家舉三個方向舉,如果你覺得這個方向太多了,太誇張了
[00:02:40.980 --> 00:02:44.520]  就一個,或者你也覺得很可信
[00:02:44.520 --> 00:02:47.740]  或者另外一個就低估了不止這麼多
[00:02:47.740 --> 00:02:50.780]  首先你覺得這個數字太誇張了,請舉手
[00:02:50.780 --> 00:02:53.300]  太誇張了,好,見到,見到,麻煩你
[00:02:53.300 --> 00:02:55.960]  你覺得這個都可信的,請舉手
[00:02:55.960 --> 00:02:57.380]  可以接受的
[00:02:57.380 --> 00:03:01.400]  你覺得低估了,還可能要多一點
[00:03:01.400 --> 00:03:05.380]  好像很多人還在想事情,還沒有反應得到,好
[00:03:05.380 --> 00:03:06.600]  不過不要緊
[00:03:06.600 --> 00:03:11.120]  不過根據分析,其實大部分想去移民的人
[00:03:11.120 --> 00:03:17.360]  都可能是在四十至五十五歲這個範圍裡面
[00:03:17.360 --> 00:03:23.820]  可能是全家移民的,就是四十至五十歲都結婚了,有子女
[00:03:23.820 --> 00:03:28.820]  另外一個大的群體就可能是十八至二十五歲
[00:03:28.820 --> 00:03:32.940]  可能是單身的,過去去讀書或者去找工作
