
[00:00:00.000 --> 00:00:04.080]  今天跟大家來思想一個新的系列
[00:00:04.080 --> 00:00:06.680]  就是「認識永活的神」
[00:00:06.680 --> 00:00:09.440]  為何會想起這個系列呢?
[00:00:09.440 --> 00:00:10.920]  或者其實就說一點
[00:00:10.920 --> 00:00:16.320]  就是因為我們之前平時都是逐張逐張聖經來講的
[00:00:16.320 --> 00:00:17.960]  當然一直這樣講的時候
[00:00:17.960 --> 00:00:20.440]  其實都可以幫助我們認識聖經
[00:00:20.440 --> 00:00:21.720]  但是我想一下
[00:00:21.720 --> 00:00:24.280]  可能其實希望今次開始
[00:00:24.280 --> 00:00:26.560]  就是希望講這個系列
[00:00:26.560 --> 00:00:31.800]  就不只是一章一章或者一段一段這樣講
[00:00:31.800 --> 00:00:33.640]  因為有些的題目本身
[00:00:33.640 --> 00:00:37.440]  可能是整本聖經是在不同的位置的
[00:00:37.440 --> 00:00:39.480]  就是如果是逐章逐章這樣講
[00:00:39.480 --> 00:00:41.080]  有那個的重要性
[00:00:41.080 --> 00:00:44.200]  因為你是在聖經的當中
[00:00:44.200 --> 00:00:45.400]  你有上文下理
[00:00:45.400 --> 00:00:46.520]  這樣來理解聖經
[00:00:46.520 --> 00:00:47.880]  這個是非常之重要的
[00:00:47.880 --> 00:00:49.960]  因為我們不能夠斷章取義的
[00:00:49.960 --> 00:00:53.480]  但是有一些綜合性的內容
[00:00:53.480 --> 00:00:54.960]  其實整本聖經
[00:00:54.960 --> 00:00:58.760]  由新約到舊約都有連貫性這樣講的時候
[00:00:58.760 --> 00:01:04.160]  如果就可能這樣就比較難去掌握
[00:01:04.160 --> 00:01:05.560]  第一天早上我讀起聖經上來
[00:01:05.560 --> 00:01:07.480]  那時候有些觀念
[00:01:07.480 --> 00:01:09.640]  又不是沒有聽過
[00:01:09.640 --> 00:01:11.720]  也不是不懂
[00:01:11.720 --> 00:01:14.720]  但是好像要掌握起來
[00:01:14.720 --> 00:01:18.560]  綜合這麼多的經文的資料的時候
[00:01:18.560 --> 00:01:21.520]  似乎又好像有一點不是那麼有系統
[00:01:21.520 --> 00:01:24.720]  所以就想講這個系列
[00:01:24.720 --> 00:01:25.960]  就讓我們一起來思想
[00:01:25.960 --> 00:01:28.160]  究竟我們所敬拜這位的神
[00:01:28.160 --> 00:01:30.080]  究竟是一位怎樣的神呢?
[00:01:30.080 --> 00:01:31.240]  聖經當中
[00:01:31.240 --> 00:01:33.520]  祂啟示給我們
[00:01:33.520 --> 00:01:37.120]  祂自己來揭示祂是一位怎樣的神
[00:01:37.120 --> 00:01:38.640]  希望藉著這個系列
[00:01:38.640 --> 00:01:40.640]  我們一起來去反思
