
[00:00:00.000 --> 00:00:05.500]  同學呼音12章49至53節
[00:00:05.500 --> 00:00:07.200]  我們一起讀一次好嗎
[00:00:07.200 --> 00:00:09.200]  好,我們一起讀
[00:00:09.200 --> 00:00:12.500]  我來要把火雕在地上
[00:00:12.500 --> 00:00:15.000]  倘若已經看起來
[00:00:15.000 --> 00:00:18.500]  我不也事我所願意的嗎
[00:00:18.500 --> 00:00:22.500]  我有當受的洗還沒有成就
[00:00:22.500 --> 00:00:25.500]  我是何等地迫切呢
[00:00:25.500 --> 00:00:29.700]  你們以為我來是叫地上太平嗎
[00:00:29.700 --> 00:00:34.200]  我告訴你們,不時乃是叫紛爭
[00:00:34.200 --> 00:00:39.200]  從今以後,日加五個人將要紛爭
[00:00:39.200 --> 00:00:42.200]  三個人和兩個人相爭
[00:00:42.200 --> 00:00:45.200]  兩個人和三個人相爭
[00:00:45.200 --> 00:00:47.700]  父親和兒子相爭
[00:00:47.700 --> 00:00:49.700]  兒子和父親相爭
[00:00:49.700 --> 00:00:52.200]  母親和女兒相爭
[00:00:52.200 --> 00:00:54.700]  女兒和母親相爭
[00:00:54.700 --> 00:00:56.700]  婆婆和媳婦相爭
[00:00:56.700 --> 00:00:58.700]  媳婦和婆婆相爭
[00:00:58.700 --> 00:01:01.700]  我讀一次英文是吧
[00:01:01.700 --> 00:01:03.700]  NRSV版本
[00:01:03.700 --> 00:01:06.700]  我來要把火雕在地上
[00:01:06.700 --> 00:01:10.700]  倘若已經看起來
[00:01:10.700 --> 00:01:14.700]  我有當受的洗還沒有成就
[00:01:14.700 --> 00:01:18.700]  我是何等地迫切呢
[00:01:18.700 --> 00:01:23.700]  你們以為我來是叫地上太平嗎
[00:01:23.700 --> 00:01:27.700]  我告訴你們,不時乃是叫紛爭
[00:01:27.700 --> 00:01:31.700]  從今以後,日加五個人將要紛爭
[00:01:31.700 --> 00:01:35.700]  三個人和兩個人相爭
[00:01:35.700 --> 00:01:37.700]  兩個人相爭
[00:01:37.700 --> 00:01:40.700]  父親和兒子相爭
[00:01:40.700 --> 00:01:44.700]  母親和女兒相爭
[00:01:44.700 --> 00:01:47.700]  母親和媳婦相爭
[00:01:47.700 --> 00:01:50.700]  媳婦和媳婦相爭
[00:01:50.700 --> 00:01:58.700]  一段很有趣的經文,想和大家分享有兩個原因
[00:01:58.700 --> 00:02:01.700]  其中一個原因就是
[00:02:01.700 --> 00:02:07.700]  一,我們會說活後的經文,主的崇拜
[00:02:07.700 --> 00:02:10.700]  所以我想和大家分享這段聖經
[00:02:10.700 --> 00:02:20.700]  另一個原因是,這段聖經和我們今天所祈禱的東西有很大分別
[00:02:20.700 --> 00:02:22.700]  甚至可以說是相反
