
[00:00:00.000 --> 00:00:02.000]  和你旁邊的人給他鼓勵
[00:00:02.000 --> 00:00:05.000]  他今天仍然回來實體崇拜
[00:00:05.000 --> 00:00:09.000]  我知道有部分大英姊妹可能都是在家裡
[00:00:09.000 --> 00:00:11.000]  來敬拜
[00:00:11.000 --> 00:00:12.000]  不要緊
[00:00:12.000 --> 00:00:14.000]  讓我們在聽到之先
[00:00:14.000 --> 00:00:17.000]  我們一起有一個禱告
[00:00:17.000 --> 00:00:23.000]  蔡恩主我們無論是在禮堂裡
[00:00:23.000 --> 00:00:26.000]  還是在網上
[00:00:26.000 --> 00:00:31.000]  我們都是同心的來敬拜你
[00:00:31.000 --> 00:00:33.000]  也在你的面前
[00:00:33.000 --> 00:00:37.000]  我們恭敬的領袖從你而來的話
[00:00:37.000 --> 00:00:41.000]  求主教導我們謙卑我們的心
[00:00:41.000 --> 00:00:44.000]  讓你的靈來引導
[00:00:44.000 --> 00:00:47.000]  讓我們無論聽的說的
[00:00:47.000 --> 00:00:50.000]  願你的話進入我們的心
[00:00:50.000 --> 00:00:52.000]  進入我們的生命
[00:00:52.000 --> 00:00:56.000]  讓你的聖言更新我們鼓勵我們
[00:00:56.000 --> 00:00:57.000]  我們這樣祈禱
[00:00:57.000 --> 00:00:58.000]  奉主名求
[00:00:58.000 --> 00:01:00.000]  阿們
[00:01:00.000 --> 00:01:01.000]  好
[00:01:01.000 --> 00:01:04.000]  我在網上看到一篇文章
[00:01:04.000 --> 00:01:09.000]  就說在美國曾經做過一個調查
[00:01:09.000 --> 00:01:14.000]  就是說人在一天裡要面對70個選擇
[00:01:14.000 --> 00:01:18.000]  那你有沒有數過你每一天做了多少個選擇
[00:01:18.000 --> 00:01:20.000]  那我試試就數吧
[00:01:20.000 --> 00:01:22.000]  由早上起床開始
[00:01:22.000 --> 00:01:27.000]  就想一下究竟先下床還是先躺下床
[00:01:27.000 --> 00:01:30.000]  然後就起床了
[00:01:30.000 --> 00:01:33.000]  就想一下今天穿什麼衣服
[00:01:33.000 --> 00:01:37.000]  接著就可能又要去想一下
[00:01:37.000 --> 00:01:40.000]  外出吃早餐好還是去家裡吃好
[00:01:40.000 --> 00:01:43.000]  下去吃完早餐
[00:01:43.000 --> 00:01:45.000]  下去就想一下
[00:01:45.000 --> 00:01:49.000]  今天應該搭巴士還是搭地鐵
[00:01:49.000 --> 00:01:50.000]  不知道會不會又壞了
[00:01:50.000 --> 00:01:51.000]  就是我住的區
[00:01:51.000 --> 00:01:53.000]  前兩天又壞完了
[00:01:53.000 --> 00:01:59.000]  其實人生真的有很多大大小小的抉擇
[00:01:59.000 --> 00:02:04.000]  當然剛才那些都是日常生活的決定
[00:02:04.000 --> 00:02:07.000]  但是大的決定都不少
[00:02:07.000 --> 00:02:11.000]  剛剛過去這個禮拜就是DSE放榜
[00:02:11.000 --> 00:02:15.000]  我都看到今年的考生喜愛當中
[00:02:15.000 --> 00:02:18.000]  在我當中其實都有幾位的年輕人
[00:02:18.000 --> 00:02:20.000]  其實我想他們這幾天
[00:02:20.000 --> 00:02:23.000]  都是很認真去思考
[00:02:23.000 --> 00:02:28.000]  為他們未來的升學去廢殺思量
[00:02:28.000 --> 00:02:30.000]  究竟讀什麼課程好呢
[00:02:30.000 --> 00:02:33.000]  讀哪一科在哪裏讀
[00:02:33.000 --> 00:02:34.000]  在香港讀吧
[00:02:34.000 --> 00:02:36.000]  因為去外國讀
[00:02:36.000 --> 00:02:37.000]  我們都紀念他們
[00:02:37.000 --> 00:02:41.000]  求主幫助他們做一個合意的選擇
[00:02:41.000 --> 00:02:44.000]  其實人生不同的階段
[00:02:44.000 --> 00:02:46.000]  都有不同的選擇
[00:02:46.000 --> 00:02:48.000]  剛才說了讀書
[00:02:48.000 --> 00:02:51.000]  讀完書出來畢業進入職場
[00:02:51.000 --> 00:02:54.000]  同樣要選擇做什麼工作好呢
[00:02:54.000 --> 00:02:56.000]  特別現在的工作少了
[00:02:56.000 --> 00:02:59.000]  讀過科又好像沒什麼前途
[00:02:59.000 --> 00:03:00.000]  那怎麼辦呢
[00:03:00.000 --> 00:03:03.000]  做完工作然後做了幾年
[00:03:03.000 --> 00:03:05.000]  又想想轉不轉工作好
[00:03:05.000 --> 00:03:08.000]  甚至轉不轉行
[00:03:08.000 --> 00:03:10.000]  真的想到頭都大了
[00:03:10.000 --> 00:03:14.000]  還有人生的抉擇當然會包括
[00:03:14.000 --> 00:03:16.000]  拍拖結不結婚
[00:03:16.000 --> 00:03:19.000]  結了婚生不生小朋友
[00:03:19.000 --> 00:03:20.000]  到年長一點了
[00:03:20.000 --> 00:03:22.000]  接著又想
[00:03:22.000 --> 00:03:24.000]  那什麼時候退休呢
[00:03:24.000 --> 00:03:25.000]  退休怎樣退呢
[00:03:25.000 --> 00:03:27.000]  我最近有些朋友就在想
[00:03:27.000 --> 00:03:32.000]  退休是不是要離開香港去大灣區
[00:03:32.000 --> 00:03:35.000]  不斷有很多問題
[00:03:35.000 --> 00:03:39.000]  那究竟如果一天要做70個選擇
[00:03:39.000 --> 00:03:43.000]  你想想你一生人要做多少個選擇呢
[00:03:43.000 --> 00:03:50.000]  那我們怎樣可以有智慧去做選擇呢
[00:03:50.000 --> 00:03:52.000]  今天我們所看的經文
[00:03:52.000 --> 00:03:55.000]  其實是關於兩個人物的選擇
[00:03:55.000 --> 00:03:59.000]  就是阿伯蘭和他的侄子羅德
[00:03:59.000 --> 00:04:01.000]  這段經文所記載的
[00:04:01.000 --> 00:04:05.000]  同樣是連於在第十二章一至九節
[00:04:05.000 --> 00:04:11.000]  那裡所說阿伯蘭的應許之後發生的事
[00:04:11.000 --> 00:04:14.000]  阿伯蘭本來住在悟爾
[00:04:14.000 --> 00:04:16.000]  不過後來去了哈蘭
[00:04:16.000 --> 00:04:21.000]  他就在哈蘭領受上帝的啟示和應許
[00:04:21.000 --> 00:04:24.000]  接著就在十二章一至九節那裡
[00:04:24.000 --> 00:04:28.000]  神應許他要成為大國後裔眾多
[00:04:28.000 --> 00:04:34.000]  並且要將迦南地賜給他的後裔
[00:04:34.000 --> 00:04:37.000]  接著他就離開了哈蘭
[00:04:37.000 --> 00:04:38.000]  就去到迦南地了
[00:04:38.000 --> 00:04:42.000]  去到迦南地的時候卻因為遇上饑荒
[00:04:42.000 --> 00:04:45.000]  他的第一個危機
[00:04:45.000 --> 00:04:49.000]  於是他就由迦南地去了埃及
[00:04:49.000 --> 00:04:51.000]  上個星期《眾話傳道》
[00:04:51.000 --> 00:04:54.000]  就和我們分享了阿伯蘭去到埃及
