
[00:00:00.000 --> 00:00:02.760]  其實這個世界是不斷改變中
[00:00:02.760 --> 00:00:05.240]  我們很深信在不斷的改變中
[00:00:05.240 --> 00:00:08.120]  我們看到無論在社會學來說
[00:00:08.120 --> 00:00:09.920]  這個是後現代的世界
[00:00:09.920 --> 00:00:12.720]  甚至是最近一期的時代記錄片
[00:00:12.720 --> 00:00:14.800]  是美國時代記錄片的封面
[00:00:14.800 --> 00:00:16.000]  是很強調的
[00:00:16.000 --> 00:00:18.600]  這個世代是一個自我的世代
[00:00:18.600 --> 00:00:20.320]  是一個我的世代
[00:00:20.320 --> 00:00:21.680]  換言之在這個世代裡
[00:00:21.680 --> 00:00:25.520]  我們如何將福音帶給我們身邊的人
[00:00:25.520 --> 00:00:26.880]  我們絕不滿足
[00:00:26.880 --> 00:00:32.840]  今天香港來來去去都是只有三十多四十萬的基督徒的數字
[00:00:32.840 --> 00:00:34.160]  不是回教會
[00:00:34.160 --> 00:00:37.320]  是基督徒的數字大概三十多四十多萬
[00:00:37.320 --> 00:00:40.080]  所以來來去去都是一個這樣的數字
[00:00:40.080 --> 00:00:46.080]  來來去去都是一個5%的香港人口的基督徒的數字
[00:00:46.080 --> 00:00:50.880]  但我們很深信今天福音是神的大能
[00:00:50.880 --> 00:00:53.480]  福音是能夠拯救人的生命
[00:00:53.480 --> 00:00:55.840]  福音是能夠轉化人的生命
[00:00:55.840 --> 00:00:58.640]  所以我們願意繼續用不同的方式
[00:00:58.640 --> 00:01:02.080]  將福音帶給不同的對象
[00:01:02.080 --> 00:01:03.840]  我們有世界盃
[00:01:03.840 --> 00:01:07.400]  我們很希望能夠透過一個這樣的盛事
[00:01:07.400 --> 00:01:09.280]  四年一次的這樣的盛事
[00:01:09.280 --> 00:01:11.640]  我們能夠可以將福音
[00:01:11.640 --> 00:01:15.800]  透過一些不同的方式在當中分享
[00:01:15.800 --> 00:01:19.360]  我們同樣會有不同的形式的聚會
[00:01:19.360 --> 00:01:20.920]  無論我們去新醫館也好
[00:01:20.920 --> 00:01:28.400]  或者年底我們又會去到灣仔的福音中心也好
[00:01:28.400 --> 00:01:29.680]  我們不同的機會
[00:01:29.680 --> 00:01:33.120]  我們都很想將福音帶給不同的對象
[00:01:33.120 --> 00:01:34.840]  所以祈求天父繼續幫助我們
[00:01:34.840 --> 00:01:37.800]  今天當然我們去到第三堂
[00:01:37.800 --> 00:01:41.320]  第三篇講章是講以斯帖記
[00:01:41.320 --> 00:01:45.840]  以斯帖記我在第一篇第二篇的講道那邊
[00:01:45.840 --> 00:01:51.120]  我們已經提過其實以斯帖的經文那邊
[00:01:51.120 --> 00:01:54.240]  是沒有出現過「神」這個字
[00:01:54.240 --> 00:01:56.480]  沒有出現過「主」這個字
[00:01:56.480 --> 00:01:59.000]  在我們的希伯文聖經
[00:01:59.000 --> 00:02:00.960]  在我們的中文聖經
[00:02:00.960 --> 00:02:02.640]  甚至英文聖經那邊
[00:02:02.640 --> 00:02:06.600]  都沒有出現過「主」或者「神」這個字
[00:02:06.600 --> 00:02:09.880]  也沒有出現過任何我們信徒的
[00:02:09.880 --> 00:02:13.880]  所謂一些的信仰的禮儀
[00:02:13.880 --> 00:02:15.080]  也沒有出現過
[00:02:15.080 --> 00:02:18.400]  甚至沒有聽過他們去祈禱
[00:02:18.400 --> 00:02:21.040]  縱然在禁食那邊有沒有祈禱
[00:02:21.040 --> 00:02:22.760]  我們看回聖經
[00:02:22.760 --> 00:02:25.000]  很多時候都說禁食一定有祈禱
[00:02:25.000 --> 00:02:27.560]  不過在以斯帖記那邊
[00:02:27.560 --> 00:02:32.280]  只是單單提了禁食卻沒有提到禱告
[00:02:32.280 --> 00:02:38.360]  是否真的以斯帖沒有任何的禱告在內容那邊
[00:02:38.360 --> 00:02:40.880]  所以這本書很特別
[00:02:40.880 --> 00:02:45.000]  和其他六十五本書有一個很獨特的地方
[00:02:45.000 --> 00:02:48.760]  但是上帝將這本書放在聖經那邊
[00:02:48.760 --> 00:02:51.960]  成為六十個卷的其中一卷
[00:02:51.960 --> 00:02:53.720]  我相信一定有祂的心意
[00:02:53.720 --> 00:02:56.200]  這個心意就是在我們人生路上
[00:02:56.200 --> 00:02:58.560]  很多時候我們祈禱
[00:02:58.560 --> 00:03:00.240]  好像上帝不在
[00:03:00.240 --> 00:03:02.400]  上帝沒有回應我們的祈禱
[00:03:02.400 --> 00:03:05.120]  很多時候我們在教會上崇拜
[00:03:05.120 --> 00:03:06.520]  有時候我們敬拜
[00:03:06.520 --> 00:03:07.320]  很感動
[00:03:07.320 --> 00:03:08.560]  真的很感動
[00:03:08.560 --> 00:03:10.440]  但是有時候回來教會崇拜
[00:03:10.440 --> 00:03:12.400]  就覺得沒有什麼特別
[00:03:12.400 --> 00:03:15.200]  是不是上帝今天不在我們當中
[00:03:15.200 --> 00:03:17.840]  但是在我們的神學觀
[00:03:17.840 --> 00:03:20.040]  我們很相信一個觀點
[00:03:20.040 --> 00:03:23.280]  上帝是無所不在的
[00:03:23.280 --> 00:03:26.120]  就算今天你感覺得到
[00:03:26.120 --> 00:03:27.640]  感覺不到上帝
[00:03:27.640 --> 00:03:29.960]  其實上帝也在這裡
[00:03:29.960 --> 00:03:31.480]  以致我們很深信
[00:03:31.480 --> 00:03:34.760]  我們的感覺有時候未必一定像上帝在這裡
[00:03:34.760 --> 00:03:36.520]  正如以斯帖記那邊
[00:03:36.520 --> 00:03:38.120]  他好像從來沒有提過上帝
[00:03:38.120 --> 00:03:42.400]  但是我相信這個神,這隻無形的手
[00:03:42.400 --> 00:03:46.480]  其實在整個以斯帖的歷史當中
[00:03:46.480 --> 00:03:49.400]  在波斯國的歷史裡面
[00:03:49.400 --> 00:03:54.480]  這個無形之手仍然在推動整個歷史
[00:03:54.480 --> 00:03:56.640]  以致到今天我深信香港
[00:03:56.640 --> 00:03:57.840]  縱然大家會覺得
[00:03:57.840 --> 00:03:59.520]  哇,香港這個世界
[00:03:59.520 --> 00:04:01.520]  這個城市已經變了很多
[00:04:01.520 --> 00:04:04.320]  特別我這個年紀
[00:04:04.320 --> 00:04:06.400]  由我小到現在
[00:04:06.400 --> 00:04:09.440]  我發覺香港真的很多轉變
[00:04:09.440 --> 00:04:10.760]  不過我們要接受
[00:04:10.760 --> 00:04:12.320]  轉變一定有
[00:04:12.320 --> 00:04:15.080]  但是我們怎樣去面對這個轉變
[00:04:15.080 --> 00:04:17.040]  但是有一樣東西是不變的
[00:04:17.040 --> 00:04:19.160]  就是真理不變
[00:04:19.160 --> 00:04:21.760]  所以我們要將這個不變的真理
[00:04:21.760 --> 00:04:25.960]  來去傳揚在這個多變的世代當中
[00:04:25.960 --> 00:04:27.400]  所以祈求天父幫助我們
[00:04:27.400 --> 00:04:29.800]  而今天我講到的題目
[00:04:29.800 --> 00:04:32.760]  是一個很難講的題目
[00:04:32.760 --> 00:04:34.760]  就是講到等候
[00:04:34.760 --> 00:04:35.800]  Wait
[00:04:35.800 --> 00:04:37.080]  我的題目就是
[00:04:37.080 --> 00:04:40.920]  等候顯明神的大能
[00:04:40.920 --> 00:04:42.520]  其實等候對於香港人
