
[00:00:00.000 --> 00:00:03.000]  今天早上是直接播快了一個小時
[00:00:03.000 --> 00:00:07.000]  看到大家能敬拜主 非常地感恩
[00:00:07.000 --> 00:00:17.000]  每一位都是有福的人
[00:00:17.000 --> 00:00:23.000]  去年我在國語堂分享了以斯拉記和詩篇
[00:00:23.000 --> 00:00:28.000]  去年我在國語堂分享了以斯拉記和詩篇
[00:00:31.000 --> 00:00:34.000]  為什麼這兩本書我要連在一起分享呢
[00:00:34.000 --> 00:00:38.000]  因為以斯拉記最後的結尾是
[00:00:38.000 --> 00:00:43.000]  神藉著以斯拉重建祂的聖名 以斯列名
[00:00:43.000 --> 00:00:47.000]  因為以斯拉記最後是神藉著祂的名
[00:00:47.000 --> 00:00:49.000]  重建以色列的聖文
[00:00:49.000 --> 00:00:53.000]  也就是讓神的子民回到耶和華
[00:00:53.000 --> 00:00:55.000]  上帝的面前來
[00:00:55.000 --> 00:00:57.000]  也就是藉著神的話語
[00:00:57.000 --> 00:01:00.000]  讓上帝的子民再次回到神的身邊
[00:01:00.000 --> 00:01:04.000]  這項使命比想像的複雜得多
[00:01:04.000 --> 00:01:08.000]  這項使命比想像的複雜得多
[00:01:08.000 --> 00:01:14.000]  因為以色列人雖然回到了應許之地
[00:01:14.000 --> 00:01:17.000]  但是他們時不時的遠離神
[00:01:17.000 --> 00:01:21.000]  因為雖然以色列人返回神給他們的應許之地
[00:01:21.000 --> 00:01:24.000]  但是他們時不時都會離開神
[00:01:24.000 --> 00:01:28.000]  所以又一次又一次的洩露到罪惡的深淵當中
[00:01:28.000 --> 00:01:32.000]  所以他們一次又一次的陷入到罪惡的深淵當中
[00:01:32.000 --> 00:01:37.000]  因此以色列意識到
[00:01:37.000 --> 00:01:41.000]  必須讓信仰進入到以色列人的日常生活當中
[00:01:41.000 --> 00:01:44.000]  而不是僅僅停留在聖殿裡面
[00:01:44.000 --> 00:01:49.000]  所以他知道要給信仰進入到人的生活之中
[00:01:49.000 --> 00:01:53.000]  而不是單單只是停在一個信仰那裡
[00:01:53.000 --> 00:01:56.000]  可能弟兄姊妹有聽到過一句話
[00:01:56.000 --> 00:01:59.000]  我們不要單做禮拜天的基督徒
[00:01:59.000 --> 00:02:02.000]  而是要做每一天的基督徒
[00:02:02.000 --> 00:02:04.000]  大家大英姊妹可能都聽過一句話
[00:02:04.000 --> 00:02:07.000]  就是我們不要只是做星期天的基督徒
[00:02:07.000 --> 00:02:09.000]  而是要做每一天的基督徒
[00:02:09.000 --> 00:02:11.000]  這其實是一樣的道理
[00:02:11.000 --> 00:02:16.000]  就是讓我們在日常生活當中都活出我們的信仰
[00:02:16.000 --> 00:02:18.000]  這個其實是同一個意思的
[00:02:18.000 --> 00:02:21.000]  就是要我們不要只是在星期天去做基督徒
[00:02:21.000 --> 00:02:23.000]  而是每一天都要活出我們的信仰
[00:02:23.000 --> 00:02:25.000]  無論是順境或逆境
[00:02:25.000 --> 00:02:27.000]  無論是悲傷或喜樂
[00:02:27.000 --> 00:02:30.000]  都來到神的面前敬拜主
[00:02:30.000 --> 00:02:32.000]  無論是順境逆境
[00:02:32.000 --> 00:02:34.000]  無論你是悲傷或者喜樂
[00:02:34.000 --> 00:02:36.000]  都要來到神的身邊
[00:02:36.000 --> 00:02:39.000]  並且要讚美感恩主
[00:02:39.000 --> 00:02:41.000]  並且要讚美感謝主
[00:02:41.000 --> 00:02:44.000]  在詩篇的最後就是這樣的結尾
[00:02:44.000 --> 00:02:47.000]  凡有氣息的都要讚美耶和華
[00:02:47.000 --> 00:02:49.000]  你們要讚美耶和華
[00:02:49.000 --> 00:02:51.000]  這就是一種信仰的生命
[00:02:51.000 --> 00:02:53.000]  這種敬拜、讚美
[00:02:53.000 --> 00:02:56.000]  要進入到我們每天日常的生活當中
[00:02:56.000 --> 00:02:58.000]  這些敬拜、讚美
[00:02:58.000 --> 00:03:01.000]  要進入到我們每一天的日常生活當中
[00:03:01.000 --> 00:03:03.000]  這是在兩千多年以前的事情
[00:03:03.000 --> 00:03:06.000]  這個是兩千多年前的事情
[00:03:06.000 --> 00:03:08.000]  今天我們的屬靈光景
[00:03:08.000 --> 00:03:10.000]  跟當年的屬靈光景
[00:03:10.000 --> 00:03:12.000]  跟當年的屬靈光景
[00:03:12.000 --> 00:03:14.000]  是完全不同的
[00:03:14.000 --> 00:03:16.000]  我們是完全不同的
[00:03:16.000 --> 00:03:19.000]  那麼今天我們的屬靈光景
[00:03:19.000 --> 00:03:21.000]  跟當年的以色列人有什麼區別嗎
[00:03:21.000 --> 00:03:24.000]  但是今天我們的屬靈光景
[00:03:24.000 --> 00:03:26.000]  跟兩千年前的以色列人
[00:03:26.000 --> 00:03:28.000]  是不是有些相似的地方呢
[00:03:28.000 --> 00:03:30.000]  其實我們很多的時候
[00:03:30.000 --> 00:03:32.000]  也是在信仰上
[00:03:32.000 --> 00:03:36.000]  由高高低低起伏跌倒
[00:03:36.000 --> 00:03:39.000]  其實我們每一個人的信仰生命
