
[00:00:00.000 --> 00:00:05.580]  我們今天來看看《忠於使命》這個題目
[00:00:05.580 --> 00:00:12.040]  也是Pastor Jackie叫我講馬可福音6章1至13節一段
[00:00:12.040 --> 00:00:15.340]  大家很熟悉 但也需要去解釋一下經文
[00:00:15.340 --> 00:00:17.340]  請聽我讀出當中的經文
[00:00:17.340 --> 00:00:20.140]  耶穌離開那裡 到自己的家鄉
[00:00:20.140 --> 00:00:22.840]  門徒也跟從他 到了安息日
[00:00:22.840 --> 00:00:27.720]  他在會堂裡教導人 眾人聽見就很驚奇說
[00:00:27.720 --> 00:00:32.440]  這人哪來這本事?所賜給他的是什麼智慧?
[00:00:32.440 --> 00:00:34.940]  他所做的是何等的義能?
[00:00:34.940 --> 00:00:38.640]  這不是那木匠嗎?不是瑪利亞的兒子雅各?
[00:00:38.640 --> 00:00:41.520]  若西猶大西門的掌興嗎?
[00:00:41.520 --> 00:00:45.060]  他姊妹們不也是在我們這裡嗎?
[00:00:45.060 --> 00:00:47.460]  他們就厭棄他
[00:00:47.460 --> 00:00:51.960]  耶穌對他們說 先知除了在本鄉本族和自己的家以外
[00:00:51.960 --> 00:00:53.960]  沒有不被尊重尊敬的
[00:00:53.960 --> 00:00:59.720]  耶穌就那裡不幸 什麼義能不過為幾個病人按手治好他們
[00:00:59.720 --> 00:01:02.140]  他也詫異他們不信
[00:01:02.140 --> 00:01:05.560]  耶穌走遍周圍鄉村教導人
[00:01:05.560 --> 00:01:09.640]  他叫了十個門徒來 差遣他們兩個兩個地出去
[00:01:09.640 --> 00:01:12.520]  也賜給他們權柄制服污淩
[00:01:12.520 --> 00:01:17.060]  並且吩咐他們 途中不要帶食物和行囊
[00:01:17.060 --> 00:01:19.440]  腰袋裡也不要帶錢
[00:01:19.440 --> 00:01:22.160]  除了手掌以外什麼也不要帶
[00:01:22.160 --> 00:01:25.800]  只要穿鞋子也不要穿兩件內衣
[00:01:25.800 --> 00:01:28.620]  他就對他們說 你們無論往那裡去
[00:01:28.620 --> 00:01:32.340]  進那家就住在那裡 直到離開那地
[00:01:32.340 --> 00:01:35.000]  若有什麼地方的人不接待你們
[00:01:35.000 --> 00:01:37.740]  不聽你們離開那裡的時候
[00:01:37.740 --> 00:01:41.120]  要躲掉你們腳上的塵土
[00:01:41.120 --> 00:01:43.120]  證明他們的不是
[00:01:43.120 --> 00:01:45.840]  司徒就出去傳道 叫人悔改
[00:01:45.840 --> 00:01:51.800]  又趕出許多鬼 用油抹了許多病人治好他們
[00:01:51.800 --> 00:01:56.720]  我不知道你們在人生裡有沒有被拒絕
[00:01:56.720 --> 00:01:58.720]  一定有啦
[00:01:58.720 --> 00:02:01.780]  我最深刻的那件事
[00:02:01.780 --> 00:02:05.520]  其中一樣就是我中一的時候
[00:02:05.520 --> 00:02:09.420]  就是這裡的Grade 7
[00:02:09.420 --> 00:02:15.120]  中一的時候 我喜歡做同班裡的一個女同學
[00:02:15.120 --> 00:02:19.440]  於是就展開追求
[00:02:19.440 --> 00:02:24.280]  Form 1 就是我祖屬
[00:02:24.280 --> 00:02:28.780]  我第一次約她
[00:02:28.780 --> 00:02:32.060]  問她可不可以送我回家
[00:02:32.060 --> 00:02:36.060]  因為她住在那裡 要坐電車
[00:02:36.060 --> 00:02:38.680]  當中有機會可以親近她
[00:02:38.680 --> 00:02:40.100]  就送她回家
[00:02:40.100 --> 00:02:43.640]  接著她一句話就說
[00:02:43.640 --> 00:02:46.960]  你有什麼企圖
[00:02:46.960 --> 00:02:49.240]  其實我想坦白告訴她
[00:02:49.240 --> 00:02:50.300]  有什麼企圖
[00:02:50.300 --> 00:02:53.860]  但她竟然告訴班主
[00:02:53.860 --> 00:02:57.760]  結果就被訓話
[00:02:57.760 --> 00:03:03.520]  這件事就令我以後小心了很多
[00:03:03.520 --> 00:03:05.840]  另外一件被拒絕的事就是
[00:03:05.840 --> 00:03:08.180]  當我受診的時候 在教會受診
[00:03:08.180 --> 00:03:11.100]  當時已經信主這段時間
[00:03:11.100 --> 00:03:13.940]  我回家後跟媽媽說
[00:03:13.940 --> 00:03:16.260]  我媽媽當時是未信主的
[00:03:16.260 --> 00:03:18.600]  當時也是拜偶像
[00:03:18.600 --> 00:03:21.940]  我心想我受診她也會聽我說
[00:03:21.940 --> 00:03:23.320]  希望可以跟她傳福音
[00:03:23.320 --> 00:03:24.280]  一坐下來就問
[00:03:24.280 --> 00:03:27.020]  我今天受診有沒有機會聽我見證
[00:03:27.020 --> 00:03:29.420]  因為受診在教會裡
[00:03:29.420 --> 00:03:30.980]  就一定會講見證
[00:03:30.980 --> 00:03:33.680]  那些叫迎新蒲的聚會
[00:03:33.680 --> 00:03:35.160]  講見證
[00:03:35.160 --> 00:03:38.260]  我媽媽第一句得過來就說
[00:03:38.260 --> 00:03:39.620]  你信耶穌嘛
[00:03:39.620 --> 00:03:41.720]  信耶穌以後不要再回來住了
[00:03:41.720 --> 00:03:43.180]  回教會睡吧
[00:03:43.180 --> 00:03:46.760]  一句說出來
[00:03:46.760 --> 00:03:49.600]  當時也很沮喪
[00:03:49.600 --> 00:03:53.900]  但最後我媽媽也決定信了主
[00:03:53.900 --> 00:03:59.080]  但是這些被拒絕是一生難忘的
[00:03:59.080 --> 00:04:03.480]  很感恩我太太跟她求婚的時候
[00:04:03.480 --> 00:04:04.460]  一次過搞定
[00:04:04.460 --> 00:04:10.900]  否則真的造成一個無限記憶的創傷
[00:04:10.900 --> 00:04:13.420]  但是我自己在人生裡
[00:04:13.420 --> 00:04:15.920]  很喜歡看一些英雄人物
[00:04:15.920 --> 00:04:17.880]  特別是一些被拒絕的英雄人物
[00:04:17.880 --> 00:04:20.580]  他們的故事
[00:04:20.580 --> 00:04:22.760]  其中一個我想大家都很熟悉的
[00:04:22.760 --> 00:04:26.800]  就是KFC的創辦人
[00:04:26.800 --> 00:04:28.600]  大家知不知道要看他的自傳
[00:04:28.600 --> 00:04:30.060]  可以上網看他的自傳
[00:04:30.060 --> 00:04:33.780]  他一生人上是受被拒絕的
[00:04:33.780 --> 00:04:35.320]  據他記得起
[00:04:35.320 --> 00:04:37.120]  他做了四十多份工
[00:04:37.120 --> 00:04:40.620]  由最低層的做洗車仔
[00:04:40.620 --> 00:04:46.360]  到他自己去讀法律做了三年律師
[00:04:46.360 --> 00:04:47.740]  都是不成功的
[00:04:47.740 --> 00:04:49.240]  都是被人炒魷魚
[00:04:49.240 --> 00:04:51.040]  所以他的人生很沮喪
[00:04:51.040 --> 00:04:55.700]  但是他自己發明了一個秘密食譜
[00:04:55.700 --> 00:04:57.700]  我不是賣告白
[00:04:57.700 --> 00:05:00.440]  KFC我一個月只吃一次
[00:05:00.440 --> 00:05:04.160]  就是星期二的十元雞
[00:05:04.160 --> 00:05:07.120]  你知道他十元有八件
[00:05:07.120 --> 00:05:08.380]  你不用煮了
[00:05:08.380 --> 00:05:09.460]  不是賣告白
[00:05:09.460 --> 00:05:11.200]  這是你自己惹起你的事
[00:05:11.200 --> 00:05:16.660]  但是KFC是全世界第二大
[00:05:16.660 --> 00:05:20.000]  Franchise的快餐店
