
[00:00:00.000 --> 00:00:06.860]  今天是進入聖餐的奧秘
[00:00:06.860 --> 00:00:12.860]  我想我們生命中都經歷了很多不同又難忘的餐敘
[00:00:12.860 --> 00:00:14.660]  可能是我們的紀念日
[00:00:14.660 --> 00:00:16.660]  可能是我們的生日
[00:00:16.660 --> 00:00:20.080]  可能是畢業典禮等等
[00:00:20.080 --> 00:00:23.020]  我記得有一次我都覺得很難忘的
[00:00:23.020 --> 00:00:26.580]  就是當我十幾年前讀神學的時候
[00:00:26.580 --> 00:00:30.380]  有一晚正在做功課的時候
[00:00:30.380 --> 00:00:33.880]  我太太突然在晚上11點多就出了客廳
[00:00:33.880 --> 00:00:36.880]  弄了很久,我不知道她在做什麼,不理會她
[00:00:36.880 --> 00:00:40.880]  因為那天很可能都要通宵做功課
[00:00:40.880 --> 00:00:43.880]  弄了一段時間之後,她突然跟我說
[00:00:43.880 --> 00:00:45.880]  老公,出來吧
[00:00:45.880 --> 00:00:49.880]  她突然就出客廳,晚上比較少人
[00:00:49.880 --> 00:00:56.880]  出了去就漆黑一片,誰知一出去就看到很多人突然在家裡出來
[00:00:56.880 --> 00:01:00.880]  有些在桌底突然出來,有些在廚房出來
[00:01:00.880 --> 00:01:03.880]  有些在燈槽,這個誇張了,我是沒有的
[00:01:03.880 --> 00:01:10.880]  在騎樓突然唱Happy Birthday to you,嚇一跳
[00:01:10.880 --> 00:01:13.880]  都很高興的,高興之餘我知道
[00:01:13.880 --> 00:01:18.880]  那天本來可能通宵都要肯定通宵做功課
[00:01:18.880 --> 00:01:21.880]  因為會敷衍一段時間,笑一段時間
[00:01:21.880 --> 00:01:24.880]  都蠻好笑的,我坐下來的時候
[00:01:24.880 --> 00:01:26.880]  他們拿了個蛋糕出來
[00:01:26.880 --> 00:01:30.880]  我都在想為什麼我太太出了客廳這麼久
[00:01:30.880 --> 00:01:33.880]  他們才會叫我出去唱歌呢
[00:01:33.880 --> 00:01:38.880]  原來我太太是給錯了地址去
[00:01:38.880 --> 00:01:40.880]  去了隔壁那間屋子按了鐘
[00:01:40.880 --> 00:01:43.880]  11點多,我真是多謝太太
[00:01:43.880 --> 00:01:46.880]  也多謝這班教會的老友
[00:01:46.880 --> 00:01:49.880]  結果很好笑,很突然
[00:01:49.880 --> 00:01:52.880]  也很快閃,如果大家知道我住哪裡
[00:01:52.880 --> 00:01:55.880]  我是住火炭的,距離住在哪裡呢
[00:01:55.880 --> 00:01:58.880]  一般來說他們都不喜歡住新界
[00:01:58.880 --> 00:02:03.880]  這麼好,住不住他們就住比較遠一點的香港島
[00:02:03.880 --> 00:02:06.880]  比較遠一點的九龍區
[00:02:06.880 --> 00:02:09.880]  快閃來快閃去,其實都很快
[00:02:09.880 --> 00:02:14.880]  但是都很感動,很多的恩典和喜樂
[00:02:14.880 --> 00:02:16.880]  當然我們都很多
[00:02:16.880 --> 00:02:21.880]  我想在你們的生命中都很多很難忘的餐敘
[00:02:21.880 --> 00:02:24.880]  但是其中除了這些很開心的歡樂
[00:02:24.880 --> 00:02:31.880]  對我來說,聖餐的餐敘是很難忘的
[00:02:31.880 --> 00:02:33.880]  我很記得有一次
[00:02:33.880 --> 00:02:37.880]  在去年和我一家自己的家
[00:02:37.880 --> 00:02:40.880]  和我父母,我岳父,Lina
[00:02:40.880 --> 00:02:42.880]  因為Lina當時病了兩年
[00:02:42.880 --> 00:02:46.880]  我們一起在家裡吃聖餐和哀城
[00:02:46.880 --> 00:02:50.880]  那種溫暖和意想不到上帝的恩典
[00:02:50.880 --> 00:02:52.880]  竟然可以我們全家一起
[00:02:52.880 --> 00:02:55.880]  這樣去經歷上帝的豐富
[00:02:55.880 --> 00:02:59.880]  聖餐不是一個儀式這麼簡單
[00:02:59.880 --> 00:03:02.880]  聖餐裡面代表了很多的奧秘
