
[00:00:00.000 --> 00:00:04.000]  在兩三個星期前
[00:00:04.000 --> 00:00:08.000]  我就去遊覽Taronga Zoo
[00:00:08.000 --> 00:00:11.000]  在一個遊覽的過程裏面
[00:00:11.000 --> 00:00:13.000]  我留意到一樣很有趣的東西
[00:00:13.000 --> 00:00:16.000]  我發覺我在這個動物園裏面
[00:00:16.000 --> 00:00:18.000]  無論去到什麼地方
[00:00:18.000 --> 00:00:19.000]  什麼角落
[00:00:19.000 --> 00:00:21.000]  都有兩種鳥類出現
[00:00:21.000 --> 00:00:24.000]  大家猜不猜得到哪兩種鳥類
[00:00:24.000 --> 00:00:27.000]  大家有沒有印象這兩種鳥類
[00:00:27.000 --> 00:00:29.000]  我相信大家都不陌生
[00:00:29.000 --> 00:00:31.000]  就是這兩種鳥類
[00:00:31.000 --> 00:00:34.000]  紅色頭 黃色頸那個
[00:00:34.000 --> 00:00:38.000]  專門喜歡在叢林裏面
[00:00:38.000 --> 00:00:40.000]  當我們興建一個巢的時候
[00:00:40.000 --> 00:00:42.000]  就弄到那裏亂七八糟
[00:00:42.000 --> 00:00:44.000]  所以普遍人見到牠們
[00:00:44.000 --> 00:00:46.000]  都不是很喜歡這種鳥
[00:00:46.000 --> 00:00:48.000]  另外長腳的鳥
[00:00:48.000 --> 00:00:51.000]  大家如果去City的時候
[00:00:51.000 --> 00:00:53.000]  特別是垃圾桶周圍
[00:00:53.000 --> 00:00:55.000]  都會見到這種鳥
[00:00:55.000 --> 00:00:57.000]  所以這種鳥有個外號
[00:00:57.000 --> 00:00:58.000]  大家不知道知不知道
[00:00:58.000 --> 00:01:00.000]  叫做Bean Chicken
[00:01:00.000 --> 00:01:02.000]  專門在那裏搵食
[00:01:02.000 --> 00:01:08.000]  當我們在動物園游覽的時候
[00:01:08.000 --> 00:01:10.000]  我們去到哪裡都見到這兩種鳥
[00:01:10.000 --> 00:01:12.000]  我們坐下來吃
[00:01:12.000 --> 00:01:14.000]  下午的時候
[00:01:14.000 --> 00:01:16.000]  那隻長嘴的鳥
[00:01:16.000 --> 00:01:18.000]  用一個很快的速度
[00:01:18.000 --> 00:01:20.000]  飛上來我們的桌面
[00:01:20.000 --> 00:01:24.000]  用一個迅雷不及掩耳的速度
[00:01:24.000 --> 00:01:26.000]  將我們手上的薯條
[00:01:26.000 --> 00:01:28.000]  切下來吃
[00:01:28.000 --> 00:01:30.000]  快到不得了
[00:01:30.000 --> 00:01:31.000]  雖然在動物園裏面
[00:01:31.000 --> 00:01:33.000]  有很多這兩種鳥
[00:01:33.000 --> 00:01:36.000]  但是這兩種鳥
[00:01:36.000 --> 00:01:40.000]  並不是動物園所飼養的鳥
[00:01:40.000 --> 00:01:43.000]  但是這兩種鳥
[00:01:43.000 --> 00:01:46.000]  可以四處在動物園裏面出現
[00:01:46.000 --> 00:01:48.000]  和搵食
[00:01:48.000 --> 00:01:50.000]  我就在想
