
[00:00:00.000 --> 00:00:04.840]  今天的經文那個訊息是比較沉重的
[00:00:04.840 --> 00:00:08.320]  但是弟兄姊妹
[00:00:08.320 --> 00:00:12.280]  讓我們知道這個只是訊息的表面
[00:00:12.280 --> 00:00:17.080]  而訊息的實在或者重心
[00:00:17.080 --> 00:00:24.480]  卻是因為沉重而化出來的那股強大的力量
[00:00:24.480 --> 00:00:27.520]  而這股強大的力量
[00:00:27.520 --> 00:00:30.120]  它之所以強大
[00:00:30.120 --> 00:00:34.680]  就是因為那個訊息那種沉重
[00:00:34.680 --> 00:00:37.240]  成為它力量的基石
[00:00:37.240 --> 00:00:41.600]  讓我們待會慢慢再分析
[00:00:41.600 --> 00:00:44.520]  在講這個訊息的時候
[00:00:44.520 --> 00:00:46.680]  大家能夠經歷的
[00:00:46.680 --> 00:00:49.280]  不單只是那個訊息的沉重
[00:00:49.280 --> 00:00:51.400]  但是重要的不是
[00:00:51.400 --> 00:00:55.160]  重要的我想跟大家一起經歷
[00:00:55.160 --> 00:00:58.560]  那個背後所發出來的力量
[00:00:58.560 --> 00:01:01.560]  讓我們一起低頭我們祈禱
[00:01:01.560 --> 00:01:04.880]  多謝主耶穌
[00:01:04.880 --> 00:01:08.680]  多謝你今天臨到我們當中
[00:01:08.680 --> 00:01:11.160]  多謝你憐憫我們
[00:01:11.160 --> 00:01:15.320]  使我們成為你的兒女
[00:01:15.320 --> 00:01:17.280]  親愛的主耶穌
[00:01:17.280 --> 00:01:18.400]  多謝你
[00:01:18.400 --> 00:01:23.280]  因為你是看見人間疾苦的主
[00:01:23.280 --> 00:01:24.640]  多謝你
[00:01:24.640 --> 00:01:26.400]  我們又真的多謝你
[00:01:26.400 --> 00:01:27.960]  因為只有你
[00:01:27.960 --> 00:01:32.720]  才能夠帶給人生真正的安慰
[00:01:32.720 --> 00:01:38.280]  你是帶給人真正安慰的主
[00:01:38.280 --> 00:01:41.240]  上帝我們更加相信
[00:01:41.240 --> 00:01:43.280]  我們相信你
[00:01:43.280 --> 00:01:47.160]  是重啟人生意義
[00:01:47.160 --> 00:01:51.480]  重啟生命意義的主
[00:01:51.480 --> 00:01:55.400]  所以求你讓我們在今天的訊息裡面
[00:01:55.400 --> 00:01:58.600]  我們不單只是聽到
[00:01:58.600 --> 00:01:59.840]  我們每一個人
[00:01:59.840 --> 00:02:04.920]  乃是用謙卑的心去聽主你的話
[00:02:04.920 --> 00:02:08.440]  所聽的不是孩子的聲音
[00:02:08.440 --> 00:02:11.800]  而是你自己的話語
[00:02:11.800 --> 00:02:16.040]  聽了我們就懂得去走
[00:02:16.040 --> 00:02:19.280]  因為這個是你的心意
[00:02:19.280 --> 00:02:25.640]  這個是你的吩咐
[00:02:25.640 --> 00:02:27.560]  多謝你聽我們的禱告
[00:02:27.560 --> 00:02:29.560]  奉基督耶穌的名
[00:02:29.560 --> 00:02:30.720]  阿們
[00:02:30.720 --> 00:02:36.600]  好 我們一起看看今天講到的經文
[00:02:36.600 --> 00:02:39.560]  讓我們再慢慢來
[00:02:39.560 --> 00:02:52.000]  我們一起去讀第十一至十二節
[00:02:52.000 --> 00:02:55.360]  我們一起讀十一至十二節
[00:02:55.360 --> 00:02:57.360]  好 準備 起
[00:03:10.560 --> 00:03:23.400]  (念經)
