
[00:00:00.000 --> 00:00:03.080]  今天剛剛說到約書亞最後一話
[00:00:03.080 --> 00:00:05.420]  是臨終前的最後一話
[00:00:05.420 --> 00:00:06.260]  也是第二講
[00:00:06.260 --> 00:00:09.080]  我們兩個星期前說到第一講
[00:00:09.080 --> 00:00:12.200]  所以我們第二講去到高峰
[00:00:12.200 --> 00:00:13.980]  世界的未來
[00:00:13.980 --> 00:00:16.960]  我不知道大家有沒有想過世界的未來究竟會是怎樣
[00:00:16.960 --> 00:00:22.560]  過去我們很多電影或者很多科學家都在幻想世界會是怎樣
[00:00:22.560 --> 00:00:24.000]  太奇妙的是
[00:00:24.000 --> 00:00:25.040]  很多時候
[00:00:25.040 --> 00:00:30.200]  當時或者十年前二十年前在想的世界會發生的事真的發生了
[00:00:30.200 --> 00:00:31.700]  例如二零零八年
[00:00:31.700 --> 00:00:34.480]  我不知道大家有沒有看過電影叫做《窩伊》
[00:00:34.480 --> 00:00:35.880]  有沒有人看過
[00:00:35.880 --> 00:00:37.800]  有的 當然有部分
[00:00:37.800 --> 00:00:41.480]  當時說到在家裏就足不出戶
[00:00:41.480 --> 00:00:43.280]  平板平面的電腦
[00:00:43.280 --> 00:00:45.040]  可以跟你不同的聯絡
[00:00:45.040 --> 00:00:46.080]  可以見到很多東西
[00:00:46.080 --> 00:00:48.720]  當時iPad都還沒有
[00:00:48.720 --> 00:00:51.520]  iPad是再過三年才有
[00:00:51.520 --> 00:00:55.760]  接著不僅如此 不僅是平面電腦可以見到很多東西
[00:00:55.760 --> 00:01:00.200]  開始3D或者Virtual Reality
[00:01:00.200 --> 00:01:01.760]  好像我們跟別人聊天
[00:01:01.760 --> 00:01:04.560]  好像你帶了東西在你前面一樣
[00:01:04.560 --> 00:01:05.760]  你潛水也可以
[00:01:05.760 --> 00:01:06.840]  你行山也可以
[00:01:06.840 --> 00:01:07.760]  你不用去
[00:01:07.760 --> 00:01:09.600]  你已經見到一樣
[00:01:09.600 --> 00:01:10.800]  已經發生了
