
[00:00:00.000 --> 00:00:01.200]  丁姐妹,早晨
[00:00:01.200 --> 00:00:05.240]  我們今天很感謝主的恩典給我們
[00:00:05.240 --> 00:00:09.240]  在疫情下也有實體的敬拜
[00:00:09.240 --> 00:00:10.720]  真的不是必然的
[00:00:10.720 --> 00:00:12.640]  但是我們很感謝上主
[00:00:12.640 --> 00:00:15.800]  讓我們在有限的我們的人生
[00:00:15.800 --> 00:00:18.800]  我們可以有他自己聖經的說話
[00:00:18.800 --> 00:00:20.440]  就好像一盞明燈
[00:00:20.440 --> 00:00:25.320]  在這個黑暗和不安動亂的世代
[00:00:25.320 --> 00:00:29.320]  讓我們有清楚的一個啟發、提醒
[00:00:29.320 --> 00:00:30.320]  以及引導
[00:00:30.320 --> 00:00:33.680]  我今天跟大家所分享的經文
[00:00:33.680 --> 00:00:37.760]  就是接續上一堂李文耀博士說的
[00:00:37.760 --> 00:00:39.200]  《傳道書》第三章
[00:00:39.200 --> 00:00:41.760]  它是處理了頭的15節
[00:00:41.760 --> 00:00:44.560]  接著我今天要說的16到22節
[00:00:44.560 --> 00:00:46.720]  其實是一氣呵成的
[00:00:46.720 --> 00:00:49.640]  因為整章的第三章的主題
[00:00:49.640 --> 00:00:51.120]  其實很重要
[00:00:51.120 --> 00:00:53.120]  就是如果你抓得緊的話
[00:00:53.120 --> 00:00:54.360]  你就會明白
[00:00:54.360 --> 00:00:58.160]  原來這個是讓我們要去好好地
[00:00:58.160 --> 00:01:03.640]  去了解一切的事都在神的恩手裡面
[00:01:03.640 --> 00:01:08.160]  所以今天我們怎樣去體會時間的流逝
[00:01:08.160 --> 00:01:10.360]  我們要去珍而重之
[00:01:10.360 --> 00:01:12.640]  我們怎樣去對神的公義
[00:01:12.640 --> 00:01:14.840]  有一個明確的認識
[00:01:14.840 --> 00:01:16.560]  以致我們有信心
[00:01:16.560 --> 00:01:21.880]  去面對這個真是一個大時代的局勢
[00:01:21.880 --> 00:01:24.560]  我們需要在上帝的面前
[00:01:24.560 --> 00:01:27.360]  我們有這種的信心
[00:01:27.360 --> 00:01:30.640]  我們一起來依靠神
[00:01:30.640 --> 00:01:35.400]  我在這個時候跟大家來先看一看
[00:01:35.400 --> 00:01:39.680]  今天我們要說的這一段經文之前
[00:01:39.680 --> 00:01:41.720]  很快跟大家重溫一下
[00:01:41.720 --> 00:01:43.840]  《傳道書》整卷書一開始
[00:01:43.840 --> 00:01:46.240]  我在第一堂的時候跟大家說過
[00:01:46.240 --> 00:01:48.720]  人的牢獄有什麼益處呢
[00:01:48.720 --> 00:01:50.760]  好像虛空的虛空
[00:01:50.760 --> 00:01:52.920]  萬物都好像是虛空一樣
[00:01:52.920 --> 00:01:54.960]  但是其實這個虛空的背後
[00:01:54.960 --> 00:01:56.880]  它是要提醒我們世人
[00:01:56.880 --> 00:01:58.800]  要去敬畏上帝
[00:01:58.800 --> 00:02:03.600]  在一章十二節到二章二十六節
[00:02:03.600 --> 00:02:07.640]  我們之前有吳牧師和孫牧師
[00:02:07.640 --> 00:02:09.240]  跟我們分享了
[00:02:09.240 --> 00:02:13.840]  我們是說到人世間那些的享樂
[00:02:13.840 --> 00:02:15.920]  智慧和財富
[00:02:15.920 --> 00:02:20.640]  好像都不能夠永遠抓得住 抓得實
[00:02:20.640 --> 00:02:24.040]  就好像成為一個也是虛空的一件事
[00:02:24.040 --> 00:02:25.960]  其實這三樣東西
[00:02:25.960 --> 00:02:30.760]  不是聖經是否認或者是反對人
[00:02:30.760 --> 00:02:32.240]  可以去擁有的
[00:02:32.240 --> 00:02:34.640]  我們讀聖經就要全面去讀了
[00:02:34.640 --> 00:02:36.520]  要去了解清楚
[00:02:36.520 --> 00:02:39.960]  其實神給我們的這三樣事
[00:02:39.960 --> 00:02:42.320]  其實是一個恩典來的
[00:02:42.320 --> 00:02:46.200]  但是我們不要將享樂變成享樂主義
[00:02:46.200 --> 00:02:50.440]  不要將智慧變成盲目的知識的追求
[00:02:50.440 --> 00:02:52.160]  變成自高自大
[00:02:52.160 --> 00:02:57.840]  不要將財富變成囤積在我們個人的私利裏面
[00:02:57.840 --> 00:03:03.000]  以致我們忘卻社會的真正的需要
[00:03:03.000 --> 00:03:06.160]  所以這三件事都是成為我們今天
[00:03:06.160 --> 00:03:12.520]  我們說你不要將這些事成為追求的終極的目的
[00:03:12.520 --> 00:03:15.840]  否則你就會導致你去擁有
[00:03:15.840 --> 00:03:18.240]  你都不會滿足和空虛的
