
[00:00:00.000 --> 00:00:02.560]  請姐妹主內平安
[00:00:02.560 --> 00:00:04.640]  讓我們再次同心祈禱
[00:00:04.640 --> 00:00:05.760]  請主感謝你
[00:00:05.760 --> 00:00:08.800]  讓我們能夠回到你的殿當中
[00:00:08.800 --> 00:00:10.520]  一同去敬拜
[00:00:10.520 --> 00:00:12.680]  一同去領受你的話語
[00:00:12.680 --> 00:00:16.960]  我們都謙卑地在你面前聆聽
[00:00:16.960 --> 00:00:19.040]  求主你親自對我們說話
[00:00:19.040 --> 00:00:20.880]  讓我們不單止聽
[00:00:20.880 --> 00:00:23.520]  在生活裏面都能夠實踐出來
[00:00:23.520 --> 00:00:24.880]  在將臨期的時間裏面
[00:00:24.880 --> 00:00:28.920]  我們再一次思想將臨期的意義
[00:00:28.920 --> 00:00:31.400]  求主幫助與我們同在
[00:00:31.400 --> 00:00:33.640]  禱告奉主耶穌基督的名頭
[00:00:33.640 --> 00:00:35.040]  阿門
[00:00:59.920 --> 00:01:01.320]  有一本英文圖書
[00:01:01.320 --> 00:01:03.040]  很喜歡和小朋友看的
[00:01:03.040 --> 00:01:05.080]  不知道大家有沒有聽過
[00:01:05.080 --> 00:01:06.480]  有一本英文圖書叫
[00:01:06.480 --> 00:01:08.280]  Waiting is not easy
[00:01:08.280 --> 00:01:09.360]  不知道有沒有聽過
[00:01:09.360 --> 00:01:11.200]  我很喜歡和小朋友看的
[00:01:11.200 --> 00:01:12.600]  因為書裏面
[00:01:12.600 --> 00:01:14.600]  經常都出現一句句子就是
[00:01:14.600 --> 00:01:16.440]  Waiting is not easy
[00:01:16.440 --> 00:01:18.280]  But you have to wait
[00:01:18.280 --> 00:01:20.080]  就是說等候是不容易的
[00:01:20.080 --> 00:01:22.000]  但是你要等候
[00:01:22.000 --> 00:01:25.160]  我覺得這句說話是很有用的
[00:01:25.160 --> 00:01:26.760]  經常都很用得著的
[00:01:26.760 --> 00:01:29.080]  因為我兒子經常都問
[00:01:29.080 --> 00:01:30.760]  什麼時候有冰淇淋吃
[00:01:30.760 --> 00:01:31.480]  大家知道了
[00:01:31.480 --> 00:01:32.880]  我就會拿一本書出來
[00:01:32.880 --> 00:01:34.480]  Waiting is not easy
[00:01:34.480 --> 00:01:36.120]  But you have to wait
[00:01:36.120 --> 00:01:37.320]  我的女兒又會問
[00:01:37.320 --> 00:01:39.280]  什麼時候才可以看卡通片
[00:01:39.280 --> 00:01:40.800]  當然我又拿一本書出來
[00:01:40.800 --> 00:01:43.560]  Waiting is not easy
[00:01:43.560 --> 00:01:45.920]  不知道大家喜不喜歡等候
[00:01:45.920 --> 00:01:47.600]  有沒有弟兄姊妹喜歡等候的
[00:01:47.600 --> 00:01:48.680]  請舉舉手
[00:01:48.680 --> 00:01:50.000]  喜歡等車等人
[00:01:50.000 --> 00:01:52.400]  進餐廳等位等等
[00:01:52.400 --> 00:01:53.520]  沒有的
[00:01:53.520 --> 00:01:55.600]  我們香港特別香港人
[00:01:55.600 --> 00:01:57.120]  步伐這麼急速
[00:01:57.120 --> 00:01:58.920]  時間就是金錢
[00:01:58.920 --> 00:01:59.920]  你要我等候
[00:01:59.920 --> 00:02:01.280]  不就是浪費我的時間
[00:02:01.280 --> 00:02:02.080]  是不是
[00:02:02.080 --> 00:02:04.160]  很多時候我去一些特別的茶餐廳
[00:02:04.160 --> 00:02:05.680]  那些人點完東西吃
[00:02:05.680 --> 00:02:07.520]  他兩三分鐘就催了
[00:02:07.520 --> 00:02:08.720]  我見過
[00:02:08.720 --> 00:02:09.720]  就是就會
[00:02:09.720 --> 00:02:10.560]  師兄啊
[00:02:10.560 --> 00:02:11.120]  搞錯啊
[00:02:11.120 --> 00:02:12.200]  點了一碟飯
[00:02:12.200 --> 00:02:13.120]  這麼久都還沒到
[00:02:13.120 --> 00:02:14.000]  你不要叫快餐
[00:02:14.000 --> 00:02:15.520]  你叫慢餐吧你
[00:02:15.520 --> 00:02:16.400]  這麼久
[00:02:16.400 --> 00:02:17.760]  其實我真的見過
[00:02:17.760 --> 00:02:19.120]  兩三分鐘就催了
[00:02:19.120 --> 00:02:19.920]  很心急是吧
[00:02:19.920 --> 00:02:20.920]  我們很心急
[00:02:20.920 --> 00:02:21.680]  其實明白的
[00:02:21.680 --> 00:02:23.760]  因為趕著要去工作
[00:02:23.760 --> 00:02:24.520]  我們很急的
[00:02:24.520 --> 00:02:26.960]  我見過一個女士去酒樓吃東西
[00:02:26.960 --> 00:02:28.720]  她點了一碗飯
[00:02:28.720 --> 00:02:29.800]  一碟餸
[00:02:29.800 --> 00:02:31.120]  飯來了
[00:02:31.120 --> 00:02:31.840]  餸還沒來
[00:02:31.840 --> 00:02:33.440]  其實都不是等了很久
[00:02:33.440 --> 00:02:34.600]  就說你跟著啊
[00:02:34.600 --> 00:02:36.200]  訂單還沒到的
[00:02:36.200 --> 00:02:38.280]  你再不來的話
[00:02:38.280 --> 00:02:39.720]  你幫我取消了訂單
[00:02:39.720 --> 00:02:41.560]  取消訂單
[00:02:41.560 --> 00:02:42.840]  其實這是什麼做法呢
[00:02:42.840 --> 00:02:43.640]  我想一想
[00:02:43.640 --> 00:02:45.040]  她的飯來了
[00:02:45.040 --> 00:02:46.720]  但是她說取消餸
[00:02:46.720 --> 00:02:48.160]  那是不是想吃白飯呢
[00:02:48.160 --> 00:02:49.360]  還是怎麼樣呢
[00:02:49.360 --> 00:02:51.240]  我們就是這樣
[00:02:51.240 --> 00:02:52.360]  我不要等
[00:02:52.360 --> 00:02:52.920]  你要我等
[00:02:52.920 --> 00:02:54.640]  我寧願不吃
[00:02:54.640 --> 00:02:56.760]  我們香港人很心急的
[00:02:56.760 --> 00:02:57.840]  明白的
[00:02:57.840 --> 00:03:00.120]  因為時間就是金錢
[00:03:00.120 --> 00:03:02.480]  24小時一天夠不夠用
[00:03:02.480 --> 00:03:04.320]  當然不夠用了
[00:03:04.320 --> 00:03:06.280]  我們每一分每一秒都要
[00:03:06.280 --> 00:03:08.080]  不可以浪費
[00:03:08.080 --> 00:03:10.640]  要不斷地工作
[00:03:10.640 --> 00:03:12.280]  這樣才代表沒有浪費時間
[00:03:12.280 --> 00:03:13.680]  是吧
