
[00:00:00.000 --> 00:00:04.080]  在1911年4月24日
[00:00:04.080 --> 00:00:08.760]  在清末有個革命戰士叫林國民
[00:00:08.760 --> 00:00:12.540]  他寫了封信給他太太
[00:00:12.540 --> 00:00:17.180]  我們名為《與妻決別書》
[00:00:17.180 --> 00:00:20.080]  即是和太太說分開
[00:00:20.080 --> 00:00:22.080]  這是文言文來的
[00:00:22.080 --> 00:00:24.620]  我相信大家都會略懂一二
[00:00:24.620 --> 00:00:27.320]  我試試讀給大家聽
[00:00:27.320 --> 00:00:30.600]  看看大家在裏面如何理解
[00:00:30.600 --> 00:00:34.400]  他太太叫做義卿 義映
[00:00:34.400 --> 00:00:37.380]  她說義映輕輕如吾
[00:00:37.380 --> 00:00:43.200]  吾今以此書予與永別矣
[00:00:43.200 --> 00:00:49.120]  吾作此書時常是世中一人
[00:00:49.120 --> 00:00:57.160]  與看此書時吾已成為陰間一軌
[00:00:57.760 --> 00:01:00.240]  其實一路讀下去你會發覺
[00:01:00.240 --> 00:01:01.640]  他有很多精彩
[00:01:01.640 --> 00:01:04.040]  甚至說我真的寫不下
[00:01:04.040 --> 00:01:06.680]  有興趣的大家上網看
[00:01:06.680 --> 00:01:08.520]  不過這篇稍為白話
[00:01:08.520 --> 00:01:10.360]  當我寫這封信給你的時候
[00:01:10.360 --> 00:01:11.720]  向你講永別
[00:01:11.720 --> 00:01:13.760]  當我寫這封信的時候
[00:01:13.760 --> 00:01:15.960]  我還是世間上一個活人
[00:01:15.960 --> 00:01:17.840]  但當你收到的時候
[00:01:17.840 --> 00:01:18.920]  我已經死了
[00:01:18.920 --> 00:01:19.600]  為甚麼呢
[00:01:19.600 --> 00:01:23.720]  因為他參加一個黃花崗戰役
[00:01:23.720 --> 00:01:25.080]  他是一個革命烈士
[00:01:25.080 --> 00:01:27.080]  在那場戰爭他死了
[00:01:27.360 --> 00:01:28.680]  這封是很動人
[00:01:28.680 --> 00:01:30.440]  不單止是情信
[00:01:30.440 --> 00:01:33.880]  是一個愛國愛民和感情之間
[00:01:33.880 --> 00:01:36.240]  那種掙扎取捨的一封信
[00:01:36.240 --> 00:01:38.240]  再一次鼓勵大家
[00:01:38.240 --> 00:01:39.680]  如果今晚有時間
[00:01:39.680 --> 00:01:44.360]  你嘗試上網看林國民的《以妻決別書》
[00:01:44.360 --> 00:01:46.560]  同一封很感動的信
[00:01:46.560 --> 00:01:49.560]  就是來於啟示錄
[00:01:49.560 --> 00:01:51.040]  今天想和大家分享的
[00:01:51.040 --> 00:01:53.760]  二章第一節到第七節
[00:01:53.760 --> 00:01:56.880]  啟示錄二章一至七節
[00:01:57.440 --> 00:02:01.640]  是老約翰給教會的其中一封信
[00:02:01.640 --> 00:02:02.640]  這封信叫做
[00:02:02.640 --> 00:02:05.480]  以弗所的教會要收這封信
[00:02:05.480 --> 00:02:07.960]  就好像林國民那樣
[00:02:07.960 --> 00:02:10.640]  請大家在這時候收一封信
[00:02:10.640 --> 00:02:12.680]  這封信是給你的
[00:02:12.680 --> 00:02:15.120]  今天我們可樂富少收到信
[00:02:15.120 --> 00:02:16.960]  我們收到很多的是甚麼
[00:02:16.960 --> 00:02:18.880]  很多是甚麼
[00:02:18.880 --> 00:02:20.680]  Email
[00:02:20.680 --> 00:02:21.920]  很感謝主
[00:02:21.920 --> 00:02:23.480]  很多WhatsApp
[00:02:23.480 --> 00:02:24.800]  排出
[00:02:24.800 --> 00:02:26.320]  睡一晚一出來
[00:02:26.320 --> 00:02:28.040]  九十六、一百零六
[00:02:28.040 --> 00:02:29.080]  真是嚇到你
[00:02:29.080 --> 00:02:30.040]  無論怎樣也好
[00:02:30.040 --> 00:02:32.680]  我們不習慣收這封信
[00:02:32.680 --> 00:02:33.800]  但我鼓勵大家
[00:02:33.800 --> 00:02:35.320]  有機會可以寫下來
[00:02:35.320 --> 00:02:37.360]  無論林國民那封也好
[00:02:37.360 --> 00:02:38.960]  今次以弗所也好
[00:02:38.960 --> 00:02:40.560]  當他文字寫下來的時候
[00:02:40.560 --> 00:02:43.160]  我容易去流傳下來
[00:02:43.160 --> 00:02:45.040]  WhatsApp就很快沒了
[00:02:45.040 --> 00:02:46.240]  我最擔心
[00:02:46.240 --> 00:02:47.000]  那次起床
[00:02:47.000 --> 00:02:49.320]  突然電話充電
[00:02:49.320 --> 00:02:50.800]  充不到
[00:02:50.800 --> 00:02:52.200]  擔心甚麼
[00:02:52.200 --> 00:02:53.720]  電話壞了
[00:02:53.720 --> 00:02:56.440]  裡面所有的WhatsApp所有的資料
[00:02:56.440 --> 00:02:58.360]  所有照片甚麼都沒了
[00:02:58.360 --> 00:02:59.200]  所以弟兄姊妹
[00:02:59.200 --> 00:03:00.640]  有重要的東西
[00:03:00.640 --> 00:03:02.400]  請你用筆錄
[00:03:02.400 --> 00:03:03.520]  寫下來
[00:03:03.520 --> 00:03:05.040]  請聽一下
[00:03:05.040 --> 00:03:06.840]  老約翰
[00:03:06.840 --> 00:03:08.640]  給以弗所這封信
[00:03:08.640 --> 00:03:12.040]  我們嘗試去楊啟毅的電台
[00:03:12.040 --> 00:03:14.080]  大家可以閉上眼睛
[00:03:14.080 --> 00:03:16.000]  聽一下這封信
[00:03:16.000 --> 00:03:17.440]  你聽一下這封信
[00:03:17.440 --> 00:03:18.640]  聽一下這封信
[00:03:21.040 --> 00:03:24.160]  我寫信告訴你弟兄姊妹
[00:03:24.160 --> 00:03:28.200]  那個帶領著七個教會的牧者
[00:03:28.200 --> 00:03:29.960]  在七個教會
[00:03:29.960 --> 00:03:32.600]  在宗教會裏面行走的
[00:03:32.600 --> 00:03:35.160]  告訴我們一件事
[00:03:35.160 --> 00:03:36.560]  我知道
[00:03:36.560 --> 00:03:37.920]  你的行為
[00:03:37.920 --> 00:03:40.480]  你是很辛苦很勞碌
[00:03:40.480 --> 00:03:42.960]  很忍耐為主的緣故
[00:03:42.960 --> 00:03:47.080]  特別你是對於異端不能忍受
[00:03:47.080 --> 00:03:51.560]  你甚至可以試驗那些自稱為使徒
[00:03:51.560 --> 00:03:53.080]  但是你試驗不到他們出來
[00:03:53.080 --> 00:03:54.920]  他們是假的
[00:03:54.920 --> 00:03:56.960]  你面對福音工作
[00:03:56.960 --> 00:03:58.120]  面對一些人
[00:03:58.120 --> 00:04:01.200]  你很大的能耐和忍耐
[00:04:01.200 --> 00:04:03.840]  甚至你為主的緣故勞苦
[00:04:03.840 --> 00:04:06.680]  但是又不會困倦
[00:04:06.680 --> 00:04:09.280]  但是弟兄姊妹
[00:04:09.280 --> 00:04:11.720]  有一件事我告訴你
[00:04:11.720 --> 00:04:14.480]  甚至要責備你
[00:04:14.480 --> 00:04:19.400]  就是你將起初的愛心離棄了
[00:04:19.400 --> 00:04:22.200]  所以你要回想
[00:04:22.200 --> 00:04:24.800]  你在哪裏墜落的
[00:04:24.800 --> 00:04:27.520]  就要在哪裏開始悔改
[00:04:27.520 --> 00:04:30.480]  而且走回起初
[00:04:30.480 --> 00:04:32.040]  你在墜落的時候
[00:04:32.040 --> 00:04:34.880]  之前要走的東西
[00:04:34.880 --> 00:04:36.160]  假若
[00:04:36.160 --> 00:04:39.680]  假若你不悔改的話
