
[00:00:00.000 --> 00:00:07.420]  信仰的起點是在於認識神
[00:00:07.420 --> 00:00:11.280]  這是一個一生的過程
[00:00:11.280 --> 00:00:15.120]  我們不斷地去發現上帝
[00:00:15.120 --> 00:00:18.320]  從上帝去發現自己
[00:00:18.320 --> 00:00:21.160]  當我們了解自己的時候
[00:00:21.160 --> 00:00:25.440]  我們又重新去發現上帝
[00:00:25.440 --> 00:00:33.800]  在約拿書裏面對研究不同的人對神認識是一個發人深省的題目
[00:00:33.800 --> 00:00:39.000]  在約拿書中研究不同的人對神的認識是一個發人深省的題目
[00:00:39.000 --> 00:00:43.720]  每個人認識神其實代表他背後有一套價值觀
[00:00:43.720 --> 00:00:46.880]  每個人認識神代表他背後有一套價值觀
[00:00:46.880 --> 00:00:48.320]  或者一個人生的取向
[00:00:48.320 --> 00:00:49.960]  或者一個人生的取向
[00:00:49.960 --> 00:00:52.480]  簡單來說我們分了兩個層次
[00:00:52.480 --> 00:00:54.360]  簡單來說我們分兩個層次
[00:00:54.360 --> 00:00:58.120]  一個就是所謂頭腦上的認識
[00:00:58.120 --> 00:01:00.720]  一個簡單來說就是頭腦上的認識
[00:01:00.720 --> 00:01:02.400]  另一個就是生命的經歷
[00:01:02.400 --> 00:01:03.920]  另一個就是生命的經歷
[00:01:03.920 --> 00:01:06.120]  我們很熟悉一位人物約伯
[00:01:06.120 --> 00:01:09.160]  我們很熟悉的偉人約伯
[00:01:09.160 --> 00:01:11.680]  他在人生順境的時候
[00:01:11.680 --> 00:01:13.280]  他在人生順境的時候
[00:01:13.280 --> 00:01:15.000]  他以為自己認識神
[00:01:15.000 --> 00:01:16.440]  他以為自己認識神
[00:01:16.440 --> 00:01:18.040]  所以他每日獻祭
[00:01:18.040 --> 00:01:19.280]  所以他每日獻祭
[00:01:19.280 --> 00:01:22.120]  他用一切的方法去表達自己敬畏神
[00:01:22.120 --> 00:01:24.640]  他用一切的方法去表達自己敬畏神
[00:01:24.640 --> 00:01:27.760]  但到了他受到無情打擊的時候
[00:01:27.760 --> 00:01:29.760]  但當他受到無情打擊的時候
[00:01:29.760 --> 00:01:30.720]  失去一切
[00:01:30.720 --> 00:01:31.680]  失去一切
[00:01:31.680 --> 00:01:34.880]  周圍的朋友都叫他快點認罪
[00:01:34.880 --> 00:01:37.360]  周圍的朋友都叫他快點認罪
[00:01:37.360 --> 00:01:39.520]  他不斷為自己去辯護
