
[00:00:00.000 --> 00:00:05.460]  我想大概在座的每一位都未曾犯過法
[00:00:05.460 --> 00:00:07.760]  不過我想大家運用你的想像力
[00:00:07.760 --> 00:00:10.200]  想像一下你犯了法
[00:00:10.200 --> 00:00:11.800]  還要被警察捉了
[00:00:11.800 --> 00:00:14.100]  要捉你上法庭
[00:00:14.100 --> 00:00:18.360]  兼且在大的報章上面大大寫字寫燈
[00:00:18.360 --> 00:00:22.060]  某某人犯了某某罪
[00:00:22.060 --> 00:00:26.060]  這個罪可能是罪駕、高買、性侵
[00:00:26.060 --> 00:00:29.700]  總之是一些羞辱令你覺得很羞恥的罪行
[00:00:29.700 --> 00:00:31.000]  我想問你
[00:00:31.000 --> 00:00:32.400]  接下來的星期天
[00:00:32.400 --> 00:00:36.860]  你還會不會回教會?
[00:00:36.860 --> 00:00:38.700]  我想大部分人都說
[00:00:38.700 --> 00:00:40.300]  當然不會回教會了
[00:00:40.300 --> 00:00:42.300]  為什麼?
[00:00:42.300 --> 00:00:44.700]  哪有顏面見鄉親父老?
[00:00:44.700 --> 00:00:45.700]  沒有面子了
[00:00:45.700 --> 00:00:47.400]  很尷尬的
[00:00:47.400 --> 00:00:47.900]  好了
[00:00:47.900 --> 00:00:50.360]  我又想大家想像一下另外一個情境
[00:00:50.360 --> 00:00:54.300]  你在逛街的時候看到有個人被車撞倒
[00:00:54.300 --> 00:00:57.000]  你立刻上去看看那個人是什麼情況
[00:00:57.000 --> 00:00:58.300]  血流滿面
[00:00:58.300 --> 00:00:59.900]  骨頭都斷了
[00:00:59.900 --> 00:01:01.100]  你馬上去幫他
[00:01:01.100 --> 00:01:01.800]  不要緊
[00:01:01.800 --> 00:01:03.000]  冷靜冷靜
[00:01:03.000 --> 00:01:04.900]  我幫你打電話叫十字車
[00:01:04.900 --> 00:01:06.400]  送你去醫院
[00:01:06.400 --> 00:01:09.100]  那個被撞倒的人馬上跟你說
[00:01:09.100 --> 00:01:09.600]  不要不要
[00:01:09.600 --> 00:01:10.600]  等等等等
[00:01:10.600 --> 00:01:12.100]  你看看我現在
[00:01:12.100 --> 00:01:13.100]  弄成這個樣子
[00:01:13.100 --> 00:01:14.400]  全身都是血
[00:01:14.400 --> 00:01:16.100]  骨頭都斷了
[00:01:16.100 --> 00:01:17.600]  我怎麼去醫院?
[00:01:17.600 --> 00:01:18.900]  你等我回家
[00:01:18.900 --> 00:01:21.200]  把傷口清潔好
[00:01:21.200 --> 00:01:22.700]  讓骨折痊癒
[00:01:22.700 --> 00:01:24.000]  傷口癒合
[00:01:24.000 --> 00:01:26.600]  然後我才去醫院
[00:01:26.600 --> 00:01:28.100]  你沒聽過這樣的事情嗎?
[00:01:28.100 --> 00:01:30.200]  有沒有見過這樣的人?
[00:01:30.200 --> 00:01:31.700]  為什麼不會?
[00:01:31.700 --> 00:01:35.300]  因為有病的人才需要去醫院
[00:01:35.300 --> 00:01:37.100]  去醫院才可以得到醫治
[00:01:37.100 --> 00:01:39.800]  去醫院才可以得到治療
[00:01:39.800 --> 00:01:42.100]  是不是?
[00:01:42.100 --> 00:01:44.200]  那麼教會呢?
[00:01:44.200 --> 00:01:45.900]  那麼教會呢?
[00:01:45.900 --> 00:01:48.500]  教會豈不是應該在一個地方
[00:01:48.500 --> 00:01:52.000]  讓人生命、心靈出現問題的時候
[00:01:52.000 --> 00:01:56.400]  去到教會得著醫治的嗎?
[00:01:56.400 --> 00:01:58.400]  為什麼當一個破碎的心靈
[00:01:58.400 --> 00:02:01.100]  犯了事的時候
[00:02:01.100 --> 00:02:03.200]  不但不想去教會
[00:02:03.200 --> 00:02:06.400]  甚至要離開越遠越好?
[00:02:06.400 --> 00:02:07.500]  上個星期我講到
[00:02:07.500 --> 00:02:08.700]  大家記得吧?
[00:02:08.700 --> 00:02:09.500]  我們講
[00:02:09.500 --> 00:02:11.300]  其中一個很重要的訊息就是
[00:02:11.300 --> 00:02:13.000]  保羅勸勉
[00:02:13.000 --> 00:02:14.200]  鼓勵我們要什麼?
[00:02:14.200 --> 00:02:17.000]  順著聖靈而行
[00:02:17.000 --> 00:02:18.700]  而今天我們來到
[00:02:18.700 --> 00:02:20.600]  加拿大書最後一個的
[00:02:20.600 --> 00:02:22.800]  講道系列的最後一講
[00:02:22.800 --> 00:02:25.600]  保羅在這張最後一章的經文裡面
[00:02:25.600 --> 00:02:27.900]  用了很多實際的例子
[00:02:27.900 --> 00:02:29.100]  告訴我們
[00:02:29.100 --> 00:02:32.800]  如何可以順著聖靈而行
