
[00:00:00.000 --> 00:00:03.000]  請點贊和分享 並且記得訂閱我們的頻道 才能收到最新消息喔~
[00:00:30.000 --> 00:00:33.000]  整個的局勢就是這樣
[00:00:33.000 --> 00:00:36.000]  在聖經裡面有一件事是我們很震驚的
[00:00:36.000 --> 00:00:39.000]  就是有7年的大災難
[00:00:39.000 --> 00:00:42.000]  我們會很害怕
[00:00:42.000 --> 00:00:45.000]  因為7年的大災難會極之的嚴厲
[00:00:45.000 --> 00:00:48.000]  極之的嚴厲
[00:00:48.000 --> 00:00:51.000]  我們會很害怕
[00:00:51.000 --> 00:00:54.000]  因為7年的大災難
[00:00:54.000 --> 00:00:57.000]  會極之的嚴厲
[00:00:57.000 --> 00:01:00.000]  極之的嚴厲
[00:01:00.000 --> 00:01:03.000]  極之的厲害 叫我們沒辦法承受
[00:01:03.000 --> 00:01:06.000]  但是感謝神 我們屬神的兒女
[00:01:06.000 --> 00:01:09.000]  我們會在大災難之前
[00:01:09.000 --> 00:01:12.000]  我們已經被主接去
[00:01:12.000 --> 00:01:15.000]  我們已經被替 這個就是好消息
[00:01:15.000 --> 00:01:18.000]  所以今天我想問大家一個問題
[00:01:18.000 --> 00:01:21.000]  你估計在那7年大災難裡面
[00:01:21.000 --> 00:01:24.000]  在大災難中間的人
[00:01:24.000 --> 00:01:27.000]  還有沒有機會聽到福音呢
[00:01:27.000 --> 00:01:30.000]  首先讓我們去檢視一下
[00:01:30.000 --> 00:01:33.000]  到底聖經裡面所描寫
[00:01:33.000 --> 00:01:36.000]  這7年的大災難
[00:01:36.000 --> 00:01:39.000]  是一幅怎樣的圖畫
[00:01:39.000 --> 00:01:42.000]  聖經有很多段的經文
[00:01:42.000 --> 00:01:45.000]  都是描寫這7年的大災難
[00:01:45.000 --> 00:01:48.000]  第一 這7年的大災難
[00:01:48.000 --> 00:01:51.000]  是叫人很驚慌的
[00:01:51.000 --> 00:01:54.000]  是極度的驚慌
[00:01:54.000 --> 00:01:57.000]  我想先讀一讀
[00:01:57.000 --> 00:02:00.000]  貼薩諾尼加前書
[00:02:00.000 --> 00:02:03.000]  第5章1到3節
[00:02:03.000 --> 00:02:06.000]  貼薩諾尼加前書
[00:02:06.000 --> 00:02:09.000]  第5章1到3節
[00:02:09.000 --> 00:02:12.000]  弟兄們 論到事後日期
[00:02:12.000 --> 00:02:15.000]  不用寫信給你們
[00:02:15.000 --> 00:02:18.000]  因為你們自己已經
[00:02:18.000 --> 00:02:21.000]  明明的了解
[00:02:21.000 --> 00:02:24.000]  主的日子來到
[00:02:24.000 --> 00:02:27.000]  好像夜間的賊一樣
[00:02:27.000 --> 00:02:30.000]  人靜說平安穩妥的時候
[00:02:30.000 --> 00:02:33.000]  那些災禍
[00:02:33.000 --> 00:02:36.000]  就會忽然間臨到他們
[00:02:36.000 --> 00:02:39.000]  好像產難臨到
[00:02:39.000 --> 00:02:42.000]  那個婦人一樣
[00:02:42.000 --> 00:02:46.000]  我們是不能夠逃脫的
[00:02:46.000 --> 00:02:49.000]  原來災難來到的時候
[00:02:49.000 --> 00:02:52.000]  你逃不掉的
[00:02:52.000 --> 00:02:55.000]  是那種突然 很急促就來了
[00:02:55.000 --> 00:02:58.000]  因此我們要問
[00:02:58.000 --> 00:03:01.000]  我們怎樣去預備
[00:03:01.000 --> 00:03:04.000]  這個日子
[00:03:04.000 --> 00:03:07.000]  在丹尼尼書第9章
[00:03:07.000 --> 00:03:11.000]  先知丹尼尼提到70個7
[00:03:11.000 --> 00:03:14.000]  然後有最後的
[00:03:14.000 --> 00:03:17.000]  那個17之內
[00:03:17.000 --> 00:03:20.000]  然後又17分前半
[00:03:20.000 --> 00:03:23.000]  和後半
[00:03:23.000 --> 00:03:26.000]  即是前三年半和後三年半
[00:03:26.000 --> 00:03:29.000]  所以第一給我們看見的
[00:03:29.000 --> 00:03:32.000]  就是這個7年大災難
[00:03:32.000 --> 00:03:35.000]  是叫我們很驚慌
[00:03:35.000 --> 00:03:38.000]  第二 這7年的大災難
[00:03:38.000 --> 00:03:41.000]  是極度苦痛
[00:03:41.000 --> 00:03:45.000]  聖經未試過用這麼嚴厲的方法
[00:03:45.000 --> 00:03:48.000]  去描寫它的
[00:03:48.000 --> 00:03:51.000]  首先讓我們再來看
[00:03:51.000 --> 00:03:54.000]  帖撒羅尼加前書一章十節
[00:03:54.000 --> 00:03:58.000]  他說等候他的兒子從天過流
[00:03:58.000 --> 00:04:01.000]  就是他和死裡復活的
[00:04:01.000 --> 00:04:04.000]  因為那救我們脫離
[00:04:04.000 --> 00:04:07.000]  將來憤怒的耶穌
[00:04:07.000 --> 00:04:10.000]  在啟示錄
[00:04:10.000 --> 00:04:13.000]  有很多章聖經都是描寫
[00:04:13.000 --> 00:04:16.000]  當耶穌回來的時候
[00:04:16.000 --> 00:04:19.000]  那種災難是怎樣呢
[00:04:19.000 --> 00:04:23.000]  首先啟示錄三章十節那裡說
[00:04:23.000 --> 00:04:29.000]  我理己遵守那章要忍耐的道
[00:04:29.000 --> 00:04:33.000]  我必起抱天下人受思念的時候
[00:04:33.000 --> 00:04:37.000]  保守你 免去你的思念
[00:04:37.000 --> 00:04:39.000]  我們這群信耶穌的人
[00:04:39.000 --> 00:04:41.000]  一定給我們一個保證
[00:04:41.000 --> 00:04:44.000]  他說當抱天下人都受思念的時候
[00:04:44.000 --> 00:04:45.000]  你免去
[00:04:45.000 --> 00:04:48.000]  因為你已經被我折到天上
