
[00:00:00.000 --> 00:00:02.420]  這個星期真的睡得很差
[00:00:02.420 --> 00:00:05.800]  每天心裏很亂
[00:00:05.800 --> 00:00:10.260]  每天重複重複會做的事就是
[00:00:10.260 --> 00:00:12.260]  不停地看直播
[00:00:12.260 --> 00:00:13.380]  然後手機
[00:00:13.380 --> 00:00:14.300]  這邊看直播
[00:00:14.300 --> 00:00:15.680]  這邊看另一邊的手機
[00:00:15.680 --> 00:00:17.180]  可以看不同的消息
[00:00:17.180 --> 00:00:19.000]  不同的消息不停地重複重複
[00:00:19.000 --> 00:00:20.900]  直到看到好東西好東西
[00:00:20.900 --> 00:00:22.000]  然後很累睡着
[00:00:22.000 --> 00:00:25.360]  然後忽然醒了又要再去看
[00:00:25.360 --> 00:00:26.660]  看有沒有事發生
[00:00:26.660 --> 00:00:29.800]  整個星期都是非常心水不靈
[00:00:29.800 --> 00:00:33.220]  不知大家是否同樣是這樣
[00:00:33.220 --> 00:00:35.640]  然後也有聽過一個婦女說
[00:00:35.640 --> 00:00:38.800]  她看到12號裏面發生的事
[00:00:38.800 --> 00:00:41.560]  其實她原本不太知道
[00:00:41.560 --> 00:00:43.020]  這件事是怎樣發生
[00:00:43.020 --> 00:00:46.400]  或者內容是怎樣
[00:00:46.400 --> 00:00:47.860]  但總之她看到
[00:00:47.860 --> 00:00:51.700]  社會上發生這麼嚴重的衝突
[00:00:51.700 --> 00:00:53.040]  這麼大的紛亂
[00:00:53.040 --> 00:00:55.040]  她心裏很難過
[00:00:55.040 --> 00:00:57.040]  她說一路看的時間
[00:00:57.040 --> 00:00:59.300]  她眼淚不停地流下來
[00:00:59.300 --> 00:01:01.300]  很難過很難過
[00:01:01.300 --> 00:01:03.300]  亦都有親友之間
[00:01:03.300 --> 00:01:05.300]  昨晚也有分享
[00:01:05.300 --> 00:01:07.300]  在親友之間
[00:01:07.300 --> 00:01:10.300]  爲了表達意見
[00:01:10.300 --> 00:01:13.300]  或者因爲最近逃犯條例
[00:01:13.300 --> 00:01:15.300]  修例的爭議裏
[00:01:15.300 --> 00:01:17.300]  要表達不同的意見
[00:01:17.300 --> 00:01:20.300]  於是發出了很多對立的面
[00:01:20.300 --> 00:01:22.300]  出現了
[00:01:22.300 --> 00:01:24.300]  很多年輕人
[00:01:24.300 --> 00:01:27.300]  要去解釋自己的看法的時間
[00:01:27.300 --> 00:01:29.300]  他有時很盡力去解釋
[00:01:29.300 --> 00:01:31.300]  但他的親友
[00:01:31.300 --> 00:01:33.300]  都不太願意接納
[00:01:33.300 --> 00:01:36.300]  結果很生氣
[00:01:36.300 --> 00:01:40.300]  要很大的耐性去面對
[00:01:40.300 --> 00:01:45.300]  亦需要很冷靜的耐心去面對
[00:01:45.300 --> 00:01:47.300]  甚至有些人
[00:01:47.300 --> 00:01:49.300]  索性要退羣
[00:01:49.300 --> 00:01:51.300]  或者unfriend他們
[00:01:51.300 --> 00:01:54.300]  才能獲得一絲平靜
