
[00:00:00.000 --> 00:00:03.000]  今天仍然是講回這個題目
[00:00:03.000 --> 00:00:05.300]  "Recharge in the Word of God"
[00:00:05.300 --> 00:00:07.300]  講題叫"憑什麼"
[00:00:07.300 --> 00:00:10.900]  經文是《生命記》
[00:00:10.900 --> 00:00:13.000]  我經常中英都混到亂七八糟
[00:00:13.000 --> 00:00:16.400]  《生命記》的十七章十四至二十節
[00:00:16.400 --> 00:00:18.200]  好了,你聽完這段經文
[00:00:18.200 --> 00:00:20.900]  如果你看畫本
[00:00:20.900 --> 00:00:22.600]  畫本有一個標題
[00:00:22.600 --> 00:00:26.000]  這段經文的標題是講立王的指示
[00:00:26.000 --> 00:00:29.000]  就是說當一些以色列人進入了迦南的時候
[00:00:29.000 --> 00:00:31.000]  如果他想立一個皇帝
[00:00:31.000 --> 00:00:33.200]  有些什麼 criteria(標準)
[00:00:33.200 --> 00:00:35.800]  他如何去選擇一個皇帝
[00:00:35.800 --> 00:00:37.200]  可能你聽完這段經文
[00:00:37.200 --> 00:00:39.700]  第一個感覺就是關我什麼事
[00:00:39.700 --> 00:00:41.200]  你說立王而已
[00:00:41.200 --> 00:00:43.300]  或者如果你說立主任牧師也與我無關
[00:00:43.300 --> 00:00:44.600]  我又不是
[00:00:44.600 --> 00:00:47.000]  但其實經文這裡說
[00:00:47.000 --> 00:00:48.800]  君王有一個本質
[00:00:48.800 --> 00:00:50.200]  本質是什麼呢
[00:00:50.200 --> 00:00:54.400]  管理、帶領、治理一個地方
[00:00:54.400 --> 00:00:57.400]  其實某程度上我們每一個人
[00:00:57.400 --> 00:00:59.000]  都有這個角色
[00:00:59.000 --> 00:01:00.800]  至少限度
[00:01:00.800 --> 00:01:02.500]  你自己的人生
[00:01:02.500 --> 00:01:04.400]  你憑什麼
[00:01:04.400 --> 00:01:06.900]  去帶領你走前面的路
[00:01:06.900 --> 00:01:09.400]  以後那幾十步
[00:01:09.400 --> 00:01:10.600]  幾十年的人生
[00:01:10.600 --> 00:01:14.000]  你憑什麼去管理你的人生呢
[00:01:14.000 --> 00:01:16.800]  這段經文是講這件事的
[00:01:16.800 --> 00:01:20.200]  所以很希望藉著這段經文去提醒你
[00:01:20.200 --> 00:01:21.200]  我最厲害了
[00:01:21.200 --> 00:01:22.200]  還有鼓勵你
[00:01:22.200 --> 00:01:23.600]  我嘗試做多一點
[00:01:23.600 --> 00:01:25.600]  首先講一下經文的背景
[00:01:25.600 --> 00:01:26.600]  第十四節
[00:01:26.600 --> 00:01:28.200]  第十四節講到
[00:01:28.200 --> 00:01:31.200]  你到了耶和華你所赐的地
[00:01:31.200 --> 00:01:33.600]  即是在說迦南地
[00:01:33.600 --> 00:01:37.600]  單憑這一句語氣語調
[00:01:37.600 --> 00:01:39.900]  其實你知道那群以色列人
[00:01:39.900 --> 00:01:41.000]  還沒進迦南
[00:01:41.000 --> 00:01:43.600]  他仍然在曠野裡
[00:01:43.600 --> 00:01:45.400]  他準備進迦南
[00:01:45.400 --> 00:01:46.400]  經文說
[00:01:46.400 --> 00:01:49.900]  當你進迦南想有一個王的時候
[00:01:49.900 --> 00:01:51.400]  你要怎樣怎樣怎樣
[00:01:51.400 --> 00:01:52.200]  行不行
[00:01:52.200 --> 00:01:53.000]  好了
[00:01:53.000 --> 00:01:55.200]  我不知道你明不明白
[00:01:55.200 --> 00:01:57.400]  以色列人離開埃及
