
[00:00:00.000 --> 00:00:06.960]  今天選擇的題目是「尊重神的主權,重視神的賜福」
[00:00:06.960 --> 00:00:10.800]  其實基督人生很簡單,有一個大框架
[00:00:10.800 --> 00:00:13.360]  一部份是有神的主權
[00:00:13.360 --> 00:00:16.320]  一部份是有我們自己的參與
[00:00:16.320 --> 00:00:21.120]  一部份是有很多我們不明白或者很奇妙的
[00:00:21.120 --> 00:00:25.640]  或者不開心的其他遭遇和我們運作
[00:00:25.640 --> 00:00:30.600]  有時在這三者之間的關係,我們都不太明白
[00:00:30.600 --> 00:00:34.800]  基督人生裡面穿插著我們的出生
[00:00:34.800 --> 00:00:37.520]  我們的成長,我們的學習
[00:00:37.520 --> 00:00:41.120]  我們的感情,我們的家庭,我們的工作
[00:00:41.120 --> 00:00:43.640]  也關係我們生命的順逆
[00:00:43.640 --> 00:00:46.120]  我們的健康有沒有意外
[00:00:46.120 --> 00:00:49.080]  人生裡面很多這些關節裡面
[00:00:49.080 --> 00:00:53.200]  都是帶來我們成長今天的光景裡面很多的影響
[00:00:53.200 --> 00:00:58.280]  我用雅各不同的心平故事裡面,希望互相鼓勵
[00:00:58.280 --> 00:01:00.040]  生命是神所賜
[00:01:00.040 --> 00:01:03.720]  人生很多東西都有神所定的界限
[00:01:03.720 --> 00:01:07.800]  好像聖經說,尼伯加沒有小孩
[00:01:07.800 --> 00:01:11.480]  阿求求,很明顯小孩是神給他的
[00:01:11.480 --> 00:01:14.760]  接著出生的時候,聖經記載了
[00:01:14.760 --> 00:01:19.120]  未出生的時候,神已經預言有兩個出來
[00:01:19.120 --> 00:01:22.680]  生一個,生兩個,又不是他定的
[00:01:22.680 --> 00:01:26.920]  生出來的時候,原來兩個在胎裡打架
[00:01:26.920 --> 00:01:28.640]  都在爭戰
[00:01:28.640 --> 00:01:31.520]  一般的父母想兄弟會和好
[00:01:31.520 --> 00:01:33.720]  但是剛好這兩個小小的爭戰
[00:01:33.720 --> 00:01:37.280]  從這個胎兒的故事開始,或者是感受
[00:01:37.280 --> 00:01:41.040]  接著再說他們在二十三節
[00:01:41.040 --> 00:01:43.000]  其實他們兩個都很出色的
[00:01:43.000 --> 00:01:45.920]  兩個將來都是繁殖眾多
[00:01:45.920 --> 00:01:50.360]  他說兩國在你腹內,兩族從你身上出來
[00:01:50.360 --> 00:01:52.160]  這兩個都是很出色的
[00:01:52.160 --> 00:01:55.360]  在地上來說,都很出色的一個領袖
[00:01:55.360 --> 00:01:56.560]  將來很多人
[00:01:56.560 --> 00:02:00.400]  但是又說了一個定義
[00:02:00.400 --> 00:02:04.800]  大的那個將來好像沒有小的那麼厲害
[00:02:04.800 --> 00:02:07.080]  人生裡面很多這些定義
[00:02:07.080 --> 00:02:10.120]  這些定義在聖經裡面令到經文更強烈
[00:02:10.120 --> 00:02:11.600]  另一個經文,相關的經文
[00:02:11.600 --> 00:02:14.360]  就是羅馬書第九章十到十二節
[00:02:14.360 --> 00:02:15.800]  一起讀
[00:02:15.800 --> 00:02:20.080]  「不但如此,還有尼伯加繼從一個人
[00:02:20.080 --> 00:02:24.040]  就是從我們祖宗以殺害了人
[00:02:24.040 --> 00:02:26.720]  雙子還沒有生下來
[00:02:26.720 --> 00:02:29.240]  善惡還沒有作出來
[00:02:29.240 --> 00:02:33.160]  只因要叫顯明神揀選人的旨意
[00:02:33.160 --> 00:02:37.880]  不在乎人的行為,乃在乎人的旨意」
[00:02:37.880 --> 00:02:42.920]  尼伯加說將來大的要服侍小的
[00:02:42.920 --> 00:02:46.760]  這裡說到一些傳統神學叫預定論
[00:02:46.760 --> 00:02:49.760]  或者神的護理、神的揀選等等經文
[00:02:49.760 --> 00:02:52.600]  今天就沒有集中說這個大道理
[00:02:52.600 --> 00:02:54.800]  但是都有相關的道理
[00:02:54.800 --> 00:02:57.160]  很多東西是神所定
[00:02:57.160 --> 00:02:58.840]  就是神所管理
[00:02:58.840 --> 00:03:00.840]  是我們控制不了的
[00:03:00.840 --> 00:03:04.000]  聖經裡面說到人的年日
[00:03:04.000 --> 00:03:05.760]  約伯記一個名句
[00:03:05.760 --> 00:03:09.240]  約伯記說「人的日子既然限定
[00:03:09.240 --> 00:03:11.440]  他的月數在你那裡
[00:03:11.440 --> 00:03:16.240]  你派定他的界限使他不能越過」
[00:03:16.240 --> 00:03:20.640]  最近直接和間接接觸了兩個喪禮
[00:03:20.640 --> 00:03:22.760]  一個沒有去,聽了一些故事
[00:03:22.760 --> 00:03:24.200]  一個有去
[00:03:24.200 --> 00:03:28.040]  一個有幾個牧師去釣魚
[00:03:28.040 --> 00:03:31.920]  誰知釣魚的時候船上有些浪翻了
[00:03:31.920 --> 00:03:34.520]  有牧師無端端走了
[00:03:34.520 --> 00:03:35.920]  這樣就過世了
[00:03:35.920 --> 00:03:37.720]  另一個是我認識的
[00:03:37.720 --> 00:03:39.680]  低我一屆的同學
[00:03:39.680 --> 00:03:43.440]  他是另一間宗派的牧師
[00:03:43.440 --> 00:03:45.200]  他的兒子我不知道
[00:03:45.200 --> 00:03:48.080]  原來剛好是我兒子同一間學校高一屆
[00:03:48.080 --> 00:03:49.360]  其實我也不知道
[00:03:49.360 --> 00:03:51.320]  和這個同學也算是認識的
[00:03:51.320 --> 00:03:53.200]  挺熟悉的,也是少見的
[00:03:53.200 --> 00:03:55.120]  突然間收到WhatsApp
[00:03:55.120 --> 00:04:00.280]  這個牧師剛剛去澳門短訊期間
