
[00:00:00.000 --> 00:00:02.000]  請我們繼續在神的面前
[00:00:02.000 --> 00:00:04.000]  我們恭敬仰望祂
[00:00:04.000 --> 00:00:06.000]  將祂的心意去話語
[00:00:06.000 --> 00:00:08.000]  告訴我們
[00:00:08.000 --> 00:00:10.000]  當我們唱
[00:00:10.000 --> 00:00:12.000]  這個世界
[00:00:12.000 --> 00:00:14.000]  和諧
[00:00:14.000 --> 00:00:16.000]  完美的時候
[00:00:16.000 --> 00:00:18.000]  我們也都
[00:00:18.000 --> 00:00:20.000]  不忘記
[00:00:20.000 --> 00:00:22.000]  其實在我們身邊也有很多
[00:00:22.000 --> 00:00:26.000]  不同的景況
[00:00:26.000 --> 00:00:28.000]  主要我們
[00:00:28.000 --> 00:00:30.000]  我們見到過去一個星期
[00:00:30.000 --> 00:00:32.000]  在香港的社會裏面
[00:00:32.000 --> 00:00:36.000]  很多家庭的慘案
[00:00:36.000 --> 00:00:38.000]  發生
[00:00:38.000 --> 00:00:40.000]  主要我們心裏面
[00:00:40.000 --> 00:00:42.000]  可能都很多的不明白
[00:00:42.000 --> 00:00:44.000]  尤其是我們覺得
[00:00:44.000 --> 00:00:46.000]  原來香港
[00:00:46.000 --> 00:00:48.000]  的家庭
[00:00:48.000 --> 00:00:50.000]  那麼多的警號
[00:00:50.000 --> 00:00:52.000]  已經亮起
[00:00:52.000 --> 00:00:54.000]  主要當我們說
[00:00:54.000 --> 00:00:56.000]  我們要
[00:00:56.000 --> 00:00:58.000]  好像真光一樣照亮世間的時間
[00:00:58.000 --> 00:01:00.000]  我們見到
[00:01:00.000 --> 00:01:02.000]  這個世界真是很黑暗
[00:01:02.000 --> 00:01:04.000]  所以我們真的需要光
[00:01:04.000 --> 00:01:06.000]  主啊
[00:01:06.000 --> 00:01:08.000]  祢就是真光
[00:01:08.000 --> 00:01:10.000]  求祢的
[00:01:10.000 --> 00:01:12.000]  話語照亮在我們
[00:01:12.000 --> 00:01:14.000]  黑暗的心裏面
[00:01:14.000 --> 00:01:16.000]  照亮在這個黑暗的世界裏面
[00:01:16.000 --> 00:01:18.000]  求祢的
[00:01:18.000 --> 00:01:20.000]  話語向祢的子民
