
[00:00:00.000 --> 00:00:05.960]  很開心,今年年初一看到很多電影節目參與崇拜
[00:00:05.960 --> 00:00:10.000]  跟旁邊的大聲招呼,說一句祝福的說話,好嗎?
[00:00:10.000 --> 00:00:14.720]  (祝福)
[00:00:14.720 --> 00:00:18.960]  今年真的是特別的,一月一日星期日,年初一日星期日
[00:00:18.960 --> 00:00:20.040]  是很難得的
[00:00:20.040 --> 00:00:26.120]  所以特意在新春的時間,我們講的題目叫「就座變為祝福」
[00:00:26.120 --> 00:00:30.400]  希望我們一切不好的、舊的都成為過去
[00:00:30.400 --> 00:00:33.280]  中國人都挺好的,我們拜年的時間
[00:00:33.280 --> 00:00:37.680]  都很希望我們講一些好聽的說話,是嗎?
[00:00:37.680 --> 00:00:40.840]  我小時候是信主的
[00:00:40.840 --> 00:00:45.080]  信主之後,新年其實是有點尷尬的
[00:00:45.080 --> 00:00:48.280]  我不知道有沒有初信主的領子妹有這個想法
[00:00:48.280 --> 00:00:52.680]  這三年,我們一定是祝福人甚麼的?
[00:00:52.680 --> 00:00:56.280]  身體健康,剛才是否有幾人跟你說身體健康的?
[00:00:56.280 --> 00:00:58.840]  是嗎?我也見過很多人講身體健康
[00:00:58.840 --> 00:01:01.280]  但我們小時候,我不知道
[00:01:01.280 --> 00:01:05.160]  通常一見面,新年媽媽教甚麼的?
[00:01:05.160 --> 00:01:07.240]  恭喜發財,是嗎?
[00:01:07.240 --> 00:01:10.440]  但可能剛幸福少少缺志的人就知道
[00:01:10.440 --> 00:01:16.440]  當信了主之後,突然間覺得跟別人說「恭喜發財」
[00:01:16.440 --> 00:01:19.480]  又好像不知爭甚麼似的,是嗎?
[00:01:19.480 --> 00:01:21.880]  於是就要學習講其他
[00:01:21.880 --> 00:01:25.000]  小朋友又會學習甚麼龍馬精神
[00:01:25.000 --> 00:01:28.680]  那時其實身體健康是跟老人家講的
[00:01:28.680 --> 00:01:33.080]  所以你見到年輕的伯母又沒有意思跟他們說身體健康
[00:01:33.080 --> 00:01:34.680]  跟現在是很不同的
[00:01:34.680 --> 00:01:38.960]  但後來在教會內部有很多書室
[00:01:38.960 --> 00:01:40.600]  很多紀念會做的時候
[00:01:40.600 --> 00:01:42.760]  開始這個市場可能大了
[00:01:42.760 --> 00:01:46.720]  所以很多基督教的術語都會出現
[00:01:46.720 --> 00:01:49.880]  所以如果你是去買到這些,都有類似的,是嗎?
[00:01:49.880 --> 00:01:55.480]  即是「榮神益人」、「常傳喜樂」、「福杯滿人」
[00:01:55.480 --> 00:01:59.320]  我還記得以前有一個很喜歡的叫「八福臨門」
[00:01:59.320 --> 00:02:01.440]  所以不信主的人見到「嘩!是甚麼來的?」
[00:02:01.440 --> 00:02:03.360]  「八福這麼多的?」
[00:02:03.360 --> 00:02:05.040]  都是一個興趣來的
[00:02:05.040 --> 00:02:09.600]  而我們有時會貼「以馬內利」,即是這一類的,是嗎?
[00:02:09.600 --> 00:02:12.040]  但很坦白,未信主的人
[00:02:12.040 --> 00:02:16.000]  不太知道「以馬內利」是做甚麼的,是嗎?
[00:02:16.000 --> 00:02:17.080]  大家知不知道?
[00:02:17.080 --> 00:02:19.520]  跟大家講「以馬內利」是甚麼意思?
[00:02:19.520 --> 00:02:23.400]  是祝福你、神與你同在,這樣都是好的
[00:02:23.400 --> 00:02:27.680]  很多時候我們佈置,除了貼這些所謂的「揮春」之外
[00:02:27.680 --> 00:02:32.320]  大戶人家,有文化的那些就會貼「對戀」,是嗎?
[00:02:32.320 --> 00:02:36.920]  亦都有些基督教的「對戀」是不錯的,在網上找到的
[00:02:36.920 --> 00:02:39.920]  他說甚麼「忘記背後,慈身遂」
[00:02:39.920 --> 00:02:42.320]  「努力面前,迎新春」
[00:02:42.320 --> 00:02:44.360]  挺好的,是嗎?挺押韻,是嗎?
[00:02:44.360 --> 00:02:47.480]  另一句就是「敬乾道日,守真道」
[00:02:47.480 --> 00:02:50.480]  「相愛和睦,享平安」
[00:02:50.480 --> 00:02:53.880]  「亦授延年,神賜福」
[00:02:53.880 --> 00:02:56.400]  「豐衣足食,主施孕」
[00:02:56.400 --> 00:02:58.560]  哇!都挺好文采,是嗎?
[00:02:58.560 --> 00:03:02.080]  所以,出唸一下大字的,是可以抄一下
[00:03:02.080 --> 00:03:06.360]  其實,說話在於我們信主的人來說
[00:03:06.360 --> 00:03:08.560]  都知道一個很重要的道理
[00:03:08.560 --> 00:03:10.800]  說話是大有能力的
[00:03:10.800 --> 00:03:13.160]  上帝創造天地的時候
[00:03:13.160 --> 00:03:15.240]  神是怎樣創造的?
[00:03:15.240 --> 00:03:20.600]  就是「神說,要有光,就有了光」
[00:03:20.600 --> 00:03:23.600]  上帝的說話是滿有能力的
[00:03:23.600 --> 00:03:26.520]  但其實,原來你和我的說話
[00:03:26.520 --> 00:03:28.560]  都是滿有能力的
[00:03:28.560 --> 00:03:31.760]  所以,在聖經裏面有很多教導
[00:03:31.760 --> 00:03:33.960]  都是教導我們把口的
[00:03:33.960 --> 00:03:36.320]  在《心言》的第十章
[00:03:36.320 --> 00:03:39.160]  十九到二十字,常常都聽到的
[00:03:39.160 --> 00:03:43.240]  「多言多語,難免有過」
[00:03:43.240 --> 00:03:47.840]  「節祭咀唇,是有智慧的」
[00:03:47.840 --> 00:03:50.520]  所以,中國人都好的
[00:03:50.520 --> 00:03:51.720]  我們有新年
[00:03:51.720 --> 00:03:57.480]  起碼有兩天,我們是被迫有節祭的
[00:03:57.480 --> 00:03:59.800]  就是今天,和明天
[00:03:59.800 --> 00:04:01.440]  兩天而已,為甚麼?
[00:04:01.440 --> 00:04:03.480]  因為中國人太明白自己了
[00:04:03.480 --> 00:04:05.800]  第三天就解放了
[00:04:05.800 --> 00:04:07.920]  有個甚麼?赤口
[00:04:07.920 --> 00:04:11.520]  意思是,忍兩天已經很盡了
[00:04:11.520 --> 00:04:12.880]  四十八小時,是嗎?
[00:04:12.880 --> 00:04:15.240]  然後,那天吵架就算了
[00:04:15.240 --> 00:04:17.240]  那天也是叫赤口的
[00:04:17.240 --> 00:04:18.680]  但是,我們作為一個基督徒
[00:04:18.680 --> 00:04:21.240]  我們知道,我們的口
[00:04:21.240 --> 00:04:23.800]  我們的說話,其實是重要的
[00:04:23.800 --> 00:04:26.880]  聖經教導我們,重贊和周助
[00:04:26.880 --> 00:04:30.040]  是不應該從一個口而出的
[00:04:30.040 --> 00:04:31.520]  剛才大家看得很好
[00:04:31.520 --> 00:04:34.680]  一進來,大家很興奮,是嗎?
[00:04:34.680 --> 00:04:36.640]  我們的說話是稱讚美主的
[00:04:36.640 --> 00:04:38.520]  我們都重贊上帝的
[00:04:38.520 --> 00:04:40.200]  但是,同一把口
[00:04:40.200 --> 00:04:42.200]  如果我們又稱讚美主
[00:04:42.200 --> 00:04:44.920]  轉過頭,又去周助其他人
[00:04:44.920 --> 00:04:46.160]  說些壞話
[00:04:46.160 --> 00:04:47.440]  其實真是
[00:04:47.440 --> 00:04:49.360]  不要說對人好不好
[00:04:49.360 --> 00:04:51.200]  其實都是羞辱主明的
[00:04:51.200 --> 00:04:52.400]  因此,在聖經裡面
[00:04:52.400 --> 00:04:54.280]  特別是在保羅很多人教導的那邊
[00:04:54.280 --> 00:04:55.920]  他都提醒教會
[00:04:55.920 --> 00:04:57.720]  提醒指揮之間的相處
[00:04:57.720 --> 00:04:59.200]  是要留意說話的
[00:04:59.200 --> 00:05:02.280]  他說,一切那些憤怒、烈怒
[00:05:02.280 --> 00:05:05.040]  惡毒、毀謗、污穢的言語
[00:05:05.040 --> 00:05:08.400]  其實是不應該在我們的口而出的
[00:05:08.400 --> 00:05:10.640]  某程度來說,在這本所書五章四字
[00:05:10.640 --> 00:05:12.800]  他們更加積極地說
[00:05:12.800 --> 00:05:15.400]  我們要說感恩的說話
[00:05:15.400 --> 00:05:16.960]  我喜歡這個新的翻譯
