
[00:00:00.000 --> 00:00:03.000]  那今天我要講的題目是
[00:00:03.000 --> 00:00:04.780]  以馬內利
[00:00:04.780 --> 00:00:08.500]  這也是我們每次到聖誕佳節的時候
[00:00:08.500 --> 00:00:11.760]  我們會常常聽到以馬內利
[00:00:11.760 --> 00:00:14.580]  這個名詞 可是一講到以馬內利
[00:00:14.580 --> 00:00:18.020]  我們很快也可以說 神與我們同在
[00:00:18.020 --> 00:00:21.000]  因為主耶穌誕生的時候就稱
[00:00:21.000 --> 00:00:23.380]  以馬內利 神與我們同在
[00:00:23.380 --> 00:00:26.240]  可是我們常常忘記
[00:00:26.240 --> 00:00:29.880]  也常常不太強調
[00:00:30.000 --> 00:00:31.660]  在舊約的時候
[00:00:31.660 --> 00:00:34.640]  在以馬內利 在舊約的典故
[00:00:34.640 --> 00:00:37.580]  那在舊約給我們什麼啟示
[00:00:37.580 --> 00:00:40.740]  在新約祂又佔什麼樣的一個角色
[00:00:40.740 --> 00:00:45.400]  藉著今天我願意來跟各位來傳達
[00:00:45.400 --> 00:00:48.420]  我主要的目的 也就是說
[00:00:48.420 --> 00:00:50.760]  讓今年的聖誕節
[00:00:50.760 --> 00:00:53.380]  或是你還沒有接受主的
[00:00:53.380 --> 00:00:56.460]  我用歷史 神在歷史當中
[00:00:56.460 --> 00:01:00.000]  給我們來見證的一件事
[00:01:00.000 --> 00:01:02.800]  是我們在人生的道路中
[00:01:02.800 --> 00:01:06.240]  不要因為我們心中有任何的想法
[00:01:06.240 --> 00:01:09.080]  等一下我信息裡面會提到
[00:01:09.080 --> 00:01:12.040]  而失去神與我們同在
[00:01:12.040 --> 00:01:14.660]  神與我們同在不是口頭上講
[00:01:14.660 --> 00:01:17.600]  神與我們同在 乃是用信心
[00:01:17.600 --> 00:01:20.820]  去接受的時候 祂必與我們同在
[00:01:20.820 --> 00:01:24.080]  當講到以馬內利的時候
[00:01:24.080 --> 00:01:27.140]  我們剛剛所讀的是在以賽亞書的
[00:01:27.140 --> 00:01:28.640]  第七章裡面
[00:01:28.640 --> 00:01:30.800]  可是以賽亞書
[00:01:30.800 --> 00:01:33.120]  七章裡面 剛剛你們讀的時候
[00:01:33.120 --> 00:01:36.320]  我相信一定有很多名詞
[00:01:36.320 --> 00:01:37.820]  讓我們很混淆
[00:01:37.820 --> 00:01:40.720]  又是以色列 又是以法連 又是
[00:01:40.720 --> 00:01:44.520]  又是亞蘭 又是亞述 等等這些
[00:01:44.520 --> 00:01:46.480]  那我今天
[00:01:46.480 --> 00:01:50.140]  藉著這樣一個歷史的事件
[00:01:50.140 --> 00:01:53.160]  我來簡單的闡述
[00:01:53.160 --> 00:01:55.120]  來傳達這個信息
[00:01:55.120 --> 00:01:58.360]  我們知道聖經是一本歷史的書
[00:01:58.360 --> 00:02:01.360]  但是聖經歷史書的記載
[00:02:01.360 --> 00:02:04.440]  是以神的百姓
[00:02:04.440 --> 00:02:07.640]  以色列民為主軸
[00:02:07.640 --> 00:02:10.600]  神的作為 神的救贖
[00:02:10.600 --> 00:02:14.440]  在歷史中不間斷的在進展
[00:02:14.440 --> 00:02:18.720]  等到這世界的局勢的結局
[00:02:18.720 --> 00:02:21.120]  所以人間的歷史
[00:02:21.120 --> 00:02:25.120]  是自從有人記載之後才開始
[00:02:25.120 --> 00:02:27.440]  到結束的那一天
[00:02:27.440 --> 00:02:30.160]  聖經的歷史記載是
[00:02:30.160 --> 00:02:33.160]  當人還不知道記載
[00:02:33.160 --> 00:02:37.720]  人還不知道所發生之前的事
[00:02:37.720 --> 00:02:41.040]  神就記載在創世紀
[00:02:41.040 --> 00:02:42.720]  所以我講過很多次
[00:02:42.720 --> 00:02:45.480]  創世紀是起源之書
[00:02:45.480 --> 00:02:48.120]  就當亞當夏娃還不知道
[00:02:48.120 --> 00:02:51.320]  所發生神的創造之前
[00:02:51.320 --> 00:02:54.680]  他們還沒有經歷看到之前
[00:02:54.680 --> 00:02:56.760]  神就已經記載下來
[00:02:56.760 --> 00:02:59.760]  到最後世界毀滅之後
[00:02:59.760 --> 00:03:02.720]  世界的將來
[00:03:02.720 --> 00:03:05.000]  在啟示錄也記載
[00:03:05.000 --> 00:03:08.040]  所以聖經雖然是一本歷史的書
[00:03:08.040 --> 00:03:10.320]  但是聖經裡面要給我們的是
[00:03:10.320 --> 00:03:12.760]  神的救贖永不改變
[00:03:12.760 --> 00:03:15.360]  從第一天亞當犯罪之後
[00:03:15.360 --> 00:03:19.800]  神的救贖就向人們顯示
[00:03:19.800 --> 00:03:21.040]  到最後一天
[00:03:21.040 --> 00:03:22.920]  祂的救贖完成
[00:03:22.920 --> 00:03:27.680]  祂的旨意成就那一天為止
[00:03:27.680 --> 00:03:30.320]  所以在這一段裡面我們看到
[00:03:30.320 --> 00:03:33.000]  以賽亞是一位先知
[00:03:33.000 --> 00:03:36.280]  所以以賽亞這位先知
[00:03:36.280 --> 00:03:42.200]  祂的名稱的意思就是神的救恩
[00:03:42.200 --> 00:03:45.440]  剛剛我們所讀的這段經文裡面講到
[00:03:45.440 --> 00:03:47.720]  以色列王國等等
[00:03:47.720 --> 00:03:51.880]  還有猶大這兩個國
[00:03:51.880 --> 00:03:56.600]  很多時候我們對這舊約的歷史
[00:03:56.600 --> 00:03:59.240]  沒有稍微講的時候
[00:03:59.240 --> 00:04:01.720]  大家很容易就在講什麼
[00:04:01.720 --> 00:04:04.480]  又是以色列又是猶大
[00:04:04.480 --> 00:04:06.720]  那簡單來說
[00:04:06.720 --> 00:04:13.160]  自從所羅門王之後
[00:04:13.160 --> 00:04:16.400]  我們看到大衛是神檢選的王
[00:04:16.400 --> 00:04:17.960]  賜福給大衛
[00:04:17.960 --> 00:04:22.240]  所羅門王向神祈求智慧
[00:04:22.240 --> 00:04:23.720]  神賜給他智慧
[00:04:23.720 --> 00:04:31.760]  他治理全國其他國的首領都來朝貢
[00:04:31.760 --> 00:04:33.720]  是最鼎盛的時候
[00:04:33.720 --> 00:04:36.320]  可是所羅門王在晚年
[00:04:36.320 --> 00:04:43.000]  因為拜偶像跟外邦的非品結合
[00:04:43.000 --> 00:04:45.280]  而日漸衰弱
[00:04:45.280 --> 00:04:49.560]  等到他兒子羅伯安繼位之後
[00:04:49.560 --> 00:04:53.040]  他又加重稅收在民眾當中
[00:04:53.040 --> 00:04:56.560]  使民眾為自己的權利保護
[00:04:56.560 --> 00:05:00.720]  所以就分北國
[00:05:00.720 --> 00:05:06.120]  所以耶羅伯安就帶領十個支派到北國
[00:05:06.120 --> 00:05:10.080]  所以這段歷史記載是講到
[00:05:10.080 --> 00:05:15.000]  耶羅伯安也就是所羅門王的兒子羅伯安
[00:05:15.000 --> 00:05:19.160]  之後耶羅伯安帶十個支派到北國
[00:05:19.160 --> 00:05:21.600]  自己成立一個國度
[00:05:21.600 --> 00:05:25.520]  所以南國這是猶大和邊衙民
[00:05:25.520 --> 00:05:29.680]  那北國就是十個支派
[00:05:29.680 --> 00:05:33.280]  所以在名稱上有這樣一個分別
[00:05:33.280 --> 00:05:37.280]  那我們看到在當時
[00:05:37.280 --> 00:05:42.320]  也就是公元前七百三十多年
[00:05:42.320 --> 00:05:44.760]  四十幾年這個時候
[00:05:44.760 --> 00:05:48.600]  這亞述慢慢強盛
[00:05:48.600 --> 00:05:51.840]  那在北國是以色列
[00:05:51.840 --> 00:05:54.680]  南國是猶大
[00:05:54.680 --> 00:05:56.840]  那北國的以色列呢
[00:05:56.840 --> 00:05:58.800]  他就跟亞蘭
[00:05:58.800 --> 00:06:01.000]  就是現今的敘利亞
[00:06:01.000 --> 00:06:04.200]  你只要看地圖敘利亞
[00:06:04.200 --> 00:06:08.200]  現今的敘利亞就在以色列的北方
[00:06:08.200 --> 00:06:12.480]  這當時的以色列國就跟敘利亞
[00:06:12.480 --> 00:06:16.560]  就亞蘭國聯合
