
[00:00:00.000 --> 00:00:01.440]  再向前行
[00:00:01.440 --> 00:00:02.840]  他向著什麼方向呢?
[00:00:02.840 --> 00:00:06.660]  向著耶路撒冷這個城向前行的時候
[00:00:06.660 --> 00:00:10.280]  他的目標就是要走上加勒山
[00:00:10.280 --> 00:00:12.380]  要被釘在十字架上面
[00:00:12.380 --> 00:00:17.480]  受痛苦、受死
[00:00:17.480 --> 00:00:21.600]  為什麼耶穌仍然繼續向前行呢?
[00:00:21.600 --> 00:00:24.080]  什麼驅使耶穌基督繼續向前行
[00:00:24.080 --> 00:00:27.760]  這條十字架的痛苦的道路呢?
[00:00:27.760 --> 00:00:29.960]  御苦期
[00:00:29.960 --> 00:00:33.960]  頂英占會有沒有跟著這裡一起去靈修呢?
[00:00:33.960 --> 00:00:35.400]  我們鼓勵每一位頂英占會
[00:00:35.400 --> 00:00:38.400]  我們人人天天靈修
[00:00:38.400 --> 00:00:39.760]  御苦期
[00:00:39.760 --> 00:00:43.280]  特別是在復活節
[00:00:43.280 --> 00:00:45.960]  是一個開心快樂的日子
[00:00:45.960 --> 00:00:49.960]  因為我們紀念耶穌基督死而復活
[00:00:49.960 --> 00:00:51.440]  但是在復活節之前
[00:00:51.440 --> 00:00:53.160]  其實有一段時間40天
[00:00:53.160 --> 00:00:55.360]  是叫做御苦期
[00:00:55.360 --> 00:00:58.360]  就是耶穌基督被出賣
[00:00:58.360 --> 00:00:59.720]  走十字架的路
[00:00:59.720 --> 00:01:02.760]  被釘死的一段日期
[00:01:02.760 --> 00:01:03.760]  如果你們留意
[00:01:03.760 --> 00:01:05.360]  今天的資料有少許錯誤
[00:01:05.360 --> 00:01:06.600]  對不起,今天是我寫的
[00:01:06.600 --> 00:01:07.760]  今天不是終之主日
[00:01:07.760 --> 00:01:09.680]  下個星期日才是終之主日
[00:01:09.680 --> 00:01:12.240]  現在都是御苦期的主日
[00:01:12.240 --> 00:01:15.600]  還有兩個星期
[00:01:15.600 --> 00:01:19.640]  耶穌釘十字架的時間
[00:01:19.640 --> 00:01:20.920]  今天我們在御苦期裡面
[00:01:20.920 --> 00:01:22.560]  我們去思想
[00:01:22.560 --> 00:01:24.720]  耶穌基督的愛
[00:01:24.720 --> 00:01:27.400]  對我們來說是一份怎樣的愛呢
[00:01:27.400 --> 00:01:28.360]  以至到我們的生命
[00:01:28.360 --> 00:01:29.880]  可以怎樣去回應祂
[00:01:29.880 --> 00:01:32.880]  我們低頭再禱告
[00:01:32.880 --> 00:01:40.200]  耶穌啊,我們怎樣可以沒有了祢
[00:01:40.200 --> 00:01:40.880]  如果沒有了祢
[00:01:40.880 --> 00:01:43.880]  我們什麼都不能夠去做
[00:01:43.880 --> 00:01:46.840]  就好像葡萄樹和枝子一樣
[00:01:46.840 --> 00:01:47.680]  耶穌啊,今天求祢
[00:01:47.680 --> 00:01:51.120]  叫我們不要輕看你自己的說話
[00:01:51.120 --> 00:01:53.920]  不要輕看你的教導
[00:01:53.920 --> 00:01:56.360]  因為聖靈就要在我們生命當中
[00:01:56.360 --> 00:01:58.240]  親自來提醒我們
[00:01:58.240 --> 00:02:00.160]  藉著你的說話
[00:02:00.160 --> 00:02:02.840]  進入我們生命當中
[00:02:02.840 --> 00:02:08.840]  提醒、鼓勵、督責、勸勉、引導我們
[00:02:08.840 --> 00:02:11.400]  所以我們將要在這段時間交上
[00:02:11.400 --> 00:02:13.880]  求主祢的靈與我們同在
