
[00:00:00.000 --> 00:00:04.600]  上星期 很感恩Steven傳道跟大家分享崇拜的訊息
[00:00:04.600 --> 00:00:07.920]  就是「跨出去回應恩若」
[00:00:07.920 --> 00:00:14.080]  今天我想跟大家分享的題目就是「跨出去領洋來」
[00:00:14.080 --> 00:00:20.320]  但當我們今天回想 回看現今的世代
[00:00:20.320 --> 00:00:25.360]  其實有很多的混亂 很多的不明朗
[00:00:25.360 --> 00:00:29.320]  疫情亦有很多的威脅 令我們有很多的限制
[00:00:29.320 --> 00:00:34.720]  在香港我們教會的前景 又仿似很多的未明朗
[00:00:34.720 --> 00:00:40.640]  很多的未知之數 其實我們都面對著很大的挑戰和困難
[00:00:40.640 --> 00:00:46.800]  正正在這樣的局勢下 當我們繼續說我們要為主去跨出去
[00:00:46.800 --> 00:00:52.320]  做本地的群體的跨文化的服侍
[00:00:52.320 --> 00:00:59.600]  究竟我們的理據 我們的原因 我們的動力可以在哪裡呢?
[00:00:59.600 --> 00:01:03.120]  求主幫助我們藉著今天主的話語
[00:01:03.120 --> 00:01:06.720]  讓我們一起可以找到出路和答案
[00:01:06.720 --> 00:01:10.040]  我們邀請弟兄姊妹再一次同心低頭禱告
[00:01:10.040 --> 00:01:14.120]  天父我們感謝祢 祢就是我們的大牧者
[00:01:14.120 --> 00:01:17.720]  祢賜給我們由主耶穌基督成為我們的牧長
[00:01:17.720 --> 00:01:20.920]  我們一生都願意去跟從主
[00:01:20.920 --> 00:01:25.120]  但願我們每一次去打開神的話語 去研讀的時候
[00:01:25.120 --> 00:01:30.120]  求親愛聖靈親自的引導 安慰 感動和幫助
[00:01:30.120 --> 00:01:34.520]  在這一刻無論是說的還是聽的 求主祢親自的賜福
[00:01:34.520 --> 00:01:38.920]  我們同心禱告 奉靠主耶穌基督的名字而求
[00:01:38.920 --> 00:01:40.920]  阿們
[00:01:40.920 --> 00:01:44.320]  邀請弟兄姊妹再聽我讀出這一段經文
[00:01:44.320 --> 00:01:47.520]  在《約翰福音》第十章十四到第十六節
[00:01:47.520 --> 00:01:52.720]  主耶穌說:「我是好牧人 我認識我的羊
[00:01:52.720 --> 00:01:54.920]  我的羊也認識我
[00:01:54.920 --> 00:01:58.920]  正如父認識我 我也認識父一樣
[00:01:58.920 --> 00:02:01.120]  並且我為羊捨命
[00:02:01.120 --> 00:02:04.320]  我另外有羊不屬這圈裡的
[00:02:04.320 --> 00:02:06.320]  我必須領牠們來
[00:02:06.320 --> 00:02:08.520]  牠們也要聽我的聲音
[00:02:08.520 --> 00:02:13.520]  並且要合成一群 歸一個牧人」
