
[00:00:00.000 --> 00:00:03.280]  分開就是上下兩集
[00:00:03.280 --> 00:00:05.840]  今天就說下集
[00:00:05.840 --> 00:00:08.720]  剛剛其實9月份我剛才提過
[00:00:08.720 --> 00:00:10.560]  梁牧師設計9月份
[00:00:10.560 --> 00:00:12.320]  我們稱之為宣教月
[00:00:12.320 --> 00:00:14.720]  就是說什麼叫宣教呢?
[00:00:14.720 --> 00:00:19.560]  就是將我們基督教的信仰要傳遞開去
[00:00:19.560 --> 00:00:21.400]  有些人很不明白
[00:00:21.400 --> 00:00:23.360]  為什麼教會經常都要提出這樣的東西呢?
[00:00:23.360 --> 00:00:25.520]  為什麼要宣教呢?
[00:00:25.520 --> 00:00:27.680]  因為我們信耶穌的人
[00:00:27.680 --> 00:00:31.040]  我們相信如果一個人不認識上帝
[00:00:31.040 --> 00:00:33.280]  不相信神的話
[00:00:33.280 --> 00:00:38.160]  是會帶來長遠和永恆的後果的
[00:00:38.160 --> 00:00:39.720]  不只是長遠的後果
[00:00:39.720 --> 00:00:42.520]  是席捉到永恆的一個後果
[00:00:42.520 --> 00:00:45.880]  《聖經》裡面怎麼說的呢?
[00:00:45.880 --> 00:00:47.720]  《三七十八節》裡說
[00:00:47.720 --> 00:00:50.160]  信他的人就不被定罪
[00:00:50.160 --> 00:00:53.240]  不信的人就已經被定罪了
[00:00:53.240 --> 00:00:57.920]  因為他們不相信上帝唸了一二次耶穌的名字
[00:00:57.920 --> 00:01:00.440]  馬太虎也有類似這樣的教導
[00:01:00.440 --> 00:01:03.160]  這些人如果不信耶穌的人
[00:01:03.160 --> 00:01:05.160]  就要往永恆裡面去
[00:01:05.160 --> 00:01:06.160]  而那些異人
[00:01:06.160 --> 00:01:07.160]  什麼是異人呢?
[00:01:07.160 --> 00:01:09.560]  如果你在教會裡面聽得久的話就知道
[00:01:09.560 --> 00:01:10.600]  異人就是那些
[00:01:10.600 --> 00:01:14.280]  因為相信耶穌而被稱為異的
[00:01:14.280 --> 00:01:15.920]  當你沒罪了
[00:01:15.920 --> 00:01:17.960]  因為耶穌替你背罪了
[00:01:17.960 --> 00:01:19.080]  聽明白了嗎?
[00:01:19.080 --> 00:01:20.320]  OK
[00:01:20.320 --> 00:01:27.240]  所以《聖經》裡面稱信耶穌的人為異人
[00:01:27.240 --> 00:01:28.800]  這些人在《聖經》裡面
[00:01:28.800 --> 00:01:31.080]  就是往永生裡面去的
[00:01:31.080 --> 00:01:35.200]  上次剛才說到我信信不信
[00:01:35.200 --> 00:01:37.720]  告訴大家其實很多人都相信的
[00:01:37.720 --> 00:01:40.760]  我相信你們坐在這裡的話
[00:01:40.760 --> 00:01:42.560]  都會相信的
[00:01:42.560 --> 00:01:44.120]  冥冥中有個主宰的
[00:01:44.120 --> 00:01:44.960]  有個神的
[00:01:44.960 --> 00:01:46.320]  有個上帝的
[00:01:46.320 --> 00:01:48.280]  很多人
[00:01:48.280 --> 00:01:50.200]  如果你上次聽到我說的話
[00:01:50.200 --> 00:01:52.600]  甚至那些科學家都相信什麼呢?
[00:01:52.600 --> 00:01:53.760]  人死了之後
[00:01:53.760 --> 00:01:56.360]  原來靈魂可能就會存在的
[00:01:56.360 --> 00:01:59.160]  最近有興趣研究什麼量子力學
[00:01:59.160 --> 00:02:00.840]  什麼平衡宇宙
[00:02:00.840 --> 00:02:02.800]  不知道大家有沒有聽過這些東西
[00:02:02.800 --> 00:02:05.600]  現在很多科學家在研究這些東西
[00:02:05.600 --> 00:02:06.640]  這些科學家都相信
[00:02:06.640 --> 00:02:08.640]  原來這個世界不是只有我們
[00:02:08.640 --> 00:02:10.440]  是一個平衡的宇宙
[00:02:10.440 --> 00:02:12.480]  這些我當然不說了
[00:02:12.480 --> 00:02:14.640]  但是導致他們相信
[00:02:14.640 --> 00:02:16.840]  原來人死了之後
[00:02:16.840 --> 00:02:20.840]  靈魂可能不會因為我們的人肉體消失
[00:02:20.840 --> 00:02:22.600]  而消失了
[00:02:22.600 --> 00:02:24.400]  是會繼續存在的
[00:02:24.400 --> 00:02:26.840]  是會繼續活著的
[00:02:26.840 --> 00:02:30.040]  所以他們不是不相信
[00:02:30.040 --> 00:02:31.840]  這個宇宙當中有一個主宰
[00:02:31.840 --> 00:02:34.160]  只不過還有一些東西他們不太清楚
[00:02:34.160 --> 00:02:36.120]  所以信不足
[00:02:36.120 --> 00:02:38.560]  就不能夠下定決心了
[00:02:38.560 --> 00:02:40.560]  於是他們還不能夠
[00:02:40.560 --> 00:02:45.080]  決心信耶穌為救主
[00:02:45.080 --> 00:02:47.200]  這些人
[00:02:47.200 --> 00:02:48.400]  我們說過
[00:02:48.400 --> 00:02:49.680]  他們信不足的原因
[00:02:49.680 --> 00:02:50.840]  如果你記得上一次
[00:02:50.840 --> 00:02:52.200]  我說過有三樣東西
[00:02:52.200 --> 00:02:55.840]  第一是他們覺得不夠證據
[00:02:55.840 --> 00:02:57.920]  第二是世界這麼多苦難
[00:02:57.920 --> 00:02:59.360]  如果有神的話
[00:02:59.360 --> 00:03:00.760]  這麼多苦難這麼多邪惡
[00:03:00.760 --> 00:03:01.920]  為何神不去處理
[00:03:01.920 --> 00:03:03.880]  為何神不去做一些事情
[00:03:03.880 --> 00:03:05.600]  有些人覺得我試過祈禱
[00:03:05.600 --> 00:03:07.520]  但是神不聽我祈禱
[00:03:07.520 --> 00:03:10.360]  祈禱是否真的
