
[00:00:00.000 --> 00:00:04.000]  今日我們要看的一個比喻
[00:00:04.000 --> 00:00:09.000]  我稱它為原主的悲歌
[00:00:09.000 --> 00:00:15.000]  記載在《馬可福音》第十二章一到十二節
[00:00:15.000 --> 00:00:26.000]  同一個比喻亦記載在《馬太》二十一章三十三到四十四節
[00:00:26.000 --> 00:00:32.000]  路加十三章十八和下面
[00:00:32.000 --> 00:00:37.000]  還有一個特別的地方就是有一本叫做《多馬福音》
[00:00:37.000 --> 00:00:44.000]  在第六十五段那裏亦都是記載同樣的比喻
[00:00:44.000 --> 00:00:52.000]  我們今日特別要讀的是《馬可福音》第十二章一到十二節
[00:00:55.000 --> 00:00:57.000]  請聽我讀出來
[00:01:25.000 --> 00:01:28.000]  要從玄戶收葡萄樹的果子
[00:01:28.000 --> 00:01:31.000]  玄戶拿著他打了他
[00:01:31.000 --> 00:01:33.000]  叫他空手回去
[00:01:33.000 --> 00:01:36.000]  再打發一個僕人到他們那裏
[00:01:36.000 --> 00:01:40.000]  他們打傷他的頭並且凌辱他
[00:01:40.000 --> 00:01:43.000]  又打發一個僕人去
[00:01:43.000 --> 00:01:46.000]  他們就殺了他
[00:01:46.000 --> 00:01:49.000]  後又打發好些僕人去
[00:01:49.000 --> 00:01:53.000]  有被他們打的有被他們殺的
[00:01:53.000 --> 00:01:57.000]  玄主還有一位是他的愛子
[00:01:57.000 --> 00:01:59.000]  末後又打發他去
[00:01:59.000 --> 00:02:04.000]  而是說他們必尊敬我的兒子
[00:02:04.000 --> 00:02:07.000]  不料那些玄戶彼此說
[00:02:07.000 --> 00:02:10.000]  這是承受產業的內霸
[00:02:10.000 --> 00:02:15.000]  我們殺他產業就歸我們了
[00:02:15.000 --> 00:02:18.000]  於是拿著他殺了他
[00:02:18.000 --> 00:02:20.000]  把他雕在園外
[00:02:20.000 --> 00:02:24.000]  這樣葡萄園的主人要怎樣辦呢?
[00:02:24.000 --> 00:02:27.000]  他要來除滅那些玄戶
[00:02:27.000 --> 00:02:31.000]  將葡萄園轉給別人
[00:02:31.000 --> 00:02:33.000]  經上寫著說
[00:02:33.000 --> 00:02:35.000]  將人所棄的石頭
[00:02:35.000 --> 00:02:38.000]  已作了房閣的頭塊石頭
[00:02:38.000 --> 00:02:40.000]  這是主所作的
[00:02:40.000 --> 00:02:43.000]  在我們眼中看為稀奇
[00:02:43.000 --> 00:02:46.000]  這經你們沒有念過嗎?
[00:02:46.000 --> 00:02:51.000]  他們看出這比喻是指著他們說的
[00:02:51.000 --> 00:02:53.000]  就想要捉拿他
[00:02:53.000 --> 00:02:55.000]  只是懼怕百姓
[00:02:55.000 --> 00:03:00.000]  於是離開他走了
[00:03:00.000 --> 00:03:06.000]  我們會分開三方面來解釋這個比喻
[00:03:06.000 --> 00:03:09.000]  首先我們會就這段經文
[00:03:09.000 --> 00:03:13.000]  所經過的一些爭辯
[00:03:13.000 --> 00:03:15.000]  有些交代
[00:03:15.000 --> 00:03:19.000]  然後按著耶穌基督的時代
[00:03:19.000 --> 00:03:21.000]  一些實際的情況
[00:03:21.000 --> 00:03:24.000]  來解釋這個比喻
[00:03:24.000 --> 00:03:27.000]  是怎樣發生的
[00:03:27.000 --> 00:03:29.000]  最後我們先來看
[00:03:29.000 --> 00:03:35.000]  到底這個比喻和我們有什麼意思
[00:03:35.000 --> 00:03:39.000]  一開始第一節
[00:03:39.000 --> 00:03:43.000]  那裡就說耶穌就用比喻對他們說
[00:03:43.000 --> 00:03:48.000]  就是說耶穌是因應著一個情況來說這個比喻
[00:03:48.000 --> 00:03:51.000]  這個情況是什麼呢?
[00:03:51.000 --> 00:03:57.000]  如果我們看回前面的第十一章27到33節
[00:03:57.000 --> 00:04:01.000]  我們就知道有一班人是來自公會的
[00:04:01.000 --> 00:04:05.000]  這班就是文士、長老和祭司的人
[00:04:05.000 --> 00:04:09.000]  這班公會的代表就問耶穌
[00:04:09.000 --> 00:04:19.000]  問祂到底憑著什麼權柄來傳報和醫病趕鬼呢?
[00:04:19.000 --> 00:04:23.000]  耶穌知道這個問題是要找祂的把柄的
[00:04:23.000 --> 00:04:25.000]  所以耶穌就說
[00:04:25.000 --> 00:04:30.000]  你認為約翰的洗禮是從天上來的呢?
[00:04:30.000 --> 00:04:33.000]  還是從地上來的呢?
[00:04:33.000 --> 00:04:36.000]  耶穌這個問題也都非常精彩的
[00:04:36.000 --> 00:04:40.000]  因為祂是用一個問題回答一個問題
[00:04:40.000 --> 00:04:43.000]  而祂所回答的是一個雙面的
[00:04:43.000 --> 00:04:48.000]  帶著雙面的一個制約
[00:04:48.000 --> 00:04:51.000]  意思就是說那些文士都聽得出
[00:04:51.000 --> 00:04:55.000]  如果他們說約翰的洗禮是從天上而來
[00:04:55.000 --> 00:04:59.000]  那他們就會說為什麼你不相信呢?
[00:04:59.000 --> 00:05:02.000]  如果他說約翰的洗禮是從人間而來
[00:05:02.000 --> 00:05:07.000]  他們就知道這個是違反了當時一班百姓的意見
[00:05:07.000 --> 00:05:11.000]  那些百姓就可能會對他們不利的
[00:05:11.000 --> 00:05:16.000]  所以他們無論回答是或否都不行的
[00:05:16.000 --> 00:05:19.000]  所以他們就不回答了
[00:05:19.000 --> 00:05:20.000]  那不回答呢?
[00:05:20.000 --> 00:05:22.000]  耶穌說你已經不回答了
[00:05:22.000 --> 00:05:24.000]  你明明是逃避你自己的問題
[00:05:24.000 --> 00:05:26.000]  耶穌也不回答
[00:05:26.000 --> 00:05:31.000]  但是耶穌不回答就不等於祂不對這個情況作出回應
[00:05:31.000 --> 00:05:34.000]  於是祂就用了這個玄主的比喻
[00:05:34.000 --> 00:05:39.000]  玄戶的比喻來解釋
[00:05:39.000 --> 00:05:41.000]  解釋的就是說
[00:05:41.000 --> 00:05:46.000]  我其實就是那位玄主的兒子
[00:05:46.000 --> 00:05:48.000]  現在我來到
[00:05:48.000 --> 00:05:53.000]  你們正是預備要下手殺我
[00:05:53.000 --> 00:05:58.000]  這個是說這個比喻的那個因由
[00:05:58.000 --> 00:06:01.000]  但是從另一面這個比喻
