
[00:00:00.000 --> 00:00:07.000]  感謝主讓我用音樂全職侍奉已經超過28年的時間
[00:00:07.000 --> 00:00:12.000]  在城鎮服侍的崗位教會稱我為聖樂主音
[00:00:12.000 --> 00:00:16.000]  我未回來香港服侍之前的教會
[00:00:16.000 --> 00:00:21.000]  叫我做Worship Pastor 負責崇拜的牧師
[00:00:21.000 --> 00:00:24.000]  我第一個侍奉的教會
[00:00:24.000 --> 00:00:31.000]  給我一個Title叫做Minister of Music 是音樂的牧師
[00:00:31.000 --> 00:00:35.000]  無論稱呼是如何
[00:00:35.000 --> 00:00:39.000]  但如果你是用音樂在裏面侍奉
[00:00:39.000 --> 00:00:42.000]  都是同敬拜分不開的
[00:00:42.000 --> 00:00:46.000]  感謝主今天是聖樂主日
[00:00:46.000 --> 00:00:50.000]  神讓我在這裏和大家分享訊息
[00:00:50.000 --> 00:00:54.000]  我選擇和大家分享關於崇拜有關的題目
[00:00:54.000 --> 00:00:58.000]  題目是「千婦找到你嗎」
[00:00:58.000 --> 00:01:03.000]  如涵福音四章二十三二十四節是我選用的經文
[00:01:03.000 --> 00:01:06.000]  今天我們會用新譯本來讀出
[00:01:06.000 --> 00:01:10.000]  請大家重來看螢光幕讀出聖經的話語
[00:01:10.000 --> 00:01:14.000]  然而時候將到,現在就是了
[00:01:14.000 --> 00:01:20.000]  那用心靈按真理敬拜父的才是真正敬拜的人
[00:01:20.000 --> 00:01:24.000]  因為父在尋找這樣敬拜他的人
[00:01:24.000 --> 00:01:31.000]  神是靈,敬拜他的必須藉著靈按真理敬拜他
[00:01:31.000 --> 00:01:36.000]  經文裏面講到兩個詞語大家需要留意的
[00:01:36.000 --> 00:01:41.000]  第一是「尋找」這是和合本裏面看不到的
[00:01:41.000 --> 00:01:44.000]  在英文的版本NIV說
[00:01:44.000 --> 00:01:51.000]  The father seeks, for they are the kind of worshippers the father seeks
[00:01:51.000 --> 00:01:56.000]  神在尋找,尋找甚麼呢?
[00:01:56.000 --> 00:02:00.000]  第二是「真正」the true worshippers
[00:02:00.000 --> 00:02:03.000]  真正的敬拜者
[00:02:03.000 --> 00:02:06.000]  既然有真,我們看下一幅
[00:02:06.000 --> 00:02:09.000]  就一定是有假
[00:02:09.000 --> 00:02:13.000]  神尋找
[00:02:13.000 --> 00:02:16.000]  第一,天父尋找人
[00:02:16.000 --> 00:02:21.000]  今日我們的經文是選自約翰福音第四章
[00:02:21.000 --> 00:02:23.000]  大家很熟悉的經文
[00:02:23.000 --> 00:02:28.000]  耶穌和撒瑪利亞婦人的對話
[00:02:28.000 --> 00:02:35.000]  耶穌本來在猶大地要去到加利利
[00:02:35.000 --> 00:02:39.000]  一般的猶太人他們一定會繞道
[00:02:39.000 --> 00:02:42.000]  不會經過撒瑪利亞
[00:02:42.000 --> 00:02:43.000]  為甚麼呢?
[00:02:43.000 --> 00:02:47.000]  在約翰福音第四章第九節跟我們說
[00:02:47.000 --> 00:02:51.000]  猶太人和撒瑪利亞人是沒有交往的
[00:02:51.000 --> 00:02:59.000]  而且希伯來男人和一個陌生的撒瑪利亞女人單獨的談話
[00:02:59.000 --> 00:03:02.000]  更是社會不能夠接受的
[00:03:02.000 --> 00:03:07.000]  因為撒瑪利亞人是外邦人
[00:03:07.000 --> 00:03:11.000]  而且女人在男人為主的社會裏
[00:03:11.000 --> 00:03:14.000]  亦都視為次等人
[00:03:14.000 --> 00:03:21.000]  耶穌刻意的去到撒瑪利亞地方去找這個婦人
[00:03:21.000 --> 00:03:24.000]  而且還放棄了她吃午餐的時間
[00:03:24.000 --> 00:03:28.000]  去跟她聊天,跟她談道
[00:03:28.000 --> 00:03:35.000]  撒瑪利亞婦人在中午天氣最炎熱的時候
[00:03:35.000 --> 00:03:40.000]  去井裏打水,非常的不尋常
[00:03:40.000 --> 00:03:44.000]  我們估計她正在逃避一些事情
[00:03:44.000 --> 00:03:47.000]  或者逃避一些人
[00:03:47.000 --> 00:03:53.000]  耶穌這樣做,違反了三個猶太人的常規
[00:03:53.000 --> 00:03:59.000]  首先一般的猶太人,他們一定會繞道的
[00:03:59.000 --> 00:04:02.000]  他們不會直接經過撒瑪利亞
[00:04:02.000 --> 00:04:09.000]  第二,猶太人是不會跟撒瑪利亞人交往、聊天的
[00:04:09.000 --> 00:04:17.000]  還有男人和一個陌生的女子單獨聊天
[00:04:17.000 --> 00:04:23.000]  今日我們的主,祂知道一切的事情
[00:04:23.000 --> 00:04:27.000]  耶穌當日,祂是很知道撒瑪利亞婦人
[00:04:27.000 --> 00:04:30.000]  她心裏面的需要
[00:04:30.000 --> 00:04:36.000]  祂是被親朋戚友所鄙視、所厭棄
[00:04:36.000 --> 00:04:40.000]  主耶穌親自去尋找她
[00:04:40.000 --> 00:04:43.000]  尋找其實有兩個不同的意思
[00:04:43.000 --> 00:04:45.000]  我相信大家都找過東西
[00:04:45.000 --> 00:04:47.000]  可能有找過證件
[00:04:47.000 --> 00:04:50.000]  可能不見了錢包
[00:04:50.000 --> 00:04:53.000]  可能又不見了鎖匙
[00:04:53.000 --> 00:04:56.000]  心情都很忐忑
[00:04:56.000 --> 00:05:01.000]  有沒有不見過你的寵物呢?
[00:05:01.000 --> 00:05:03.000]  你的貓?你的狗?
[00:05:03.000 --> 00:05:06.000]  我曾經見過有人黐出來要找鸚鵡
[00:05:06.000 --> 00:05:09.000]  都很小器
[00:05:09.000 --> 00:05:12.000]  有沒有不見過小朋友?
[00:05:12.000 --> 00:05:16.000]  去一些公眾場合、公展會、花市
[00:05:16.000 --> 00:05:19.000]  小朋友走失了怎麼辦?
[00:05:19.000 --> 00:05:21.000]  長輩都會走失的
[00:05:21.000 --> 00:05:24.000]  很緊張
[00:05:24.000 --> 00:05:26.000]  甚至可能要懸紅
