
[00:00:00.000 --> 00:00:04.000]  (主席)在聖誕快到的時間
[00:00:04.000 --> 00:00:08.000]  讓我們在這段時候再思我們作門徒的意義
[00:00:08.000 --> 00:00:14.000]  以預備我們來迎接主再來這段的時候
[00:00:14.000 --> 00:00:17.000]  而當我們看《萬學福音》這段經文的時候
[00:00:17.000 --> 00:00:22.000]  大概大家可以由第八章二十二節
[00:00:22.000 --> 00:00:26.000]  其實整個段落是去到第十章四十六節
[00:00:26.000 --> 00:00:31.000]  由兩個伊討克之的故事中間包含著
[00:00:31.000 --> 00:00:36.000]  當中帶出我們究竟作門徒究竟要做些什麼
[00:00:36.000 --> 00:00:40.000]  怎樣去作為一個跟從主的人
[00:00:40.000 --> 00:00:44.000]  給我們有些什麼提醒
[00:00:44.000 --> 00:00:51.000]  四卷福音書共記載約有三十五件耶穌的神蹟
[00:00:51.000 --> 00:00:54.000]  而在這些神蹟的故事之中
[00:00:54.000 --> 00:00:58.000]  耶穌在白菜大醫好瞎子這一則的故事
[00:00:58.000 --> 00:01:01.000]  只是在《馬可福音》那裡才有記載
[00:01:01.000 --> 00:01:03.000]  按《馬可福音》的記載
[00:01:03.000 --> 00:01:06.000]  這次是耶穌第二次來到白菜大
[00:01:06.000 --> 00:01:10.000]  第一次在第六章四十五至五十六節那裡
[00:01:10.000 --> 00:01:11.000]  故事這樣說
[00:01:11.000 --> 00:01:16.000]  有一個人他帶了一個瞎子來到
[00:01:16.000 --> 00:01:19.000]  然後就求他按手在他身上
[00:01:19.000 --> 00:01:22.000]  意思就是說要耶穌醫好他
[00:01:22.000 --> 00:01:25.000]  一如既往他不想讓眾人知道
[00:01:25.000 --> 00:01:27.000]  於是就將他帶到村子外面去
[00:01:27.000 --> 00:01:33.000]  然後就用他的口水搓一些泥
[00:01:33.000 --> 00:01:39.000]  來變成一種藥膏來醫好那個瞎子
[00:01:39.000 --> 00:01:41.000]  按《馬可福音》的記載
[00:01:41.000 --> 00:01:44.000]  在這次的醫治行動裡面
[00:01:44.000 --> 00:01:46.000]  基本上是分為兩個階段
[00:01:46.000 --> 00:01:50.000]  才能夠幫他完全恢復他的視力
[00:01:50.000 --> 00:01:52.000]  第一在開始的時候
[00:01:52.000 --> 00:01:54.000]  在八章二十四節
[00:01:54.000 --> 00:02:00.000]  在那裡病人只能夠很模糊地來看
[00:02:00.000 --> 00:02:02.000]  大概看到一些影子
[00:02:02.000 --> 00:02:04.000]  好像樹一樣動來動去
[00:02:04.000 --> 00:02:05.000]  走來走去
[00:02:05.000 --> 00:02:10.000]  然後在第八章第二十五節那裡就好一點了
[00:02:10.000 --> 00:02:14.000]  耶穌接著就把手按在那個人的眼睛上
[00:02:14.000 --> 00:02:18.000]  一下子他就看得很清楚
[00:02:18.000 --> 00:02:20.000]  連遠處的東西
[00:02:20.000 --> 00:02:22.000]  他也看得清清楚楚
[00:02:22.000 --> 00:02:26.000]  大家有沒有來問一件事
[00:02:26.000 --> 00:02:29.000]  這個發生在白菜大的神蹟
[00:02:29.000 --> 00:02:31.000]  其實讀起來
[00:02:31.000 --> 00:02:35.000]  有時會令我們一班的基督徒都有點尷尬
[00:02:35.000 --> 00:02:37.000]  因為我們不期然會問
[00:02:37.000 --> 00:02:42.000]  為什麼主耶穌不能夠一次過
[00:02:42.000 --> 00:02:45.000]  將這個瞎子來醫好呢
[00:02:45.000 --> 00:02:48.000]  大家如果看見一頭一尾
[00:02:48.000 --> 00:02:50.000]  如果看回尾的時候
[00:02:50.000 --> 00:02:54.000]  其實第十章都有一個醫好黑子的故事
[00:02:54.000 --> 00:02:56.000]  但那次就一次過解決了
[00:02:56.000 --> 00:02:57.000]  但這次很特別
[00:02:57.000 --> 00:03:03.000]  他是需要兩次才能醫好黑子
[00:03:03.000 --> 00:03:05.000]  難道大家又再去想
[00:03:05.000 --> 00:03:09.000]  醫好黑子會給醫治麻風病
[00:03:09.000 --> 00:03:10.000]  或者聾啞病
[00:03:10.000 --> 00:03:12.000]  或者甚至死人復活
[00:03:12.000 --> 00:03:15.000]  這件事困難嗎
[00:03:15.000 --> 00:03:16.000]  不可能的
[00:03:16.000 --> 00:03:19.000]  更何況耶穌在第十章
[00:03:19.000 --> 00:03:21.000]  他試過一次過醫好人
[00:03:21.000 --> 00:03:25.000]  為什麼這次要用兩個步驟
[00:03:25.000 --> 00:03:29.000]  才能夠將這個黑子完全醫好呢
[00:03:29.000 --> 00:03:31.000]  要分兩個階段進行呢
[00:03:31.000 --> 00:03:36.000]  究竟在這個醫好黑子故事
[00:03:36.000 --> 00:03:38.000]  這件事裏面
[00:03:38.000 --> 00:03:45.000]  究竟馬可想表達一些什麼訊息給我們知道呢
[00:03:45.000 --> 00:03:50.000]  在第27節到第28節
[00:03:50.000 --> 00:03:51.000]  如果大家看下去
[00:03:51.000 --> 00:03:56.000]  就知道基本上這是一個平衡經文的記載
[00:03:56.000 --> 00:03:58.000]  在第27節那裏這樣說
[00:03:58.000 --> 00:04:02.000]  耶穌和門徒出去往該撒尼亞肥勒比的村莊去
[00:04:02.000 --> 00:04:04.000]  在路上耶穌問門徒
[00:04:04.000 --> 00:04:08.000]  人說我是誰
[00:04:08.000 --> 00:04:10.000]  他們說是施洗的約翰
[00:04:10.000 --> 00:04:11.000]  施浸的約翰
[00:04:11.000 --> 00:04:13.000]  也有人說是以利亞
[00:04:13.000 --> 00:04:17.000]  還有人說是古時先知中的一位
[00:04:17.000 --> 00:04:20.000]  門徒第一階段的回應
[00:04:20.000 --> 00:04:25.000]  就好像黑子第一次被醫治的時候一樣
[00:04:25.000 --> 00:04:27.000]  差不多吧
[00:04:27.000 --> 00:04:29.000]  其實不是那麼清楚
[00:04:29.000 --> 00:04:34.000]  然後到經文第27節那裏來描述
[00:04:34.000 --> 00:04:39.000]  接著他們就往凱撒尼亞肥勒比的村莊去
[00:04:39.000 --> 00:04:43.000]  也有一個不同的意義
[00:04:43.000 --> 00:04:48.000]  在第二次的路程之中
[00:04:48.000 --> 00:04:50.000]  他記載由巴塞大
[00:04:50.000 --> 00:04:54.000]  然後去到凱撒尼亞肥勒比的村莊
[00:04:54.000 --> 00:04:58.000]  在當中原來是慢慢疊加了一些意義上去
[00:04:58.000 --> 00:05:03.000]  凱撒尼亞肥勒比這個城市就在巴塞大的北面
[00:05:03.000 --> 00:05:05.000]  即是大約50公里遠的地方
[00:05:05.000 --> 00:05:15.000]  而這個地方是屬於大希律王的兒子肥力所管轄的一個地區
[00:05:15.000 --> 00:05:17.000]  就在肥力執政的時代
[00:05:17.000 --> 00:05:21.000]  他用了很多錢來建造這個城市
[00:05:21.000 --> 00:05:25.000]  然後將它改名為凱撒尼亞肥勒比
[00:05:25.000 --> 00:05:29.000]  意思是肥力紀念羅馬皇帝
[00:05:29.000 --> 00:05:32.000]  凱撒就是當時的羅馬皇帝
[00:05:32.000 --> 00:05:36.000]  就是用來取悅羅馬政府的一種方式
[00:05:36.000 --> 00:05:43.000]  整個名字都是以凱撒成為這個城市的主人
[00:05:43.000 --> 00:05:47.000]  當慢慢一步一步去看的時候
[00:05:47.000 --> 00:05:51.000]  意思就慢慢立體起來,豐富起來
[00:05:51.000 --> 00:05:57.000]  即是在一個自稱完全信服於羅馬皇帝的城市
[00:05:57.000 --> 00:06:00.000]  以羅馬皇帝為主的一個地方
[00:06:00.000 --> 00:06:04.000]  而耶穌基督卻在這個地方問他的門徒
[00:06:04.000 --> 00:06:10.000]  說一般人看他是哪一個
[00:06:10.000 --> 00:06:13.000]  一般人說我是哪一個
[00:06:13.000 --> 00:06:15.000]  當耶穌提出這個問題之後
[00:06:15.000 --> 00:06:23.000]  他隨即就回答了一個街知巷聞的答案給耶穌
[00:06:23.000 --> 00:06:27.000]  有人說他是施洗約翰
[00:06:27.000 --> 00:06:30.000]  這個說法連希律王也是這樣看的
