
[00:00:00.000 --> 00:00:04.000]  很多謝師班剛才給我們這首詩歌
[00:00:04.000 --> 00:00:06.000]  讓我們在新一年的裏面
[00:00:06.000 --> 00:00:11.000]  我們來去用讚美開始我們今早的崇拜
[00:00:11.000 --> 00:00:14.000]  在新一年裏面
[00:00:14.000 --> 00:00:18.000]  我們不單止有新的年題
[00:00:18.000 --> 00:00:22.000]  更加我們會有一個新的書卷
[00:00:22.000 --> 00:00:23.000]  一齊的思想
[00:00:23.000 --> 00:00:27.000]  在去年下半年裏面
[00:00:27.000 --> 00:00:29.000]  我們是用了希伯來書
[00:00:30.000 --> 00:00:32.000]  今年我們開始的時候
[00:00:32.000 --> 00:00:33.000]  我們是用肥立比書
[00:00:33.000 --> 00:00:37.000]  一齊的去思想到一個喜樂的教會
[00:00:37.000 --> 00:00:39.000]  和喜樂的生命
[00:00:39.000 --> 00:00:40.000]  求主幫助我們
[00:00:40.000 --> 00:00:45.000]  讓我們的生命一路都有更生
[00:00:45.000 --> 00:00:47.000]  如果我們要重整
[00:00:47.000 --> 00:00:49.000]  可能我們是要針對
[00:00:49.000 --> 00:00:53.000]  在我們面對自己的生活有難處
[00:00:53.000 --> 00:00:57.000]  或者香港這個不斷變遷的社會裏面
[00:00:57.000 --> 00:01:00.000]  我們可以靠著耶穌
[00:01:00.000 --> 00:01:02.000]  活得平安活得喜樂
[00:01:02.000 --> 00:01:04.000]  所以求主幫助我們
[00:01:04.000 --> 00:01:07.000]  不單止我今日的講題
[00:01:07.000 --> 00:01:10.000]  是從新的開始
[00:01:10.000 --> 00:01:13.000]  即是對於那些剛剛信耶穌的人
[00:01:13.000 --> 00:01:16.000]  他們開始一個步伐
[00:01:16.000 --> 00:01:19.000]  就是一個有主的生命
[00:01:19.000 --> 00:01:23.000]  對於那些我們已經信了耶穌相當的時間
[00:01:23.000 --> 00:01:25.000]  又進到新的一年
[00:01:25.000 --> 00:01:28.000]  會不會我們有些東西已經放下了
[00:01:28.000 --> 00:01:30.000]  或者在神的教導裏面
[00:01:30.000 --> 00:01:33.000]  我們疏忽了
[00:01:33.000 --> 00:01:36.000]  我們是重新的來再一次
[00:01:36.000 --> 00:01:39.000]  接受神自己的鼓勵
[00:01:39.000 --> 00:01:41.000]  更加我想到第三個
[00:01:41.000 --> 00:01:43.000]  就是從心開始
[00:01:43.000 --> 00:01:45.000]  從個心
[00:01:45.000 --> 00:01:47.000]  不單止重新
[00:01:47.000 --> 00:01:49.000]  一切無論重新重新
[00:01:49.000 --> 00:01:51.000]  都要從個心開始
[00:01:51.000 --> 00:01:55.000]  亦都是今日這段聖經肥立彼書
[00:01:55.000 --> 00:01:56.000]  要告訴我們
[00:01:56.000 --> 00:01:58.000]  從個心開始
[00:01:58.000 --> 00:02:01.000]  我們一起來先讀今日的經文
[00:02:01.000 --> 00:02:04.000]  是肥立彼書一章三至十一節
[00:02:04.000 --> 00:02:07.000]  我們一起同聲的讀出
[00:02:07.000 --> 00:02:09.000]  我每逢想念你們
[00:02:09.000 --> 00:02:11.000]  就感謝我的神
[00:02:11.000 --> 00:02:14.000]  每逢為你們眾人祈求的時候
[00:02:14.000 --> 00:02:17.000]  嘗試歡歡喜喜的祈求
[00:02:17.000 --> 00:02:20.000]  因為從頭一天直到如今
[00:02:20.000 --> 00:02:23.000]  你們是同心合意的興旺福音
[00:02:23.000 --> 00:02:27.000]  我深信那在你們心裏動了善功的
[00:02:27.000 --> 00:02:29.000]  必成全者功
[00:02:29.000 --> 00:02:31.000]  直到耶穌基督的日子
[00:02:31.000 --> 00:02:34.000]  我為你們眾人有這樣的意念
[00:02:34.000 --> 00:02:36.000]  原是應當的
[00:02:36.000 --> 00:02:38.000]  因你們常在我心裏
[00:02:38.000 --> 00:02:41.000]  無論我在在診所之中
[00:02:41.000 --> 00:02:44.000]  是辨明證實福音的時候
[00:02:44.000 --> 00:02:47.000]  你們都與我一同得恩
[00:02:47.000 --> 00:02:49.000]  我體會基督耶穌的心腸
[00:02:49.000 --> 00:02:52.000]  切切的想念你們眾人
[00:02:52.000 --> 00:02:55.000]  這是神可以給我作見證的
[00:02:55.000 --> 00:02:57.000]  我所禱告的
[00:02:57.000 --> 00:02:59.000]  就是要你們的愛心
[00:02:59.000 --> 00:03:03.000]  在知識和各樣見識上多而又多
[00:03:03.000 --> 00:03:05.000]  使你們能分別是非
[00:03:05.000 --> 00:03:07.000]  作誠實無過的人
[00:03:07.000 --> 00:03:09.000]  直到基督的日子
[00:03:09.000 --> 00:03:11.000]  並靠著耶穌基督
[00:03:11.000 --> 00:03:13.000]  結滿了仁義的果子
[00:03:13.000 --> 00:03:17.000]  叫榮耀稱讚歸於神
[00:03:17.000 --> 00:03:19.000]  讓我們在開始聽道之先
[00:03:19.000 --> 00:03:28.000]  我們再一次的低頭我們禱告
[00:03:28.000 --> 00:03:30.000]  親愛的主
[00:03:30.000 --> 00:03:34.000]  你是那個帶領我們進入新一年的主
[00:03:34.000 --> 00:03:37.000]  在你十字架的任避之下
[00:03:37.000 --> 00:03:41.000]  我們今天再一次來到你自己的根前
[00:03:41.000 --> 00:03:43.000]  求主幫助我們
[00:03:43.000 --> 00:03:45.000]  不要因為在過去一年
[00:03:45.000 --> 00:03:47.000]  我們種種心底裏面
[00:03:47.000 --> 00:03:51.000]  所經歷的愁煩或者難處
