
[00:00:00.000 --> 00:00:02.060]  各位年青姐妹主內平安
[00:00:02.060 --> 00:00:06.240]  開始的時候我想講一個
[00:00:06.240 --> 00:00:08.660]  香港家庭的故事給你們聽
[00:00:08.660 --> 00:00:12.340]  在香港有個基督教的家庭
[00:00:12.340 --> 00:00:15.280]  爸爸媽媽和兩個兒子
[00:00:15.280 --> 00:00:18.260]  爸爸原本有一份好的工作
[00:00:18.260 --> 00:00:20.860]  但是不知為什麼失了一份工作
[00:00:20.860 --> 00:00:23.640]  一直在找,一直在找,都找不到工作
[00:00:23.640 --> 00:00:25.660]  到最後呢,看看銀行
[00:00:25.660 --> 00:00:28.500]  剩下的錢都沒有了
[00:00:28.740 --> 00:00:31.460]  開飯都有問題了,怎麼辦呢?
[00:00:31.460 --> 00:00:35.320]  後來他發覺東南亞有一個
[00:00:35.320 --> 00:00:38.700]  佛教臨立的國家有一份不錯的工作
[00:00:38.700 --> 00:00:39.940]  提供給他
[00:00:39.940 --> 00:00:43.060]  所以經過了一輪深思熟慮之後
[00:00:43.060 --> 00:00:46.520]  就決定去到這個國家來接受這份工作
[00:00:46.520 --> 00:00:49.020]  為了生計,去到這裡
[00:00:49.020 --> 00:00:52.980]  離開了香港,沒有朋友
[00:00:52.980 --> 00:00:55.420]  沒有親戚,沒有認識的人
[00:00:55.420 --> 00:00:58.100]  甚至沒有教會的生活
[00:00:58.740 --> 00:01:01.240]  開頭打算去到這個國家,去到這個城市
[00:01:01.240 --> 00:01:03.560]  只不過是一個短暫的逗留
[00:01:03.560 --> 00:01:05.740]  當香港有一份好的工作的時候
[00:01:05.740 --> 00:01:09.400]  他就會回到這裡,再重新以前的生活
[00:01:09.400 --> 00:01:13.940]  但是不知為什麼,原先的計劃是暫住
[00:01:13.940 --> 00:01:15.900]  一住就住了下來
[00:01:15.900 --> 00:01:18.620]  當中發生了很多的事
[00:01:18.620 --> 00:01:20.380]  包括這個爸爸
[00:01:20.380 --> 00:01:22.540]  突然離開了世界
[00:01:22.540 --> 00:01:27.020]  剩下媽媽帶著兩個很小的兒子
[00:01:27.020 --> 00:01:33.220]  很辛苦地在一個異地裡面掙扎生活
[00:01:33.220 --> 00:01:38.020]  感謝主漸漸長大成人這兩個兒子
[00:01:38.020 --> 00:01:41.760]  最後娶了當地的人做太太
[00:01:41.760 --> 00:01:44.740]  時間很快就過去了
[00:01:44.740 --> 00:01:46.740]  轉眼間就十年了
[00:01:46.740 --> 00:01:49.180]  但是不幸的事又再出現
[00:01:49.180 --> 00:01:53.160]  兩個兒子相繼的離開
[00:01:54.020 --> 00:01:57.440]  這個家裡面對著一個困難
[00:01:57.440 --> 00:02:00.760]  其實我剛才所描述的
[00:02:00.760 --> 00:02:04.020]  就是一個現代演繹版的《路德記》
[00:02:04.020 --> 00:02:06.020]  我們一起打開《路德記》
[00:02:06.020 --> 00:02:11.360]  在教會的聖經第三百三十一頁
[00:02:11.360 --> 00:02:14.320]  《舊約聖經》三百三十一頁
[00:02:24.440 --> 00:02:26.440]  正如我剛才所形容的
[00:02:26.440 --> 00:02:28.440]  這個家庭那種描述
[00:02:28.440 --> 00:02:30.440]  就在《路德記》一開始第一章
[00:02:30.440 --> 00:02:33.120]  一到五節就描述了這個家庭
[00:02:33.120 --> 00:02:35.800]  這個家庭的主人叫爾利米勒
[00:02:35.800 --> 00:02:38.700]  原先他們住在伯利衡
[00:02:38.700 --> 00:02:41.920]  伯利衡的意思原文是什麼
[00:02:41.920 --> 00:02:43.920]  是魚米之鄉
[00:02:43.920 --> 00:02:45.920]  就是說不休息的
[00:02:45.920 --> 00:02:47.920]  是一個很富庶的地方
[00:02:47.920 --> 00:02:49.920]  但是又有誰會猜到
[00:02:49.920 --> 00:02:51.920]  連一個魚米之鄉
[00:02:51.920 --> 00:02:55.220]  都偏偏竟然發生了飢荒
[00:02:55.220 --> 00:02:57.220]  一家人為了生存
[00:02:57.220 --> 00:03:01.840]  所以就唯有去到另一個地方來生活
[00:03:01.840 --> 00:03:04.620]  那個地方叫做摩壓
[00:03:04.620 --> 00:03:07.620]  摩壓在聖經裡面
[00:03:07.620 --> 00:03:09.620]  被形容為是充滿了
[00:03:09.620 --> 00:03:14.380]  代表了淫亂和沒有神的一個地方
[00:03:14.380 --> 00:03:17.820]  信主的人竟然去到一個這樣的地方
[00:03:17.820 --> 00:03:21.580]  原先想著只是暫時的寄居
[00:03:21.580 --> 00:03:23.580]  逗留了一段短的時間
[00:03:23.580 --> 00:03:27.660]  沒想到的竟然就留下來了
[00:03:27.660 --> 00:03:32.200]  爸爸不知道為什麼突然離開
[00:03:32.200 --> 00:03:34.200]  剩下兩個兒子
[00:03:34.200 --> 00:03:38.600]  奸紳的寡婦娜娥米
[00:03:38.600 --> 00:03:40.600]  照顧了兩個兒子
[00:03:40.600 --> 00:03:42.600]  並且在當地娶了
[00:03:42.600 --> 00:03:44.600]  為他娶了兩個
[00:03:44.600 --> 00:03:46.600]  每人一個太太
[00:03:46.600 --> 00:03:50.320]  十年的生活總算安定了
[00:03:50.320 --> 00:03:52.320]  可惜十年裡面
[00:03:52.320 --> 00:03:56.920]  這兩個媳婦並沒有生任何的子女
[00:03:56.920 --> 00:04:01.740]  而竟然兩個兒子都離開了
[00:04:01.740 --> 00:04:05.520]  你說路德紀和我們好像沒什麼關係
[00:04:05.520 --> 00:04:08.880]  我們沒那麼悲慘
[00:04:08.880 --> 00:04:13.200]  聖經很特別用路德紀這個悲慘故事
[00:04:13.200 --> 00:04:16.640]  作為整個路德紀的序幕
