
[00:00:00.000 --> 00:00:08.000]  我們今天很高興我們今天又來到主的面前
[00:00:08.000 --> 00:00:12.000]  可以一起來分享主的信息
[00:00:12.000 --> 00:00:18.000]  雖然我們今天這個經文是整章
[00:00:18.000 --> 00:00:20.000]  但是我這一個要分兩次講
[00:00:20.000 --> 00:00:22.000]  今天是上半集
[00:00:22.000 --> 00:00:24.000]  那麼下次是下半集
[00:00:24.000 --> 00:00:28.000]  所以請大家注意來聽
[00:00:28.000 --> 00:00:31.000]  我們知道今天當你早上起來
[00:00:31.000 --> 00:00:32.000]  你一打開
[00:00:32.000 --> 00:00:36.000]  一打開不是一打開你的手機
[00:00:36.000 --> 00:00:39.000]  一打開你的眼睛
[00:00:39.000 --> 00:00:41.000]  你就會發現
[00:00:41.000 --> 00:00:44.000]  有許多的聲音就來到你旁邊
[00:00:44.000 --> 00:00:45.000]  在美國很安靜
[00:00:45.000 --> 00:00:47.000]  可能你旁邊裡面都很安靜
[00:00:47.000 --> 00:00:48.000]  沒有聲音
[00:00:48.000 --> 00:00:50.000]  但是你自己會找聲音有沒有
[00:00:50.000 --> 00:00:53.000]  所以手機一打開就聲音來了
[00:00:53.000 --> 00:00:56.000]  我這一個
[00:00:56.000 --> 00:00:57.000]  我有個鄰居
[00:00:57.000 --> 00:01:00.000]  每一天我跟這個教母同工一起禱告的時候
[00:01:00.000 --> 00:01:02.000]  我就在我的院子裡面在那邊走路
[00:01:02.000 --> 00:01:05.000]  一邊走一面禱告
[00:01:05.000 --> 00:01:07.000]  那麼這樣子一舉兩得
[00:01:07.000 --> 00:01:10.000]  一面禱告一方面同時也運動了
[00:01:10.000 --> 00:01:14.000]  結果我常常會在我結束
[00:01:14.000 --> 00:01:18.000]  大概結束的時候
[00:01:18.000 --> 00:01:20.000]  我就聽到我的隔壁鄰居
[00:01:20.000 --> 00:01:24.000]  就開始打開他的收音機
[00:01:24.000 --> 00:01:25.000]  然後就開始
[00:01:25.000 --> 00:01:27.000]  很熟悉的聲音我也不知道是誰
[00:01:27.000 --> 00:01:28.000]  我不知道是誰
[00:01:28.000 --> 00:01:30.000]  那麼他就開始聽聽聽聽
[00:01:30.000 --> 00:01:32.000]  我大概有時候禮拜一
[00:01:32.000 --> 00:01:34.000]  禮拜一的時候我比較會多一點時間
[00:01:34.000 --> 00:01:36.000]  我就在院子裡面安靜禱告的時候
[00:01:36.000 --> 00:01:38.000]  有時候我就會聽到他裡面
[00:01:38.000 --> 00:01:39.000]  就是在講什麼
[00:01:39.000 --> 00:01:42.000]  就是在講又是什麼兩岸關係
[00:01:42.000 --> 00:01:44.000]  又是中國現在怎麼樣子
[00:01:44.000 --> 00:01:45.000]  台灣怎麼樣子
[00:01:45.000 --> 00:01:46.000]  等等就報這些信息
[00:01:46.000 --> 00:01:47.000]  所以他很有興趣
[00:01:47.000 --> 00:01:51.000]  每天早上我聽見他就在聽這些政論節目
[00:01:51.000 --> 00:01:55.000]  親愛的丟子妹你可以看見今天在你的耳邊
[00:01:55.000 --> 00:01:57.000]  常常充滿了許多的聲音有沒有
[00:01:57.000 --> 00:01:59.000]  這個地上的聲音很多
[00:01:59.000 --> 00:02:01.000]  世界上的聲音很多
[00:02:01.000 --> 00:02:02.000]  隔壁的聲音
[00:02:02.000 --> 00:02:03.000]  鄰居的聲音
[00:02:03.000 --> 00:02:05.000]  小孩子吵鬧的聲音
[00:02:05.000 --> 00:02:07.000]  或者是夫妻吵架的聲音
[00:02:07.000 --> 00:02:08.000]  你會發現你一生當中
[00:02:08.000 --> 00:02:10.000]  可能從你打開眼睛
[00:02:10.000 --> 00:02:11.000]  一直到你睡覺
[00:02:11.000 --> 00:02:13.000]  你聽到的聲音不斷
[00:02:13.000 --> 00:02:14.000]  但是親愛丟子妹
[00:02:14.000 --> 00:02:16.000]  今天我告訴你一件事情
[00:02:16.000 --> 00:02:17.000]  這個地上的聲音
[00:02:17.000 --> 00:02:19.000]  聽了之後你越聽越煩
[00:02:19.000 --> 00:02:21.000]  地上的聲音聽了很多之後
[00:02:21.000 --> 00:02:24.000]  你就沒有辦法專心的聽上帝的聲音
[00:02:24.000 --> 00:02:27.000]  但是約翰在這裡讓我們看見
[00:02:27.000 --> 00:02:30.000]  在這段聖經裡面注意看
[00:02:30.000 --> 00:02:36.000]  約翰他看見有一個大力的天使從天降下
[00:02:36.000 --> 00:02:38.000]  披著雲彩
[00:02:38.000 --> 00:02:39.000]  然後頭上有紅
[00:02:39.000 --> 00:02:40.000]  臉面像日頭
[00:02:40.000 --> 00:02:42.000]  兩腳像火柱
[00:02:42.000 --> 00:02:46.000]  他手裡拿著小書卷是展開的
[00:02:46.000 --> 00:02:48.000]  這裡提到說他右腳踏海
[00:02:48.000 --> 00:02:50.000]  左腳踏地大聲呼喊
[00:02:50.000 --> 00:02:53.000]  然後你看到後面第四節說
[00:02:53.000 --> 00:02:57.000]  他說我就聽見從天上有聲音說
[00:02:57.000 --> 00:02:59.000]  在這段聖經裡面
[00:02:59.000 --> 00:03:01.000]  第四節約翰講了一次
