
[00:00:00.000 --> 00:00:06.360]  很多的詩篇都很能夠進入我們的心裏面
[00:00:06.360 --> 00:00:08.760]  讓我們體會上帝很多的作為
[00:00:08.760 --> 00:00:13.800]  但是有些詩篇我們看上去不太容易投入
[00:00:13.800 --> 00:00:18.120]  就好像今天要和大家看的詩篇《詩篇105》
[00:00:18.120 --> 00:00:24.000]  因為很多學者說這種詩篇稱為歷史詩篇
[00:00:24.000 --> 00:00:30.360]  歷史詩篇很簡單就是會引述很多以色列人的歷史
[00:00:30.360 --> 00:00:34.160]  這個是他們信仰群體的經歷
[00:00:34.160 --> 00:00:38.360]  在整篇詩篇150篇裏面
[00:00:38.360 --> 00:00:43.160]  只有三篇的詩篇被歸類為歷史詩
[00:00:43.160 --> 00:00:48.600]  就是《詩篇105》、《詩篇106》和《詩篇78》
[00:00:48.600 --> 00:00:52.360]  《詩篇105》和《詩篇106》有一點像貓公仔
[00:00:52.360 --> 00:00:56.360]  《詩篇105》今天主要是告訴我們
[00:00:56.360 --> 00:00:59.960]  從上帝的角度表明這位上帝多麼的信實
[00:00:59.960 --> 00:01:02.360]  來看待以色列人
[00:01:02.360 --> 00:01:06.760]  所以要帶來這群以色列人要敬拜讚美上帝
[00:01:06.760 --> 00:01:09.160]  《詩篇106》剛剛反過來
[00:01:09.160 --> 00:01:10.760]  從另一個角度來說
[00:01:10.760 --> 00:01:12.960]  雖然我們這位信實的上帝
[00:01:12.960 --> 00:01:17.360]  但是這群以色列人怎樣來回應他們
[00:01:17.360 --> 00:01:20.360]  沒有按照上帝的心意來回應上帝
[00:01:20.360 --> 00:01:23.760]  所以是一個正面和反面的角度
[00:01:23.760 --> 00:01:28.560]  但是同樣是一種鼓勵他的百姓、神的百姓
[00:01:28.560 --> 00:01:33.560]  我們不要忘記上帝的工作
[00:01:33.560 --> 00:01:35.560]  如果我們看這篇詩篇
[00:01:35.560 --> 00:01:39.960]  45節裏面由第12節一直到後面
[00:01:39.960 --> 00:01:43.160]  這33節的經文當中
[00:01:43.160 --> 00:01:46.560]  其實感覺就好像一直看
[00:01:46.560 --> 00:01:50.960]  簡直是把《創世紀》由阿伯拉罕被呼召
[00:01:50.960 --> 00:01:53.760]  一直到《出埃及記》的結尾
[00:01:53.760 --> 00:01:56.360]  他們終於要進入迦南地
[00:01:56.360 --> 00:01:57.560]  應許之地
[00:01:57.560 --> 00:01:58.960]  所以如果你讀聖經的時候
[00:01:58.960 --> 00:02:02.360]  你會發覺通常由《創世紀》開始讀
[00:02:02.360 --> 00:02:04.160]  《創世紀》沒有問題
[00:02:04.160 --> 00:02:05.160]  很有興趣
[00:02:05.160 --> 00:02:06.760]  有很多故事
[00:02:06.760 --> 00:02:07.560]  到《出埃及記》
[00:02:07.560 --> 00:02:08.960]  《出埃及記》也很好看
[00:02:08.960 --> 00:02:11.560]  但是有時候讀到《出埃及記》的時候
[00:02:11.560 --> 00:02:12.760]  出不了埃及
[00:02:12.760 --> 00:02:14.760]  然後很多時候又要重新
[00:02:14.760 --> 00:02:17.360]  又要從《創世紀》開始讀
[00:02:17.360 --> 00:02:19.160]  《出埃及記》又出不了埃及
[00:02:19.160 --> 00:02:21.560]  但是你看詩篇105篇
[00:02:21.560 --> 00:02:22.560]  就一定有滿足感
[00:02:22.560 --> 00:02:25.160]  因為只是很簡單
[00:02:25.160 --> 00:02:26.560]  45節的經文
[00:02:26.560 --> 00:02:31.160]  超濃縮地把500年的以色列人歷史
[00:02:31.160 --> 00:02:34.960]  很快,五分鐘就可以讀完
[00:02:34.960 --> 00:02:35.960]  所以很有滿足感
[00:02:35.960 --> 00:02:37.760]  所以你告訴你的靈靈寺母
[00:02:37.760 --> 00:02:41.960]  可以出埃及了
[00:02:41.960 --> 00:02:46.560]  這張聖經裡面有很多重要的人物
[00:02:46.560 --> 00:02:47.960]  以色列的歷史當中
[00:02:47.960 --> 00:02:48.760]  包括阿伯拉罕
[00:02:48.760 --> 00:02:49.760]  以色列一定有出現
[00:02:49.760 --> 00:02:51.760]  因為是在講歷史
[00:02:51.760 --> 00:02:54.560]  但同時他究竟想表達什麼呢
[00:02:54.560 --> 00:02:55.760]  一方面告訴我們
[00:02:55.760 --> 00:02:58.160]  上帝怎樣帶領他們
[00:02:58.160 --> 00:02:59.560]  跟他們納約
[00:02:59.560 --> 00:03:00.760]  賜給他們應許之地
[00:03:00.760 --> 00:03:03.160]  讓他們得到真正的安息
[00:03:03.160 --> 00:03:06.360]  但同時在整個描述裡面
[00:03:06.360 --> 00:03:08.360]  我發覺一件事很奇妙
[00:03:08.360 --> 00:03:10.160]  原來裡面的內容
[00:03:10.160 --> 00:03:13.360]  一句半個字都沒有提到
[00:03:13.360 --> 00:03:14.960]  這群以色列人
[00:03:14.960 --> 00:03:17.160]  他們在經歷上帝帶領的過程中
[00:03:17.160 --> 00:03:19.360]  其實有很多惱教的事情
[00:03:19.360 --> 00:03:20.760]  他們有很多背叛
[00:03:20.760 --> 00:03:21.960]  很多煩躁
[00:03:21.960 --> 00:03:23.360]  很多投訴
[00:03:23.360 --> 00:03:25.560]  但在這幾十節的經文裡面
[00:03:25.560 --> 00:03:27.560]  絲毫沒有表達
[00:03:27.560 --> 00:03:28.960]  作者好像代表上帝
[00:03:28.960 --> 00:03:30.560]  是一個上帝的代言人
[00:03:30.560 --> 00:03:32.760]  去說明上帝對他們的子民
[00:03:32.760 --> 00:03:35.360]  那種的守約斯詞來
[00:03:35.360 --> 00:03:37.160]  是幫助那群聽的人
[00:03:37.160 --> 00:03:38.160]  看的人
[00:03:38.160 --> 00:03:41.160]  再一次看見上帝在他們子民的
[00:03:41.160 --> 00:03:42.960]  帶領當中
[00:03:42.960 --> 00:03:45.360]  讓他們能夠回復一件事
[00:03:45.360 --> 00:03:47.760]  就是他們要進行上帝的心意
[00:03:47.760 --> 00:03:50.760]  並且將讚美歸給上帝
[00:03:50.760 --> 00:03:52.760]  所以這個就是《詩篇》105篇
[00:03:52.760 --> 00:03:53.960]  主要的內容
[00:03:53.960 --> 00:03:55.360]  其實我講完了
[00:03:55.360 --> 00:03:56.960]  應該可以下台了
[00:03:56.960 --> 00:04:00.360]  當然你會覺得太過
[00:04:00.360 --> 00:04:01.760]  太過節儉了
[00:04:01.760 --> 00:04:04.360]  所以你是不是想聽多一點呢
[00:04:04.360 --> 00:04:04.760]  是不是
[00:04:04.760 --> 00:04:08.760]  你告訴你旁邊的姐妹 你要聽多一點
[00:04:08.760 --> 00:04:11.960]  好 我就講多一點給你聽
[00:04:11.960 --> 00:04:14.360]  我讀這篇《詩篇》的時候
[00:04:14.360 --> 00:04:17.160]  我覺得很快
[00:04:17.160 --> 00:04:17.760]  不知道為什麼
[00:04:17.760 --> 00:04:19.360]  很快有一種待人感
[00:04:19.360 --> 00:04:20.960]  特別讀到兩節聖經
