
[00:00:00.000 --> 00:00:04.920]  好了,每一年的農曆新年,很多人都會在年三十萬,年初一
[00:00:04.920 --> 00:00:08.240]  就去一些廟宇那裏上香,祈福,對不對?
[00:00:08.240 --> 00:00:11.680]  那麼作爲基督徒,我們在新的一年裏面
[00:00:11.680 --> 00:00:14.920]  我們有沒有都好好的去到神的面前
[00:00:14.920 --> 00:00:20.080]  然後我們去思想,未來這一年裏面,我要有些什麼去祈求呢?這樣
[00:00:20.080 --> 00:00:22.080]  因爲有一句話大家都很清楚的了
[00:00:22.080 --> 00:00:28.180]  一年之計在於春,一日之計在於神
[00:00:28.180 --> 00:00:32.000]  你留意這個神呢,不是早上那個神
[00:00:32.000 --> 00:00:35.040]  是在於神,是我們的神
[00:00:35.040 --> 00:00:39.040]  所以我每一天起牀的時候,第一樣東西呢,我就要感恩
[00:00:39.040 --> 00:00:41.700]  我又過了一天了,不死的
[00:00:41.700 --> 00:00:47.680]  然後神,求你幫助我,在今天裏面,好好地做得好
[00:00:47.680 --> 00:00:49.680]  不要浪費時間
[00:00:49.680 --> 00:00:53.840]  你只要爲這一樣東西祈禱就已經足夠了,每一天我起牀都會這樣
[00:00:53.840 --> 00:00:55.840]  所以一日之計在於神
[00:00:55.840 --> 00:01:02.840]  那詩篇九十篇呢,其實就是摩西所寫的
[00:01:02.840 --> 00:01:05.840]  如果我看到裏面的《不乏》和《生命記》都很相符的
[00:01:05.840 --> 00:01:08.840]  那如果真是摩西所寫的話呢
[00:01:08.840 --> 00:01:11.840]  那這篇詩篇應該是最古老的詩篇
[00:01:11.840 --> 00:01:14.840]  因爲詩篇大部分是大衛所寫的嘛
[00:01:14.840 --> 00:01:17.840]  是大衛作王或者逃難的時候所寫的
[00:01:17.840 --> 00:01:19.840]  我今早靈脩也是看大衛的詩
[00:01:19.840 --> 00:01:23.840]  但是摩西寫的詩篇,那就是很早期的了
[00:01:23.840 --> 00:01:26.840]  如果我們也瞭解到摩西的經歷
[00:01:26.840 --> 00:01:29.840]  那就會明白這篇詩篇所寫的什麼東西
[00:01:29.840 --> 00:01:32.840]  摩西帶領以色列人出埃及嘛
[00:01:32.840 --> 00:01:35.840]  但是以色列人有很多的埋冤
[00:01:35.840 --> 00:01:42.840]  然後呢,結果這幫第一代的人全部死在了抗疫
[00:01:42.840 --> 00:01:45.840]  就是第二代的人才能進入加拿大,是不是?
[00:01:45.840 --> 00:01:48.840]  在這四十年裏面,第一代的人死了
[00:01:48.840 --> 00:01:51.840]  不幸地,連摩西都進不了加拿大
[00:01:51.840 --> 00:01:57.840]  所以摩西體會到人生很多的無奈短暫
[00:01:57.840 --> 00:02:00.840]  所以你搞了這個背景之後
[00:02:00.840 --> 00:02:03.840]  就明白這篇詩篇說的是什麼
[00:02:03.840 --> 00:02:08.840]  它說到一開始就是神是永恆,人是很短暫
[00:02:08.840 --> 00:02:12.840]  我用了這張圖,我也覺得挺有意思,雖然有點錯
[00:02:12.840 --> 00:02:15.840]  它說到一個小朋友,小時候去玩
[00:02:15.840 --> 00:02:18.840]  後來長大就拍拖,結婚了
[00:02:18.840 --> 00:02:21.840]  還很好,執子之手與子皆老
[00:02:21.840 --> 00:02:25.840]  兩個老人家,但是有一個人先走了
[00:02:25.840 --> 00:02:29.840]  結果有一個人對着墳墓,很孤單
[00:02:29.840 --> 00:02:32.840]  最後連他也死了,兩個墳墓了
[00:02:32.840 --> 00:02:37.840]  但是我會覺得,據統計,男人是比女人短命的
[00:02:37.840 --> 00:02:42.840]  所以應該是阿婆看着墳墓,而不是阿伯看着墳墓
[00:02:42.840 --> 00:02:46.840]  還有執子之手與子皆老都不是那麼容易
[00:02:46.840 --> 00:02:51.840]  但是無論如何,我們會看到原來人生就是一個過程
[00:02:51.840 --> 00:02:58.840]  生不一定是老的,病,死,是人必經的階段
[00:02:58.840 --> 00:03:00.840]  但是我們怎麼看我們的人生呢?
[00:03:00.840 --> 00:03:03.840]  我們再讀詩篇,90篇,第一到第四節
[00:03:03.840 --> 00:03:09.840]  一開始摩西就說到神的屬性
[00:03:09.840 --> 00:03:12.840]  神是永恆的裏面
[00:03:12.840 --> 00:03:14.840]  我們人是有開始的
[00:03:14.840 --> 00:03:17.840]  我們有出生,有死亡,有終結
[00:03:17.840 --> 00:03:20.840]  但是神是沒有開始,也沒有完結
[00:03:20.840 --> 00:03:21.840]  神是永恆的
[00:03:21.840 --> 00:03:24.840]  所以他特別提出,珠山未曾生出
[00:03:24.840 --> 00:03:28.840]  世界你未曾造成的時候,你已經存在
[00:03:28.840 --> 00:03:30.840]  你是從梗鼓已經有了
[00:03:30.840 --> 00:03:32.840]  他特別提到山
[00:03:32.840 --> 00:03:37.840]  原來在猶太人的觀念裏面,山代表了穩固
[00:03:37.840 --> 00:03:40.840]  聖殿是建在石鞍山上面
[00:03:40.840 --> 00:03:42.840]  所以有常行之師
[00:03:42.840 --> 00:03:45.840]  而實際上香港人都很強調有什麼?
[00:03:45.840 --> 00:03:47.840]  獅子山精神嘛
[00:03:47.840 --> 00:03:49.840]  山是代表了穩固
[00:03:49.840 --> 00:03:51.840]  但是他特別強調一樣東西就是
[00:03:51.840 --> 00:03:55.840]  原來我們的神是一個永生的神
[00:03:55.840 --> 00:03:58.840]  所以上行之師裏面是怎麼說的呢?
[00:03:58.840 --> 00:04:02.840]  我們一起讀詩篇,120篇,第一第二兩節
[00:04:02.840 --> 00:04:05.840]  我要向山舉目
[00:04:05.840 --> 00:04:08.840]  因爲他們很相信山是穩固的
[00:04:08.840 --> 00:04:10.840]  是可以成爲他們的幫助
[00:04:10.840 --> 00:04:13.840]  我有個程度很認真地想
[00:04:13.840 --> 00:04:15.840]  有誰可以是可靠的
[00:04:15.840 --> 00:04:18.840]  我們絕對不會相信任何政治人物
[00:04:18.840 --> 00:04:20.840]  他說的東西是不會實現的
[00:04:20.840 --> 00:04:23.840]  拜登他出來競選都說不會赦免兒子
[00:04:23.840 --> 00:04:25.840]  他兒子犯罪了,對不對?
[00:04:25.840 --> 00:04:28.840]  誰知道林衛爾也是赦免兒子,對不對?
[00:04:28.840 --> 00:04:31.840]  最好笑是特朗普罵他,說他這麼離譜
[00:04:31.840 --> 00:04:33.840]  但是他自己赦免了很多人,對不對?
[00:04:33.840 --> 00:04:36.840]  你不會相信任何的一些政治人物
[00:04:36.840 --> 00:04:39.840]  但是同樣,就算我們的家人
[00:04:39.840 --> 00:04:41.840]  有時候不是他不愛我們
[00:04:41.840 --> 00:04:43.840]  但是他也很有限
[00:04:43.840 --> 00:04:45.840]  有時候他也很無奈
[00:04:45.840 --> 00:04:48.840]  所以真正可以依靠的是什麼?
[00:04:48.840 --> 00:04:51.840]  就是創造天地萬物的主宰
[00:04:51.840 --> 00:04:54.840]  他是我們可以來到去投靠的
[00:04:54.840 --> 00:04:57.840]  接着,一開始就說到
[00:04:57.840 --> 00:05:02.840]  神啊,你是世世代代作我們的居所
[00:05:02.840 --> 00:05:05.840]  一開始就說神是我們的居所
[00:05:05.840 --> 00:05:06.840]  你們明白這個背景嗎?
[00:05:06.840 --> 00:05:09.840]  因爲有四十年,他們在抗議裏面做什麼?
[00:05:09.840 --> 00:05:12.840]  居無定所
