
[00:00:00.000 --> 00:00:02.200]  今天開始去港島之仙
[00:00:02.200 --> 00:00:05.300]  想跟大家玩一些聖經問答的遊戲
[00:00:05.300 --> 00:00:06.600]  考考大家
[00:00:06.600 --> 00:00:09.700]  星期五已經問過一次了
[00:00:09.700 --> 00:00:15.200]  不過遊戲規則是不准做牧師回答
[00:00:15.200 --> 00:00:16.700]  (笑)
[00:00:16.700 --> 00:00:19.400]  對了,這個就是遊戲規則了
[00:00:19.400 --> 00:00:21.000]  其他人就要回答了
[00:00:21.000 --> 00:00:25.000]  有幾節聖經的經文
[00:00:25.000 --> 00:00:31.800]  希望大家跟我一起去對答
[00:00:31.800 --> 00:00:32.800]  有句聖經說
[00:00:32.800 --> 00:00:36.200]  太初有道,道與神同在
[00:00:36.200 --> 00:00:38.400]  下一句是什麼?
[00:00:38.400 --> 00:00:39.600]  道就是神
[00:00:39.600 --> 00:00:41.200]  感謝主啊
[00:00:41.200 --> 00:00:42.600]  我們很多頂尖的都回答得到
[00:00:42.600 --> 00:00:44.600]  道就是神,厲害
[00:00:44.600 --> 00:00:46.400]  厲害
[00:00:46.400 --> 00:00:49.400]  第二句
[00:00:49.400 --> 00:00:51.200]  他到自己的地方來
[00:00:51.200 --> 00:00:53.600]  自己的人都不接待他
[00:00:53.600 --> 00:00:57.000]  凡接待他的,就是信他名的人
[00:00:57.000 --> 00:00:59.600]  他就似他們權柄
[00:00:59.600 --> 00:01:01.400]  做什麼?
[00:01:01.400 --> 00:01:05.400]  做神的兒女
[00:01:05.400 --> 00:01:08.600]  當我們來到信耶穌的時候
[00:01:08.600 --> 00:01:10.600]  我們就有權柄
[00:01:10.600 --> 00:01:14.000]  我們是神的兒女
[00:01:14.000 --> 00:01:16.400]  最後一句了
[00:01:16.400 --> 00:01:20.000]  上高不太聽到,可以大聲一點
[00:01:20.000 --> 00:01:22.600]  這等人不是從血氣生的
[00:01:22.600 --> 00:01:25.200]  也不是從情欲生的
[00:01:25.200 --> 00:01:28.000]  也不是從仁義生的
[00:01:28.000 --> 00:01:29.200]  是從哪裡生的呢?
[00:01:29.200 --> 00:01:33.800]  乃是什麼?
[00:01:33.800 --> 00:01:35.600]  你說吧,聽不到
[00:01:35.600 --> 00:01:37.600]  這等人不是從血氣生的
[00:01:37.600 --> 00:01:39.600]  不是從情欲生的
[00:01:39.600 --> 00:01:42.600]  也不是從仁義生的
[00:01:42.600 --> 00:01:49.200]  信耶穌的人是從哪裡生的呢?
[00:01:49.200 --> 00:01:51.200]  是從神生的
[00:01:51.200 --> 00:01:54.400]  有姊妹答得到
[00:01:54.400 --> 00:01:58.200]  其實跟大家分享的經文
[00:01:58.200 --> 00:02:03.000]  是在《約翰福音》第一章裡找得到的
[00:02:03.000 --> 00:02:05.800]  請我們一起低頭同心禱告
[00:02:05.800 --> 00:02:08.800]  主啊就讓我們在祢面前
[00:02:08.800 --> 00:02:11.000]  我們再一次認定
[00:02:11.000 --> 00:02:13.400]  我們是跟從祢的
[00:02:13.400 --> 00:02:15.000]  我們是信耶穌的
[00:02:15.000 --> 00:02:17.400]  我們有這個子女的名份
[00:02:17.400 --> 00:02:19.200]  有這個子女的權柄
[00:02:19.200 --> 00:02:22.800]  願意我們能夠常常地珍惜這種關係
[00:02:22.800 --> 00:02:26.000]  我們常常地能夠來到祢面前
[00:02:26.000 --> 00:02:28.600]  主啊又願意我們一生的來到
[00:02:28.600 --> 00:02:30.000]  去跟隨主耶穌
[00:02:30.000 --> 00:02:31.800]  作主耶穌的門徒
[00:02:31.800 --> 00:02:33.600]  主啊我們願意在祢面前
[00:02:33.600 --> 00:02:35.000]  我們聽祢的話
[00:02:35.000 --> 00:02:37.000]  主啊求祢的靈在我們中間
[00:02:37.000 --> 00:02:38.600]  對我們說話
[00:02:38.600 --> 00:02:39.800]  主啊我們在祢面前
[00:02:39.800 --> 00:02:40.800]  我們等候祢
[00:02:40.800 --> 00:02:43.800]  我們呼求祈禱是靠耶穌基督的名
[00:02:43.800 --> 00:02:46.600]  Amen
[00:02:46.600 --> 00:02:49.400]  我們看
[00:02:49.400 --> 00:02:51.200]  今天我們的主題是
[00:02:51.200 --> 00:02:52.200]  想說
[00:02:52.200 --> 00:02:54.400]  主啊我要走近祢
[00:02:54.400 --> 00:02:56.600]  盼望這個都是我們
[00:02:56.600 --> 00:02:57.600]  每一個頂姐妹
[00:02:57.600 --> 00:03:00.200]  我們在心裡面的盼望
[00:03:00.200 --> 00:03:02.200]  我們會看經文
[00:03:02.200 --> 00:03:07.200]  在約翰福音的第一章43到51節
[00:03:07.200 --> 00:03:09.400]  這裡大致上我們會看的就是
[00:03:09.400 --> 00:03:14.800]  肥力和拿達葉他們對基督那份期盼
[00:03:14.800 --> 00:03:17.000]  他們對基督那份期盼
[00:03:17.000 --> 00:03:19.000]  有八節經文
[00:03:19.000 --> 00:03:20.400]  有九節經文
[00:03:20.400 --> 00:03:21.800]  我們分開了
[00:03:21.800 --> 00:03:24.000]  就有四個段落看
[00:03:24.000 --> 00:03:26.800]  我們看第43到44節
[00:03:26.800 --> 00:03:30.000]  就是主怎樣來呼召肥力
[00:03:30.000 --> 00:03:32.000]  我們預備一起讀一次
[00:03:32.000 --> 00:03:33.600]  有次日
[00:03:33.600 --> 00:03:36.600]  耶穌想要王加利離去
