
[00:00:00.000 --> 00:00:06.800]  哈佛大學做了一個長達75年的研究
[00:00:06.800 --> 00:00:10.160]  這個研究在1938年就開始了
[00:00:10.160 --> 00:00:13.800]  這個研究去調查了724個人
[00:00:13.800 --> 00:00:16.500]  這724個人是什麼人來的呢?
[00:00:16.500 --> 00:00:21.060]  有200多個是當時是說193幾年
[00:00:21.060 --> 00:00:24.760]  在哈佛大學讀書的大學生
[00:00:24.760 --> 00:00:30.000]  大家也想到當時193幾年在哈佛讀書的
[00:00:30.000 --> 00:00:31.900]  要麼就是非富則貴
[00:00:31.900 --> 00:00:34.600]  要麼就是讀書很厲害的這些人
[00:00:34.600 --> 00:00:37.300]  而另外一批就是有400多個
[00:00:37.300 --> 00:00:40.800]  就是在波士頓在貧民窟裏面生活的
[00:00:40.800 --> 00:00:46.760]  生活很困難、生活很艱苦的一班年青人
[00:00:46.760 --> 00:00:50.200]  這個研究去研究他們的身體狀況
[00:00:50.200 --> 00:00:53.060]  研究他們的家庭
[00:00:53.060 --> 00:00:55.060]  定時跟他們見面
[00:00:55.060 --> 00:00:56.800]  去見他們的家人
[00:00:56.800 --> 00:00:58.600]  定時發問卷給他們
[00:00:58.600 --> 00:01:01.960]  調查一下他們的工作、他們的家庭
[00:01:01.960 --> 00:01:03.860]  他們的人生發展是怎樣
[00:01:03.860 --> 00:01:06.300]  更加說70幾年了
[00:01:06.300 --> 00:01:08.400]  更加會見他們的子子孫孫
[00:01:08.400 --> 00:01:09.800]  跟他們去聊天
[00:01:09.800 --> 00:01:11.200]  目的是什麼呢?
[00:01:11.200 --> 00:01:13.060]  目的呢,他很想找到
[00:01:13.060 --> 00:01:18.360]  什麼東西能夠令到人可以很開心快樂
[00:01:18.360 --> 00:01:21.260]  可以笑口常開、可以身體健康
[00:01:21.260 --> 00:01:24.100]  大家想不想知道是什麼?
[00:01:24.100 --> 00:01:25.600]  不過我暫時不告訴大家
[00:01:25.600 --> 00:01:29.060]  先買一個關子
[00:01:29.060 --> 00:01:31.100]  所以如果你知道答案的
[00:01:31.100 --> 00:01:33.360]  你暫時不要告訴你鄰居
[00:01:33.360 --> 00:01:35.200]  這個75年的研究
[00:01:35.200 --> 00:01:38.460]  他其實在2012年就公佈了答案
[00:01:38.460 --> 00:01:41.800]  大家先猜一下,我不說
[00:01:41.800 --> 00:01:45.460]  你覺得關不關他們的財產事?
[00:01:45.460 --> 00:01:47.160]  財富關不關事?
[00:01:47.160 --> 00:01:49.360]  是不是財富令到他們開心點?
[00:01:49.360 --> 00:01:54.200]  是不是他們的名譽地位令他們開心點?
[00:01:54.200 --> 00:01:56.160]  好,那我一會兒再告訴大家
[00:01:56.160 --> 00:01:58.760]  上個星期杜牧師講道的時候
[00:01:58.760 --> 00:02:03.060]  他就提到耶穌已經迎向十字架的道路了
[00:02:03.060 --> 00:02:06.100]  他們去耶路撒冷的地方
[00:02:06.100 --> 00:02:07.560]  進入了一個城裡
[00:02:07.560 --> 00:02:09.560]  當時的人拒絕他們
[00:02:09.560 --> 00:02:11.100]  他們就離開了
[00:02:11.100 --> 00:02:13.460]  大家記不記得他有兩個門徒
[00:02:13.460 --> 00:02:16.160]  當時就很火爆地說了一句話
[00:02:16.160 --> 00:02:20.560]  主啊,你要我們吩咐火從天上降下來
[00:02:20.560 --> 00:02:22.460]  消滅他們嗎?
[00:02:22.460 --> 00:02:25.860]  大家記不記得那兩個門徒是誰?
[00:02:25.860 --> 00:02:26.860]  記不記得?
[00:02:26.860 --> 00:02:28.860]  上個星期有沒有聽到杜牧師講道?
[00:02:28.860 --> 00:02:30.360]  有吧?
[00:02:30.360 --> 00:02:33.860]  是雅各和約翰
[00:02:33.860 --> 00:02:35.160]  今天我們講的經文
[00:02:35.160 --> 00:02:37.460]  都是關這兩個門徒的事
[00:02:37.460 --> 00:02:40.160]  這本經文的背景是什麼呢?
[00:02:40.160 --> 00:02:42.060]  背景就是
[00:02:42.060 --> 00:02:45.860]  耶穌和門徒已經快要去到耶路撒冷了
[00:02:45.860 --> 00:02:47.860]  耶穌並指第三次
[00:02:47.860 --> 00:02:49.860]  第三次跟門徒講道
[00:02:49.860 --> 00:02:51.860]  祂會受難和復活
[00:02:51.860 --> 00:02:53.860]  第一次是什麼時候講的呢?
[00:02:53.860 --> 00:02:56.860]  就是楊牧師有一次跟我們講道
[00:02:56.860 --> 00:03:00.560]  就講到耶穌帶著彼得、約翰和雅各
[00:03:00.560 --> 00:03:03.360]  上到山上變了祂的樣子
[00:03:03.360 --> 00:03:04.360]  記不記得?
[00:03:04.360 --> 00:03:06.360]  第一次就在那次之前
[00:03:06.360 --> 00:03:07.860]  大約是那段時間
[00:03:07.860 --> 00:03:09.860]  第二次就是杜牧師
[00:03:09.860 --> 00:03:13.360]  剛才我提到上個星期講的那篇道的之前
[00:03:13.360 --> 00:03:16.360]  而第三次耶穌跟門徒講
[00:03:16.360 --> 00:03:19.360]  「我要受難了,然後我會復活」
