
[00:00:00.000 --> 00:00:01.200]  我們今天很高興
[00:00:01.200 --> 00:00:04.100]  因為大家都來到我們當中
[00:00:04.100 --> 00:00:05.240]  和我們一起去敬拜神
[00:00:05.240 --> 00:00:07.580]  雖然我們大家是分隔開的
[00:00:07.580 --> 00:00:10.980]  但是我們現在的科技是很發達
[00:00:10.980 --> 00:00:13.760]  可以令到我們可以大家聯繫在一起
[00:00:13.760 --> 00:00:16.200]  在網上聯繫一起去敬拜我們的神
[00:00:16.200 --> 00:00:17.960]  我們滿心感謝
[00:00:17.960 --> 00:00:20.540]  有一句金句大家都很熟悉的
[00:00:20.540 --> 00:00:22.740]  它就是「當信主耶穌
[00:00:22.740 --> 00:00:25.520]  你和你一家都必得救」
[00:00:25.520 --> 00:00:30.000]  這個是《使徒行傳》十六章三十一節說到的
[00:00:30.000 --> 00:00:33.420]  這句金句很多時候大家如果是
[00:00:33.420 --> 00:00:34.500]  例如是來自香港的
[00:00:34.500 --> 00:00:36.080]  因為我自己是來自香港
[00:00:36.080 --> 00:00:42.780]  就會看到有些街道教會的招牌
[00:00:42.780 --> 00:00:49.320]  很多時候都是用金句去吸引人去參加這個聚會
[00:00:49.320 --> 00:00:52.000]  很多時候都是用《約翰福音》三章十六節
[00:00:52.000 --> 00:00:55.900]  就是「神愛世人,甚至將他獨生子」那句大家都很熟悉的
[00:00:55.900 --> 00:00:58.400]  也有時候是用《使徒行傳》十六章三十一節
[00:00:58.400 --> 00:00:59.440]  就是「當信主耶穌
[00:00:59.440 --> 00:01:01.860]  你和你一家都必得救」
[00:01:01.860 --> 00:01:06.720]  但是這句金句也是給人一個很大的誤解
[00:01:06.720 --> 00:01:09.380]  被人誤解的就是你信了耶穌之後
[00:01:09.380 --> 00:01:12.440]  你和你整家人都會得救了
[00:01:12.440 --> 00:01:15.280]  知道這不是合乎我們基督教的真理
[00:01:15.280 --> 00:01:17.280]  因為信仰是我們自己的
[00:01:17.280 --> 00:01:19.140]  是個人的信仰
[00:01:19.140 --> 00:01:22.980]  是要清楚明白耶穌基督的死、復活
[00:01:22.980 --> 00:01:24.380]  接受祂做救主
[00:01:24.380 --> 00:01:25.600]  這是個人的信仰
[00:01:25.600 --> 00:01:27.200]  不是說你信了主
[00:01:27.200 --> 00:01:29.000]  整家人就自然得救
[00:01:29.000 --> 00:01:32.520]  這就不像我們中國民間所說的一人得道
[00:01:32.520 --> 00:01:34.080]  雞犬升天
[00:01:34.080 --> 00:01:37.220]  就是說人們修道到某個境界就可以升天了
[00:01:37.220 --> 00:01:39.320]  連家裡的家人
[00:01:39.320 --> 00:01:43.640]  連家裡養的雞、鴨、貓、狗都跟著去升天
[00:01:43.640 --> 00:01:45.160]  不是這個意思
[00:01:45.160 --> 00:01:46.580]  為什麼會有誤會呢?
[00:01:46.580 --> 00:01:51.080]  就是翻譯的時候那個句子的結構次序
[00:01:51.080 --> 00:01:54.060]  我覺得是有一點誤差的
[00:01:54.060 --> 00:01:56.320]  就是有一點讓我們覺得
[00:01:56.320 --> 00:01:58.320]  信了耶穌你和你一家人就得救了
[00:01:58.320 --> 00:02:00.780]  其實應該照著原文
[00:02:00.780 --> 00:02:02.080]  其實意思就是說
[00:02:02.080 --> 00:02:04.080]  是你和你一家人信耶穌
[00:02:04.080 --> 00:02:05.240]  都必得救
[00:02:05.240 --> 00:02:06.040]  明白了嗎?
[00:02:06.040 --> 00:02:07.220]  差一點而已
[00:02:07.220 --> 00:02:09.120]  你和你一家人信耶穌
[00:02:09.120 --> 00:02:10.120]  都必得救
[00:02:10.120 --> 00:02:11.480]  就是說你要信耶穌
[00:02:11.480 --> 00:02:12.160]  你就得救
[00:02:12.160 --> 00:02:13.920]  你一家人信耶穌就得救
[00:02:13.920 --> 00:02:15.440]  不是因為你信了耶穌
[00:02:15.440 --> 00:02:16.680]  整家人都得救
[00:02:16.680 --> 00:02:18.580]  分別有一點
[00:02:18.580 --> 00:02:22.760]  但是那個意義分差很大
[00:02:22.760 --> 00:02:25.920]  大家都認識的呂子豐牧師
[00:02:25.920 --> 00:02:27.940]  呂子豐牧師是我們COCM
[00:02:27.940 --> 00:02:32.480]  就是華僑報道會的總幹事
[00:02:32.480 --> 00:02:34.000]  他來到我們教會講道
[00:02:34.000 --> 00:02:35.120]  他爺爺
[00:02:35.120 --> 00:02:36.500]  大家都聽過了
