
[00:00:00.000 --> 00:00:13.620]  我們今天要從這個以撒、雅各、約瑟、摩西這幾個屬靈的人物身上看到他們的最深的情形
[00:00:13.620 --> 00:00:22.980]  我們就先要看到的是以撒、雅各、約瑟他們三個人的情形
[00:00:22.980 --> 00:00:26.180]  我把它歸根這一段寫足
[00:00:26.180 --> 00:00:33.180]  因為他們故事講到他們臨近死亡的時候的情形
[00:00:33.180 --> 00:00:45.180]  我們要看到他們的心經跟亞伯拉罕的心經是有很大關係的
[00:00:45.180 --> 00:00:50.180]  因為神應許亞伯拉罕他要賜大福給他
[00:00:50.180 --> 00:00:56.180]  叫他子孫多起來,能夠像天上的星、海邊的沙那麼多
[00:00:56.180 --> 00:01:03.180]  而且要應許地上的萬國,應著你的後裔要得福
[00:01:03.180 --> 00:01:07.180]  但是亞伯拉罕就是承著這樣的心經死的
[00:01:07.180 --> 00:01:10.180]  在他離開世界的時候,死的時候
[00:01:10.180 --> 00:01:14.180]  他在迦南帝神所應許的地方
[00:01:14.180 --> 00:01:16.180]  他沒有一分的地
[00:01:16.180 --> 00:01:22.180]  除了最後他的妻子死的時候跟當地的土人買了一塊紅地以外
[00:01:22.180 --> 00:01:29.180]  可以說他離開世界的時候沒有看到神的應許實現
[00:01:29.180 --> 00:01:32.180]  他就是這樣的離開了
[00:01:32.180 --> 00:01:36.180]  但是他沒有失去心經
[00:01:36.180 --> 00:01:40.180]  他相信神所應許的必定要成全
[00:01:40.180 --> 00:01:45.180]  所以他在地上就存心忍耐
[00:01:45.180 --> 00:01:49.180]  過了一個科旅寄居的生活
[00:01:49.180 --> 00:01:52.180]  就把自己的地上做科旅
[00:01:52.180 --> 00:01:54.180]  你說做科旅的,你到一個地方
[00:01:54.180 --> 00:01:58.180]  你還說我買一塊地,我買個什麼,沒有
[00:01:58.180 --> 00:02:02.180]  他就是今天住在這個地方,明天就到另外一個地方
[00:02:02.180 --> 00:02:07.180]  所以他就在地上就沒有他的一些產業
[00:02:07.180 --> 00:02:11.180]  為什麼他能夠在地上過一個寄居的生活
[00:02:11.180 --> 00:02:15.180]  因為他想到將來
[00:02:15.180 --> 00:02:21.180]  他想到將來,他要到神所應許給他的一個更美的家鄉
[00:02:21.180 --> 00:02:25.180]  因為他炫目這個天上更美的家鄉
[00:02:25.180 --> 00:02:29.180]  所以他在地上就能夠在過一個科旅的生活的時候
[00:02:29.180 --> 00:02:32.180]  他還是信靠神
[00:02:32.180 --> 00:02:34.180]  因為他有一個盼望
[00:02:34.180 --> 00:02:38.180]  所以這個信心跟盼望是有關係的
[00:02:38.180 --> 00:02:42.180]  他相信神的應許必定成全
[00:02:42.180 --> 00:02:44.180]  即使在他活著的時候不成全
[00:02:44.180 --> 00:02:48.180]  在以後的日子也會成全的
[00:02:48.180 --> 00:02:52.180]  但是我們就看到他的信心呢
[00:02:52.180 --> 00:02:56.180]  影響到以撒、雅各還有約瑟
[00:02:56.180 --> 00:03:00.180]  他的兒子、孫子的身上
[00:03:00.180 --> 00:03:08.180]  所以看起來這個信心是可以傳遞的
[00:03:08.180 --> 00:03:11.180]  傳遞的意思就是可以影響的
[00:03:11.180 --> 00:03:14.180]  所以信心不是停止在你一個人身上
[00:03:14.180 --> 00:03:16.180]  即使你離開了
[00:03:16.180 --> 00:03:20.180]  你的真的信心就會影響到你的後代
[00:03:20.180 --> 00:03:22.180]  也會影響到周圍的人
