
[00:00:00.000 --> 00:00:02.720]  一件小事是一件小事
[00:00:02.720 --> 00:00:06.240]  如果小事上面忠心就是一件大事
[00:00:06.240 --> 00:00:10.080]  剛才姊妹的分享亦給我們一個很特別的勉勵
[00:00:10.080 --> 00:00:14.080]  我們都是在神的家裏面學習彼此的服侍
[00:00:14.080 --> 00:00:18.280]  在裏面忠心去做亦可以去榮耀神
[00:00:18.280 --> 00:00:20.280]  我們今天一起思想的聖經
[00:00:20.280 --> 00:00:24.200]  亦都特別思想到在神的家裏面怎樣彼此的服侍
[00:00:24.200 --> 00:00:25.800]  我請大家我們再一起祈禱
[00:00:25.800 --> 00:00:27.800]  我們仰望主帶領我們
[00:00:31.000 --> 00:00:33.000]  天父我們感謝祢
[00:00:33.000 --> 00:00:38.000]  我們可以在祢面前一同敬拜祢
[00:00:38.000 --> 00:00:43.000]  主耶穌我們承認祢是天地的主
[00:00:43.000 --> 00:00:46.000]  耶穌基督祢是我們生命的主宰
[00:00:46.000 --> 00:00:50.000]  如果不跟隨祢,我們還跟隨誰呢?
[00:00:50.000 --> 00:00:54.000]  如果不侍奉祢,我們還侍奉誰呢?
[00:00:54.000 --> 00:00:56.000]  主耶穌我們今天亦都在祢面前
[00:00:56.000 --> 00:00:59.000]  很願意透過祢聖經的說話
[00:00:59.000 --> 00:01:03.000]  祢再次幫助我們去明白
[00:01:03.000 --> 00:01:06.000]  去領受祢對我們的教導
[00:01:06.000 --> 00:01:09.000]  亦都給我們力量來行出來
[00:01:09.000 --> 00:01:11.000]  讓我們在跟隨祢的路上
[00:01:11.000 --> 00:01:13.000]  我們就蒙福
[00:01:13.000 --> 00:01:17.000]  主求祢帶領這段時間來恩待我們
[00:01:17.000 --> 00:01:18.000]  我們仰望祈禱
[00:01:18.000 --> 00:01:20.000]  奉耶穌聖名求
[00:01:20.000 --> 00:01:21.000]  阿門
[00:01:29.000 --> 00:01:33.000]  這段時間大家都知道天氣有很多變化
[00:01:33.000 --> 00:01:35.000]  但求主保守我們各人
[00:01:35.000 --> 00:01:37.000]  我們身心靈都有神所賜的平安
[00:01:37.000 --> 00:01:40.000]  我們繼續跟隨主
[00:01:40.000 --> 00:01:42.000]  今天大家都留意到
[00:01:42.000 --> 00:01:44.000]  我們讀一段經文是很短的
[00:01:44.000 --> 00:01:47.000]  你知道有多少節嗎?
[00:01:47.000 --> 00:01:52.000]  彼得前書四章七至十一節
[00:01:52.000 --> 00:01:55.000]  有五節的經文
[00:01:55.000 --> 00:01:56.000]  是不是五節?
[00:01:56.000 --> 00:01:58.000]  七、八、九、十、十一
[00:01:58.000 --> 00:02:00.000]  五節經文很短
[00:02:00.000 --> 00:02:04.000]  但你會發覺是聖經裡一段很重要的經文
[00:02:04.000 --> 00:02:07.000]  因為這段經文很精要地說出
[00:02:07.000 --> 00:02:11.000]  神的兒女在神的家當中怎樣生活
[00:02:11.000 --> 00:02:14.000]  怎樣去侍奉神
[00:02:14.000 --> 00:02:18.000]  很精要但很清楚地說出幾個重點
[00:02:18.000 --> 00:02:20.000]  而今天當我們再聽的時候
[00:02:20.000 --> 00:02:23.000]  我希望我們真的靠著神的恩惠
[00:02:23.000 --> 00:02:27.000]  我們留心我們怎樣可以走出來
[00:02:27.000 --> 00:02:29.000]  因為聖經說到
[00:02:29.000 --> 00:02:33.000]  我們就在所行的事上必然得福
[00:02:33.000 --> 00:02:36.000]  而是當我們行神的道的時候
[00:02:36.000 --> 00:02:38.000]  我們會蒙福
[00:02:38.000 --> 00:02:40.000]  所以今天當我們再讀這段聖經的時候
[00:02:40.000 --> 00:02:44.000]  我很盼望導演節目我們都是這樣帶著一個心
