
[00:00:00.000 --> 00:00:04.000]  在預備講章的時候,我翻查資料,亦都閱讀書籍,
[00:00:04.000 --> 00:00:10.000]  看看聖經和過去歷史裡面,教會和基督徒究竟是怎樣面對瘟疫。
[00:00:10.000 --> 00:00:13.000]  在過程裡面,我發現了其中一段很重要的歷史,
[00:00:13.000 --> 00:00:17.000]  就是一場發生在十四至十七世紀的瘟疫,
[00:00:17.000 --> 00:00:22.000]  歐洲就稱為「黑死病」,亦都是鼠疫的一種。
[00:00:22.000 --> 00:00:32.000]  這場瘟疫大約在一三四六年,由亞洲開始,然後傳到歐洲和全球。
[00:00:32.000 --> 00:00:38.000]  在往後的三百年,直至十七世紀,這場瘟疫仍然重複,
[00:00:38.000 --> 00:00:45.000]  造成很驚人的死亡數字,全球當時只有三至四億人口。
[00:00:45.000 --> 00:00:51.000]  只是十四世紀,黑死病的人數已經多達七千五百萬人,
[00:00:51.000 --> 00:00:58.000]  其中三分一,即二千五百萬人是歐洲人,當時歐洲三分一的人口。
[00:00:58.000 --> 00:01:05.000]  直到十七世紀,據說死亡人數是多達二億,這場就是黑死病。
[00:01:05.000 --> 00:01:10.000]  在這三百年間,原來存留了很多感人的抗疫見證。
[00:01:10.000 --> 00:01:14.000]  首先我很想說,十六世紀的馬丁路德,
[00:01:14.000 --> 00:01:25.000]  十六世紀的馬丁路德,就是身處在十五至十六世紀,其中一次瘟疫爆發的期間。
[00:01:25.000 --> 00:01:30.000]  馬丁路德,我們熟悉他和宗教改革很有關係,
[00:01:30.000 --> 00:01:38.000]  這些大家聽得多,但原來他自己和他怎樣去教導信徒面對當時的瘟疫,
[00:01:38.000 --> 00:01:42.000]  可能我們少聽,不過近期很多人又找回這段歷史。
[00:01:42.000 --> 00:01:47.000]  在一五二七年的夏天,馬丁路德他在德國的威登堡,
[00:01:47.000 --> 00:01:56.000]  這個地方就是有黑死病侵襲,他身邊很多人染病,很多人離開世界。
[00:01:56.000 --> 00:02:02.000]  而當時在德國一個城市,現在已經不再屬於德國了,是屬於波蘭了。
[00:02:02.000 --> 00:02:10.000]  一個城市裏面,另一位的宗教改革領袖,叫做約翰海斯,
[00:02:10.000 --> 00:02:19.000]  他就寫信給路德問他,面對這場瘟疫,基督徒是否可以選擇逃離呢?
[00:02:19.000 --> 00:02:27.000]  即是說,基督徒可否逃走?路德就寫信回覆他,做了一個很詳盡的解釋。
[00:02:27.000 --> 00:02:31.000]  這封信後來被印刷成為一個題目,
[00:02:31.000 --> 00:02:40.000]  基督徒是否可以逃離致人死亡的瘟疫,可否走呢?很長。
[00:02:40.000 --> 00:02:46.000]  亦都成為基督徒面對著瘟疫的時候,一定要讀的一個作品。
[00:02:46.000 --> 00:02:52.000]  在疫症之下,要走,抑或是留呢?
[00:02:52.000 --> 00:02:59.000]  在疫症之下,要逃走,抑或是留下呢?
[00:02:59.000 --> 00:03:06.000]  路德回覆他,基督徒可以合理的逃離瘟疫,即是可以走。
[00:03:06.000 --> 00:03:10.000]  當疫症一路蔓延的時候,是可以逃走的。
[00:03:10.000 --> 00:03:17.000]  另一方面,路德又說,有些基督徒是絕對不可以逃走,是要留下來。
[00:03:17.000 --> 00:03:25.000]  路德說,在必要的時候,特別在不傷害淪死的情況下,其實基督徒要躲避危險。
[00:03:25.000 --> 00:03:33.000]  他理據是,死亡的迴避,是上帝給人一個很天然的本性。
[00:03:33.000 --> 00:03:35.000]  這種本性不是罪。
[00:03:35.000 --> 00:03:40.000]  他引用聖經,就好像大衛,他要逃避扫羅的追殺。
[00:03:40.000 --> 00:03:45.000]  他都引用聖經來講,以利亞如何躲避耶誓別。
[00:03:45.000 --> 00:03:50.000]  他說,這是我們很自然的反應,是我們與生俱來。
[00:03:50.000 --> 00:03:52.000]  這種反應講什麼呢?
[00:03:52.000 --> 00:03:54.000]  原來生命是上帝所賜。
[00:03:54.000 --> 00:03:58.000]  我們是應該保護上帝賜給我們的生命。
[00:03:58.000 --> 00:04:02.000]  逃避一些,或者躲避那些不必要的死亡。
[00:04:02.000 --> 00:04:05.000]  所以他說,基督徒可以逃離瘟疫。
[00:04:05.000 --> 00:04:09.000]  不要覺得這些人有問題,或者信心少。
[00:04:09.000 --> 00:04:12.000]  是一個很自然,我們要保障生命。
[00:04:12.000 --> 00:04:15.000]  看到這裡,我就覺得很大安慰。
[00:04:15.000 --> 00:04:19.000]  大家扑口罩,扑搓手翼,其實是人之常情。
[00:04:19.000 --> 00:04:26.000]  目的是保障自己,保障他人來躲避這種危險。
[00:04:26.000 --> 00:04:31.000]  甚至停崇拜,有些教會說停,有些教會說不停,都很多的討論。
[00:04:31.000 --> 00:04:35.000]  我盼望,我們教會做了停這個決定。
[00:04:35.000 --> 00:04:38.000]  不是給人看,是一種信心軟弱的表現。
[00:04:38.000 --> 00:04:41.000]  有一種很自然的表現,是什麼呢?
[00:04:41.000 --> 00:04:45.000]  我們顯示著,靈姐妹你的生命很重要。
[00:04:45.000 --> 00:04:49.000]  我們不想有錯失。
[00:04:49.000 --> 00:04:51.000]  當然我們不知道將來會怎樣。
[00:04:51.000 --> 00:04:54.000]  但我們可以做的,我們就做。
[00:04:54.000 --> 00:04:59.000]  躲避這種危險,顯示上帝賜給人的生命很寶貴。
[00:04:59.000 --> 00:05:02.000]  我們要好好珍惜,我們要好好保護。
[00:05:02.000 --> 00:05:05.000]  不過,路德同時認為,神職人員,
[00:05:05.000 --> 00:05:09.000]  就好像牧師和官員,就不可以逃離瘟疫了。
[00:05:09.000 --> 00:05:10.000]  為什麼呢?
[00:05:10.000 --> 00:05:18.000]  牧師是要留下為那些苦難日益的人,要帶來屬靈的安慰和服侍。
[00:05:18.000 --> 00:05:24.000]  包括什麼呢?為臨死的人祈禱,向他們施聖餐。
[00:05:24.000 --> 00:05:28.000]  讓他們體會上帝的同在。
[00:05:28.000 --> 00:05:30.000]  而官員為什麼要留下呢?
[00:05:30.000 --> 00:05:33.000]  是要來維持公共秩序。
[00:05:33.000 --> 00:05:36.000]  你們應該是最高的首領要做的。
[00:05:36.000 --> 00:05:42.000]  即走在教會裡面,不是要求弟兄姊妹來對留下,而是做牧師的,來對留下。
[00:05:42.000 --> 00:05:45.000]  是最高的領導人。
[00:05:45.000 --> 00:05:48.000]  這個是路德的教導。
[00:05:48.000 --> 00:05:52.000]  其實路德這樣教導的背後,有一個總原則,
