
[00:00:00.000 --> 00:00:04.000]  謝謝弟兄姊妹給我這個機會來講道
[00:00:04.000 --> 00:00:07.200]  然後我也一起來禱告吧
[00:00:07.200 --> 00:00:09.400]  天父感謝你
[00:00:09.400 --> 00:00:14.400]  求你賜給我們臺下聽的弟兄姊妹們
[00:00:14.400 --> 00:00:20.200]  給我們的聖靈幫助我們能夠聽得懂普通話
[00:00:20.200 --> 00:00:22.400]  能夠理解今天的信息
[00:00:22.400 --> 00:00:25.200]  也幫助我能夠講得清楚明白
[00:00:25.200 --> 00:00:27.100]  奉主耶穌基督的名囚
[00:00:27.100 --> 00:00:32.200]  其實我也試着聽粵語
[00:00:32.200 --> 00:00:35.100]  如果我知道講的內容的話
[00:00:35.100 --> 00:00:39.600]  我覺得我能聽懂百分之七十
[00:00:39.600 --> 00:00:43.700]  所以也希望今天希望大家聽普通話的時候
[00:00:43.700 --> 00:00:48.600]  因爲你們瞭解內容瞭解使徒行傳能夠聽懂百分之七十
[00:00:48.600 --> 00:00:51.200]  感謝主
[00:00:51.200 --> 00:00:56.300]  今天我們來講這個使徒行傳的第十二章
[00:00:56.300 --> 00:00:58.700]  在使徒行傳第十二章的時候
[00:00:58.700 --> 00:01:03.400]  這個教會的形式就急轉直下
[00:01:03.400 --> 00:01:08.100]  就感覺到真的是黑雲壓境
[00:01:08.100 --> 00:01:11.100]  因爲聖經一開頭就這樣說
[00:01:11.100 --> 00:01:16.400]  那時希律王下手苦害教會中的幾個人
[00:01:16.400 --> 00:01:19.500]  用刀殺了約翰的哥哥雅各
[00:01:19.500 --> 00:01:24.500]  他見猶太人喜歡這事又去捉拿彼得
[00:01:24.500 --> 00:01:28.400]  你聽聽啊教會兩個最重要的領袖
[00:01:28.400 --> 00:01:30.100]  一個雅各已經被殺了
[00:01:30.100 --> 00:01:32.400]  然後希律又要去捉拿彼得
[00:01:32.400 --> 00:01:35.500]  對於任何一個組織來說
[00:01:35.500 --> 00:01:39.300]  是不是非常非常的恐怖啊
[00:01:39.300 --> 00:01:41.700]  你可以想象當時的場景
[00:01:41.700 --> 00:01:46.200]  希望大家也及時的把手機或者是你的聖經打開
[00:01:46.200 --> 00:01:47.900]  因爲今天沒有PPT
[00:01:47.900 --> 00:01:50.200]  所以我們會不斷的引用經文
[00:01:50.200 --> 00:01:52.900]  大家可以隨時來看
[00:01:52.900 --> 00:01:55.400]  那首先在介紹這段經文之前
[00:01:55.400 --> 00:01:59.100]  我們要強調它的歷史背景
[00:01:59.100 --> 00:02:01.800]  我們要先要認識兩個重要的人物
[00:02:01.800 --> 00:02:03.100]  第一位就是雅各
[00:02:03.100 --> 00:02:05.600]  這位殉道的雅各到底是誰
[00:02:05.600 --> 00:02:09.200]  聖經說這個雅各是約翰的哥哥
[00:02:09.200 --> 00:02:12.800]  他就是十二門徒之一
[00:02:12.800 --> 00:02:14.700]  約翰就是寫約翰福音
[00:02:14.700 --> 00:02:18.100]  啓示錄約翰一二三書的這位著名的約翰
[00:02:18.100 --> 00:02:21.500]  現在被殺的雅各就是約翰的哥哥
[00:02:21.500 --> 00:02:24.700]  雅各也是耶穌的重要的同工
[00:02:24.700 --> 00:02:27.000]  是他核心的同工之一
[00:02:27.000 --> 00:02:29.900]  在耶穌登山變相的時候
[00:02:29.900 --> 00:02:34.500]  他帶的這個人就是彼得約翰和雅各
[00:02:34.500 --> 00:02:38.500]  但是我們要知道寫雅各書的那一位雅各
[00:02:38.500 --> 00:02:41.000]  並不是這位殉道的雅各
[00:02:41.000 --> 00:02:46.700]  寫雅各書的那位雅各是主耶穌的弟弟
[00:02:46.700 --> 00:02:52.500]  那個雅各後來也成爲教會的非常重要的領袖
[00:02:52.500 --> 00:02:53.500]  那下面呢
[00:02:53.500 --> 00:02:57.300]  還有一個特別重要的人物就是西律
[00:02:57.300 --> 00:03:02.400]  其實這個西律在聖經新約當中出現過好幾次
[00:03:02.400 --> 00:03:03.000]  你知道嗎
[00:03:03.000 --> 00:03:04.900]  每一次幾乎每一次出現
[00:03:04.900 --> 00:03:06.500]  他都不是同一個人
[00:03:06.500 --> 00:03:09.400]  因爲西律不是一個人的名字
[00:03:09.400 --> 00:03:13.900]  西律是家族名稱加統治的頭銜
[00:03:13.900 --> 00:03:17.000]  西律是王的這個稱號
[00:03:17.000 --> 00:03:19.700]  在新約的歷史當中
[00:03:19.700 --> 00:03:22.500]  主要有四個西律
[00:03:22.500 --> 00:03:25.800]  我們逐一介紹第一個西律叫大西律
[00:03:25.800 --> 00:03:30.300]  就是耶穌出生的時候屠殺嬰兒的那個西律
[00:03:30.300 --> 00:03:35.100]  其實他就是這一代人的這個家族的曾祖父第一代人
[00:03:35.100 --> 00:03:35.800]  第二代呢
[00:03:35.800 --> 00:03:41.100]  到了審問耶穌就是耶穌遭釘十字架的時候
[00:03:41.100 --> 00:03:43.600]  不是有一個審問耶穌的西律嗎
[00:03:43.600 --> 00:03:46.300]  那個西律是大西律的兒子
[00:03:46.300 --> 00:03:47.600]  是第二代的西律
[00:03:47.600 --> 00:03:50.400]  然後呢
[00:03:50.400 --> 00:03:56.800]  今天殺害雅各逼迫教會的這個西律就是叫做雅基帕一世
[00:03:56.800 --> 00:03:57.800]  他是孫子
[00:03:57.800 --> 00:04:01.800]  還有第四個西律就是後來使徒行傳
[00:04:01.800 --> 00:04:04.100]  最後有審問保羅
