
[00:00:00.000 --> 00:00:04.000]  今天取題是活在當下的順遇行
[00:00:04.000 --> 00:00:08.000]  如果你有聖經或電話
[00:00:08.000 --> 00:00:10.000]  靜音,我們可以打開聖經
[00:00:10.000 --> 00:00:13.000]  我們來看
[00:00:13.000 --> 00:00:16.000]  這兩封經文的確有很多地方
[00:00:16.000 --> 00:00:18.000]  我沒有列出來的地方
[00:00:18.000 --> 00:00:22.000]  我今天是有24章的44節
[00:00:22.000 --> 00:00:24.000]  所以你們也要預備
[00:00:24.000 --> 00:00:26.000]  因為你們上不到的時候
[00:00:26.000 --> 00:00:29.000]  人子就來了
[00:00:29.000 --> 00:00:31.000]  其實前面我不跟你說了
[00:00:31.000 --> 00:00:32.000]  相信你記得
[00:00:32.000 --> 00:00:34.000]  或者你有機會回去看
[00:00:34.000 --> 00:00:36.000]  從23章的結尾
[00:00:36.000 --> 00:00:39.000]  聖見的倒塌
[00:00:39.000 --> 00:00:43.000]  到後來很多的人禍天災
[00:00:43.000 --> 00:00:45.000]  不說了
[00:00:45.000 --> 00:00:46.000]  比較價值是怎樣呢
[00:00:46.000 --> 00:00:49.000]  和今天相信是非常不同的
[00:00:49.000 --> 00:00:53.000]  這些地方的細節我不打算去比較
[00:00:53.000 --> 00:00:55.000]  因為其實都是很困難的事
[00:00:55.000 --> 00:00:56.000]  特別是去到啟示屋的時候
[00:00:56.000 --> 00:00:59.000]  很多人問到災前災後的問題
[00:00:59.000 --> 00:01:00.000]  我真的不懂得回答
[00:01:00.000 --> 00:01:02.000]  也沒有答案
[00:01:02.000 --> 00:01:04.000]  主觀性詮釋
[00:01:04.000 --> 00:01:06.000]  自己喜歡怎樣解釋
[00:01:06.000 --> 00:01:08.000]  就拼命去解釋
[00:01:08.000 --> 00:01:09.000]  有人說三種的解法
[00:01:09.000 --> 00:01:11.000]  有人說四種的解法
[00:01:11.000 --> 00:01:14.000]  重點不在於這裏
[00:01:14.000 --> 00:01:16.000]  因為如果你看這段經文
[00:01:16.000 --> 00:01:20.000]  其實今天選這段經文的開始
[00:01:20.000 --> 00:01:23.000]  它說到你們上不到的時候
[00:01:23.000 --> 00:01:24.000]  人子就來了
[00:01:24.000 --> 00:01:29.000]  這個時間星既是清晰又是不清晰
[00:01:29.000 --> 00:01:30.000]  說得直接一點
[00:01:30.000 --> 00:01:33.000]  是清晰地不清晰
[00:01:33.000 --> 00:01:36.000]  即是說是一定會來的
[00:01:36.000 --> 00:01:37.000]  不過不知道何時來
[00:01:37.000 --> 00:01:39.000]  還是你上不到的時候
[00:01:39.000 --> 00:01:41.000]  人子就回來了
[00:01:41.000 --> 00:01:44.000]  這些說話之前說了很多災難性的東西
[00:01:44.000 --> 00:01:46.000]  所以很大機會去詮釋
[00:01:46.000 --> 00:01:47.000]  但從邏輯上
[00:01:47.000 --> 00:01:49.000]  不難去理解一件事
[00:01:49.000 --> 00:01:51.000]  當你不知道的時候
[00:01:51.000 --> 00:01:53.000]  不知道人子何時回來的時候
[00:01:53.000 --> 00:01:56.000]  你第一個參考的機會都沒有了
[00:01:56.000 --> 00:01:58.000]  那你怎樣斷定前面的事情
[00:01:58.000 --> 00:02:00.000]  是何時和人子回來有關呢
[00:02:00.000 --> 00:02:01.000]  你明白我說什麼嗎
[00:02:01.000 --> 00:02:04.000]  是很困難去斷定的
[00:02:04.000 --> 00:02:07.000]  既然你都不知道時間何時回來
[00:02:07.000 --> 00:02:08.000]  究竟前面發生的事情
[00:02:08.000 --> 00:02:10.000]  到後面的事情
[00:02:10.000 --> 00:02:11.000]  有一個關係在哪裏呢
[00:02:11.000 --> 00:02:12.000]  是很難決定的
[00:02:12.000 --> 00:02:15.000]  不如要說始終會回來
[00:02:15.000 --> 00:02:16.000]  時間是這樣走
[00:02:16.000 --> 00:02:18.000]  這樣就沒得說了
[00:02:18.000 --> 00:02:20.000]  所以聖經是這樣看的時候
[00:02:20.000 --> 00:02:22.000]  聖經要我們做的事情在哪裏呢
[00:02:22.000 --> 00:02:24.000]  特別是今天
[00:02:24.000 --> 00:02:26.000]  特別是今天
[00:02:26.000 --> 00:02:27.000]  當下
[00:02:27.000 --> 00:02:29.000]  去年整年的
[00:02:29.000 --> 00:02:31.000]  剛才國務卿的祈禱都提到
[00:02:31.000 --> 00:02:33.000]  疫症的問題
[00:02:33.000 --> 00:02:35.000]  世局的問題
[00:02:35.000 --> 00:02:38.000]  甚至過去很多日子都有很多的問題
[00:02:38.000 --> 00:02:40.000]  這個世界裡外都有很多的問題
[00:02:40.000 --> 00:02:41.000]  教會有教會的困難
[00:02:41.000 --> 00:02:42.000]  世界有世界的困難
