
[00:00:00.000 --> 00:00:02.240]  那在開始 我先講道一點
[00:00:02.240 --> 00:00:05.200]  我想邀請大家我們一起祈禱 好嗎?
[00:00:05.200 --> 00:00:09.180]  親愛的天父、爸爸、親愛的耶穌、親愛的聖靈
[00:00:09.180 --> 00:00:11.540]  我們讚美你 我們要高舉你的名
[00:00:11.540 --> 00:00:14.820]  多謝你讓我們今天雖然在一個疫情裏面
[00:00:14.820 --> 00:00:17.140]  但是我們仍然能夠平安
[00:00:17.140 --> 00:00:20.000]  安然的在我們所在的地方
[00:00:20.000 --> 00:00:24.240]  能夠一起去到透過這個Zoom來聚集
[00:00:24.240 --> 00:00:26.520]  來去親近你
[00:00:26.520 --> 00:00:30.440]  神啊 我知道沒有任何一樣東西是可以難阻我們
[00:00:30.440 --> 00:00:34.740]  來去親近你 也都沒有一件事是難阻住你自己
[00:00:34.740 --> 00:00:36.540]  親臨在我們當中
[00:00:36.540 --> 00:00:38.240]  今天主耶穌無論我們在哪個地方
[00:00:38.240 --> 00:00:40.740]  我都求祢真是祝福我們這班弟兄姊妹
[00:00:40.740 --> 00:00:42.320]  願我們每一個同在
[00:00:42.320 --> 00:00:44.520]  也都親臨在我們這個崇拜裏面
[00:00:44.520 --> 00:00:47.280]  因為主耶穌我們今天來到就是要朝見你
[00:00:47.280 --> 00:00:51.800]  我們要盡快來到不單只是一個分享訊息
[00:00:51.800 --> 00:00:54.800]  更是期望聖靈你在我們每一個人的心裏面
[00:00:54.800 --> 00:00:56.200]  親自去講話
[00:00:56.200 --> 00:00:58.680]  我們將以下的時間恭敬的交上給你
[00:00:58.680 --> 00:01:02.020]  求主聖靈親自來到引導我們
[00:01:02.020 --> 00:01:05.040]  我們和生活禱告是奉主耶穌基督的名
[00:01:05.040 --> 00:01:06.420]  阿們
[00:01:06.420 --> 00:01:08.880]  好 本節目我想問一下
[00:01:08.880 --> 00:01:10.720]  我們現在是疫情
[00:01:10.720 --> 00:01:12.120]  在沒有疫情的時候
[00:01:12.120 --> 00:01:16.680]  平時你是怎樣過這個聖誕節的呢?
[00:01:16.680 --> 00:01:18.540]  我就問過不同的人
[00:01:18.540 --> 00:01:22.540]  他們通常我得到一個很經常的答案就是去旅行
[00:01:22.540 --> 00:01:24.040]  趁這個階段去旅行
[00:01:24.040 --> 00:01:26.860]  我自己也有時真是很想去旅行
[00:01:26.860 --> 00:01:28.360]  雖然我是同工
[00:01:28.360 --> 00:01:30.760]  沒有機會去聖誕節離開
[00:01:30.760 --> 00:01:32.080]  有些人就告訴我
[00:01:32.080 --> 00:01:34.560]  他們會真是很珍惜這個機會
[00:01:34.560 --> 00:01:39.040]  和摯愛親朋去開派對、去慶祝
[00:01:39.040 --> 00:01:43.400]  吃聖誕大餐、相聚、交換聖誕禮物
[00:01:43.400 --> 00:01:45.000]  我們信了主的
[00:01:45.000 --> 00:01:47.760]  就會平安夜回或者回教會
[00:01:47.760 --> 00:01:49.440]  自然崇拜、祈禱會
[00:01:49.440 --> 00:01:52.400]  聖誕節那天也都回崇拜
[00:01:52.400 --> 00:01:54.200]  頂節我想問一下
[00:01:54.200 --> 00:01:59.720]  你自己聖誕節是最享受些什麼的呢?
[00:01:59.720 --> 00:02:04.960]  當我問今年在這個什麼都做不到的狀況下
[00:02:04.960 --> 00:02:07.040]  我都問自己這個問題
[00:02:07.040 --> 00:02:08.480]  我有問自己
[00:02:08.480 --> 00:02:11.640]  其實今年我失落了些什麼呢?
[00:02:11.640 --> 00:02:15.440]  我想我最懷念的就是
[00:02:15.440 --> 00:02:19.720]  在聖誕節那份普天同慶的氣氛
[00:02:19.720 --> 00:02:25.360]  一向都是很開心的 我們一齊來慶祝耶穌降生
[00:02:25.360 --> 00:02:28.640]  整個城市都是充滿著那種歡樂
[00:02:28.640 --> 00:02:31.960]  但是今年我們就在一個寧靜
[00:02:31.960 --> 00:02:36.160]  逼不得已的寧靜下度過
[00:02:36.160 --> 00:02:38.360]  另外我又想
[00:02:38.360 --> 00:02:41.920]  有些什麼我也是最懷念的
[00:02:41.920 --> 00:02:43.680]  覺得可惜做不到的就是
[00:02:43.680 --> 00:02:48.600]  我發覺原來我自己都真是很懷念報佳音這件事
[00:02:48.600 --> 00:02:54.080]  我很喜歡在聖誕節和頂姐妹一起去報佳音
[00:02:54.080 --> 00:02:56.400]  今年因為限聚令的緣故
[00:02:56.400 --> 00:03:02.040]  我教會自己都沒有辦法可以和頂姐妹去報佳音
[00:03:02.040 --> 00:03:05.240]  所以我很懷念能夠在街上報佳音
[00:03:05.240 --> 00:03:07.280]  甚至去到一些老人院舍
[00:03:07.280 --> 00:03:11.200]  向一些老人家傳福音
[00:03:11.200 --> 00:03:14.120]  不過當我去想這件事的時候
[00:03:14.120 --> 00:03:17.560]  和去為今天的港獨祈禱的時候
[00:03:17.560 --> 00:03:21.640]  神都說 既然你今年不能出去報佳音
[00:03:21.640 --> 00:03:26.280]  不如你就在全隱堂和頂姐妹一起分享
[00:03:26.280 --> 00:03:29.600]  重新去懷念 去重溫一下
[00:03:29.600 --> 00:03:33.640]  二千多年前這個世界上
[00:03:33.640 --> 00:03:39.200]  歷史上第一次的報佳音、傳福音
[00:03:39.200 --> 00:03:42.880]  今天記載了
[00:03:42.880 --> 00:03:45.080]  剛才我們讀那段經文《報佳福音》
[00:03:45.080 --> 00:03:49.440]  二章八至十七節
[00:03:49.440 --> 00:03:55.120]  我們題目就是「榮耀歸神 平安歸他所起的迫人」
[00:03:55.120 --> 00:03:59.280]  當我們看回聖經的時候
[00:03:59.280 --> 00:04:00.520]  剛才那段經文
[00:04:00.520 --> 00:04:05.600]  我們就發覺那個報佳音的源由
[00:04:05.600 --> 00:04:07.720]  其實在那段經文裏面說了
[00:04:07.720 --> 00:04:11.320]  就是因為在一個平安夜
[00:04:11.320 --> 00:04:16.200]  在耶穌降生的晚上 有在曠野
[00:04:16.200 --> 00:04:18.640]  有看守羊群的一些牧羊人
[00:04:18.640 --> 00:04:21.560]  他突然聽到天上傳來的聲音
[00:04:21.560 --> 00:04:24.560]  告訴他們耶穌降生的消息
[00:04:24.560 --> 00:04:27.880]  耶穌來到人間就是要作世間的王
[00:04:27.880 --> 00:04:31.680]  因此天使就透過這個牧羊人
[00:04:31.680 --> 00:04:33.760]  將這個消息傳給更加多的人
[00:04:33.760 --> 00:04:37.040]  後來人們就仿效天使
[00:04:37.040 --> 00:04:38.600]  在平安夜的晚上
[00:04:38.600 --> 00:04:41.640]  到處傳講這個耶穌降生的消息
[00:04:41.640 --> 00:04:42.640]  直至到今天
[00:04:42.640 --> 00:04:46.360]  這個就演變成為報佳音這個活動
[00:04:46.360 --> 00:04:48.920]  所以今天我們報佳音
[00:04:48.920 --> 00:04:54.920]  就是源於天使來報這個喜訊
[00:04:54.920 --> 00:04:56.640]  我們看回經文
[00:04:56.640 --> 00:04:59.760]  第一次報佳音發生在哪裡呢?
[00:04:59.760 --> 00:05:01.240]  就是在伯利恆
[00:05:01.240 --> 00:05:03.680]  大家不知道有沒有去過聖地
[00:05:03.680 --> 00:05:06.120]  去過以色列
[00:05:06.120 --> 00:05:08.240]  你會去過伯利恆
[00:05:08.240 --> 00:05:12.600]  你會發覺它和耶路撒冷很不一樣
[00:05:12.600 --> 00:05:15.400]  相對來說它是一個很小的地方
[00:05:15.400 --> 00:05:18.320]  它是在耶路撒冷以南十公里的地方
[00:05:18.320 --> 00:05:20.800]  一個不是很顯眼的地方
[00:05:20.800 --> 00:05:21.880]  在當時
[00:05:21.880 --> 00:05:25.040]  但是卻與耶穌和祂的先祖
[00:05:25.040 --> 00:05:27.560]  神解選了是一個很密切的關係
[00:05:27.560 --> 00:05:29.880]  譬如我們會看回
[00:05:29.880 --> 00:05:33.880]  雅各和他的太太拉傑生的兒子
[00:05:33.880 --> 00:05:35.080]  卞卡敏兒子出生
[00:05:35.080 --> 00:05:38.320]  這個也是他們死後埋葬的地方
[00:05:38.320 --> 00:05:40.280]  在路德的兒子裏面
[00:05:40.280 --> 00:05:43.720]  拿和米、路德、波亞斯
[00:05:43.720 --> 00:05:46.680]  他們的事跡發生的地方都是伯利恆
[00:05:46.680 --> 00:05:51.320]  然後這個也是大衛王的故鄉
[00:05:51.320 --> 00:05:54.760]  也是薩姆爾高大衛王作王的地方
[00:05:54.760 --> 00:05:56.640]  當然最重要的是
[00:05:56.640 --> 00:05:58.440]  神解選了這個地方
[00:05:58.440 --> 00:06:01.520]  成為耶穌降生的地方
[00:06:01.520 --> 00:06:04.520]  我們今天這十幾節的經文
[00:06:04.520 --> 00:06:07.800]  我想分三個部分來和大家一起去看
