
[00:00:00.000 --> 00:00:02.000]  今天跟大家說什麼呢
[00:00:02.000 --> 00:00:05.240]  因為10月是第一個星期
[00:00:05.240 --> 00:00:08.120]  10月是我們堂會的新的年度開始
[00:00:08.120 --> 00:00:09.460]  第一個星期
[00:00:09.460 --> 00:00:12.260]  我們通常每一年的訊息
[00:00:12.260 --> 00:00:15.160]  就會來自我們8月份的尋求營
[00:00:15.160 --> 00:00:16.500]  我們祈禱求問處
[00:00:16.500 --> 00:00:17.760]  究竟有什麼訊息給我們
[00:00:17.760 --> 00:00:19.460]  有什麼說話給我們聽
[00:00:19.460 --> 00:00:23.480]  我們第一季會說一個主題
[00:00:23.480 --> 00:00:27.680]  叫做「辛苦自潔目主愛」
[00:00:27.680 --> 00:00:30.000]  辛苦就是辛良字
[00:00:30.000 --> 00:00:32.100]  這個辛良的訊息
[00:00:32.100 --> 00:00:34.840]  其實如果你在慈光內
[00:00:34.840 --> 00:00:37.640]  你又參加過有不少歷史的尋求營
[00:00:37.640 --> 00:00:39.340]  即是參加過很多次
[00:00:39.340 --> 00:00:41.300]  你應該有個印象
[00:00:41.300 --> 00:00:43.680]  就是這個辛苦的訊息
[00:00:43.680 --> 00:00:46.020]  是久不久就會走出來的
[00:00:46.020 --> 00:00:47.980]  久不久就會告訴你
[00:00:47.980 --> 00:00:49.760]  久不久就會提醒你
[00:00:49.760 --> 00:00:53.260]  這個辛苦的訊息很重要的
[00:00:53.260 --> 00:00:57.220]  香港的教會慈光囊應該是足實的
[00:00:57.220 --> 00:00:58.800]  今年8月的尋求營
[00:00:58.800 --> 00:01:02.020]  主也說了好幾次這些訊息給我們聽
[00:01:02.020 --> 00:01:03.600]  有婚禮的場面
[00:01:03.600 --> 00:01:06.380]  有一個裝扮好的新娘子
[00:01:06.380 --> 00:01:07.840]  這些訊息
[00:01:07.840 --> 00:01:08.600]  大家有沒有想過
[00:01:08.600 --> 00:01:14.060]  為什麼說了這麼久還要再說呢
[00:01:14.060 --> 00:01:15.640]  重要啦
[00:01:15.640 --> 00:01:17.180]  重要是其中一個原因
[00:01:17.180 --> 00:01:19.060]  還有什麼
[00:01:19.060 --> 00:01:21.380]  因為還沒達到那個程度
[00:01:21.380 --> 00:01:24.640]  還沒完成
[00:01:24.640 --> 00:01:26.520]  所以要繼續說給我們聽
[00:01:26.520 --> 00:01:29.020]  要繼續叫我們留心
[00:01:29.020 --> 00:01:30.420]  很重要的
[00:01:30.420 --> 00:01:31.560]  大家準備好
[00:01:31.560 --> 00:01:33.220]  大家欣賞一下
[00:01:33.220 --> 00:01:35.140]  我不知道你準備好了沒有
[00:01:35.140 --> 00:01:37.840]  今天很想跟大家分享
[00:01:37.840 --> 00:01:42.020]  關於這個辛苦自結的訊息
[00:01:42.020 --> 00:01:44.680]  為什麼要準備好呢
[00:01:44.680 --> 00:01:48.380]  大家可能有不少人已經結婚了
[00:01:48.380 --> 00:01:50.380]  我不知道你記不記得
[00:01:50.380 --> 00:01:54.380]  你結婚的時候
[00:01:54.380 --> 00:01:57.720]  雖然有不少歷史了
[00:01:57.720 --> 00:02:03.000]  你記不記得當時你是怎麼準備的呢
[00:02:03.000 --> 00:02:05.300]  你準備了多久呢
[00:02:05.300 --> 00:02:07.720]  你準備了什麼呢
[00:02:07.720 --> 00:02:10.040]  當你進入
[00:02:10.040 --> 00:02:11.460]  明天要結婚了
[00:02:11.460 --> 00:02:12.500]  那一晚
[00:02:12.500 --> 00:02:13.340]  之前那一天
[00:02:13.340 --> 00:02:15.960]  你準備了什麼呢
[00:02:15.960 --> 00:02:17.760]  如果你準備不好
[00:02:17.760 --> 00:02:20.500]  你準備不夠
[00:02:20.500 --> 00:02:21.760]  不知道你的婚禮
[00:02:21.760 --> 00:02:24.420]  你的婚姻會怎麼樣呢
[00:02:24.420 --> 00:02:27.080]  清晨的頂智媒
[00:02:27.080 --> 00:02:33.080]  他們現在正是進入結婚高峰期
[00:02:33.080 --> 00:02:36.080]  我前天跟一個區域聊天
