
[00:00:00.000 --> 00:00:04.960]  我們生活在一個物質非常豐富的地方
[00:00:04.960 --> 00:00:10.720]  竟然香港是可以成為一個最適宜居住的城市
[00:00:10.720 --> 00:00:12.560]  是匪夷所思的
[00:00:12.560 --> 00:00:15.080]  不是表示我不喜歡香港
[00:00:15.080 --> 00:00:18.480]  而是一個這麼物質的城市
[00:00:18.480 --> 00:00:20.720]  空氣這麼污染的城市
[00:00:20.720 --> 00:00:25.280]  竟然會被選為一個世界最適宜居住的地方
[00:00:25.280 --> 00:00:29.800]  當然他有他自己的一些理由
[00:00:29.800 --> 00:00:32.160]  令香港是一個這麼適宜居住的地方
[00:00:32.160 --> 00:00:33.560]  香港的方便
[00:00:33.560 --> 00:00:36.480]  香港原來有很多的山可以行山
[00:00:36.480 --> 00:00:40.760]  交通方便 吃東西方便等等
[00:00:40.760 --> 00:00:42.920]  我們所居住的這個城市
[00:00:42.920 --> 00:00:44.920]  的確是一個很繁榮的都市
[00:00:44.920 --> 00:00:46.440]  這是一個大都市
[00:00:46.440 --> 00:00:49.440]  無論我們去到香港 九龍或者新界
[00:00:49.440 --> 00:00:52.720]  甚至去到一些很山楂的地方
[00:00:52.720 --> 00:00:55.880]  香港都是隨時隨地你都可以吃到東西
[00:00:55.880 --> 00:00:57.720]  都可以買到東西
[00:00:57.720 --> 00:01:01.680]  去到半夜十一點鐘你想要買東西想要購物
[00:01:01.680 --> 00:01:04.120]  仍然你可以去到某些地方
[00:01:04.120 --> 00:01:06.400]  仍然可以購物的
[00:01:06.400 --> 00:01:09.720]  香港一個這麼繁榮的都市
[00:01:09.720 --> 00:01:16.200]  就亦都好像我們剛剛所讀在啟示錄裏面
[00:01:16.200 --> 00:01:19.200]  所寫給老底家教會
[00:01:19.200 --> 00:01:22.680]  在老底家城的那個城市一樣
[00:01:22.680 --> 00:01:25.840]  老底家的城市是真的好像香港的
[00:01:25.840 --> 00:01:27.880]  是非常之繁榮
[00:01:27.880 --> 00:01:30.000]  因為老底家城市
[00:01:30.000 --> 00:01:32.480]  它是一個金融的中心
[00:01:32.480 --> 00:01:36.680]  它是一個成衣出口的中心
[00:01:36.680 --> 00:01:39.400]  是一個醫學的中心
[00:01:39.400 --> 00:01:41.280]  在古代的社會裏面
[00:01:41.280 --> 00:01:45.760]  沒有哪個城市會好像老底家的城市一樣
[00:01:45.760 --> 00:01:47.920]  這麼多人會喜歡的
