
[00:00:00.000 --> 00:00:03.640]  我們三月份開始會談到教會的主題
[00:00:03.640 --> 00:00:05.740]  如何用我們的生命
[00:00:05.740 --> 00:00:09.740]  配搭在神榮耀的生活裏面
[00:00:09.740 --> 00:00:12.220]  榮耀這個字不容易去解釋
[00:00:12.220 --> 00:00:16.060]  因爲不是每個人都看見過榮耀
[00:00:16.060 --> 00:00:20.400]  我只是在別人的生命裏面看到美好
[00:00:20.400 --> 00:00:22.420]  還沒有看到神的榮耀
[00:00:22.420 --> 00:00:24.860]  願意今天我們的心靈都受吸引
[00:00:24.860 --> 00:00:27.460]  能夠看見神自己的榮耀
[00:00:27.460 --> 00:00:32.300]  在我們生命的最基本的一層
[00:00:32.300 --> 00:00:34.240]  基督徒生命的經歷裏面
[00:00:34.240 --> 00:00:35.460]  第一個
[00:00:35.460 --> 00:00:38.940]  就是在祖靈裏面找到愛跟赦免
[00:00:38.940 --> 00:00:41.420]  有很多時候剛信祖的兒女們
[00:00:41.420 --> 00:00:43.060]  他們第一個要求就是
[00:00:43.060 --> 00:00:45.380]  我信了祖以後 我怎麼辦?
[00:00:45.380 --> 00:00:47.780]  有很多弟兄姊妹就勸勉他說
[00:00:47.780 --> 00:00:51.420]  好吧 你從看聖經開始
[00:00:51.420 --> 00:00:53.460]  當我們看神的話語
[00:00:53.460 --> 00:00:56.420]  神的心意開始向我們顯露的時候
[00:00:56.420 --> 00:00:59.140]  我們就發現原來我們跟很多很多
[00:00:59.140 --> 00:01:02.580]  過去信祖的人走的道路都是一樣
[00:01:02.580 --> 00:01:05.100]  我們的心靈開始被打開了
[00:01:05.100 --> 00:01:09.420]  我們開始知道原來在神的裏面有豐富的旨意
[00:01:09.420 --> 00:01:11.780]  所以我們都願意與神和好
[00:01:11.780 --> 00:01:13.660]  願意追求
[00:01:13.660 --> 00:01:17.980]  有一個字在剛信祖的人的身上不常出現
[00:01:17.980 --> 00:01:20.020]  這個字叫做「承聖」
[00:01:20.020 --> 00:01:22.620]  原來當主耶穌救贖我們
[00:01:22.620 --> 00:01:25.100]  拯救我們 挽回我們的時候
[00:01:25.100 --> 00:01:27.940]  祂當然承認我們是祂的兒女
[00:01:27.940 --> 00:01:29.660]  但是神的心願
[00:01:29.660 --> 00:01:33.940]  就是我們能夠分享神的性情
[00:01:33.940 --> 00:01:37.100]  祂的品格開始注入在我們的裏面
[00:01:37.100 --> 00:01:40.940]  我們傾樓出炬的成爲耶穌基督的香氣
[00:01:40.940 --> 00:01:44.660]  在這種滿足神的道路的走動裏面
[00:01:44.660 --> 00:01:47.140]  我們開始去問一個字
[00:01:47.140 --> 00:01:49.060]  就是「承聖」是什麼?
[00:01:49.060 --> 00:01:51.140]  爲什麼需要「承聖」?
[00:01:51.140 --> 00:01:54.580]  我們爲何要走上這個的道路?
[00:01:54.580 --> 00:01:56.820]  是因爲在神的心懷裏面
