
[00:00:00.000 --> 00:00:02.000]  請師父讓我們先聽神的導議
[00:00:02.000 --> 00:00:03.600]  讓我們先和心的禱告
[00:00:03.600 --> 00:00:06.500]  謝謝主朋友 我們聽到天先和心的禱告
[00:00:06.500 --> 00:00:10.000]  慈悲的父神多謝你
[00:00:10.000 --> 00:00:14.000]  讓我們能夠再次回到你的聖經裏面
[00:00:14.000 --> 00:00:18.000]  是你的說話 要讓我們去認識你
[00:00:18.000 --> 00:00:22.000]  所以求你讓我們在這個學習的過程當中
[00:00:22.000 --> 00:00:24.000]  認定你是我們的主
[00:00:24.000 --> 00:00:27.000]  因為這個是整個的信仰
[00:00:27.000 --> 00:00:30.000]  整個人生最重要的一個環節
[00:00:30.000 --> 00:00:32.000]  求主幫助
[00:00:32.000 --> 00:00:33.000]  我們恩主感謝你
[00:00:33.000 --> 00:00:36.000]  給我們今天再次能夠打開你的說話
[00:00:36.000 --> 00:00:40.000]  透過你在聖經裏面的教訓 講話
[00:00:40.000 --> 00:00:44.000]  然後讓我們明白你是我們人生的主
[00:00:44.000 --> 00:00:46.000]  求你的幫助
[00:00:46.000 --> 00:00:51.000]  讓我們一起的透過你的啟示
[00:00:51.000 --> 00:00:54.000]  明白當中你是怎樣的一位主
[00:00:54.000 --> 00:00:57.000]  我們打造公主耶穌的名臣
[00:00:57.000 --> 00:00:58.000]  Amen
[00:00:58.000 --> 00:01:01.000]  I hate you
[00:01:01.000 --> 00:01:03.000]  我恨你
[00:01:03.000 --> 00:01:06.000]  我很討厭你
[00:01:06.000 --> 00:01:08.000]  這是一個對白
[00:01:08.000 --> 00:01:11.000]  是曾經我看過一齣的電影
[00:01:11.000 --> 00:01:14.000]  其中有一個年輕人
[00:01:14.000 --> 00:01:17.000]  他父母的管教
[00:01:17.000 --> 00:01:19.000]  非常之不滿的時候
[00:01:19.000 --> 00:01:23.000]  當他衝出去他家門口準備離家出走的時候
[00:01:23.000 --> 00:01:27.000]  回頭向父母說
[00:01:27.000 --> 00:01:29.000]  I hate you
[00:01:29.000 --> 00:01:32.000]  我討厭你
[00:01:32.000 --> 00:01:35.000]  這個年輕人說完這番話之後
[00:01:35.000 --> 00:01:38.000]  立即走出去街
[00:01:38.000 --> 00:01:42.000]  當時正是冬天的時間
[00:01:42.000 --> 00:01:46.000]  地上鋪滿厚厚的雪
[00:01:46.000 --> 00:01:49.000]  他一直這樣走
[00:01:49.000 --> 00:01:52.000]  他以為在這一刻
[00:01:52.000 --> 00:01:56.000]  可以脫離他父母的綑綁
[00:01:56.000 --> 00:02:01.000]  能夠迎接新來無拘無束的生活的開始
[00:02:01.000 --> 00:02:06.000]  我自由了
[00:02:06.000 --> 00:02:11.000]  人生有的時候以為自己的決定是很了不起的
[00:02:11.000 --> 00:02:15.000]  有時候覺得自己很了不起
[00:02:15.000 --> 00:02:19.000]  甚至很大膽去作出行動
[00:02:19.000 --> 00:02:23.000]  是一個我們可以說是自己喜歡的行動
[00:02:23.000 --> 00:02:27.000]  但是他不明白到
[00:02:27.000 --> 00:02:30.000]  原來他是將自己放在一個
[00:02:30.000 --> 00:02:33.000]  連自己都不知道危險的光景當中
[00:02:33.000 --> 00:02:35.000]  把自己放在一個
[00:02:35.000 --> 00:02:38.000]  自己都不知道危險的光景當中
[00:02:38.000 --> 00:02:41.000]  今天我們剛剛讀漢中為我們讀出的經文
[00:02:41.000 --> 00:02:45.000]  在佛西亞書的第五章第五至第十五節
[00:02:45.000 --> 00:02:47.000]  第八至十五節
[00:02:47.000 --> 00:02:51.000]  剛才是漢中為我們讀出佛西亞書第五章第八至十五節
[00:02:51.000 --> 00:02:53.000]  在這段聖經裡面談及到
[00:02:53.000 --> 00:02:57.000]  北國以色列分為南北兩國的這段歷史
[00:02:57.000 --> 00:03:01.000]  這個就會提到以色列分為南北兩國的歷史
[00:03:01.000 --> 00:03:07.000]  當以色列國隨著索羅門王之後
