
[00:00:00.000 --> 00:00:05.380]  好,各位你們好,今晚我們會第二次查考彼得前書
[00:00:05.380 --> 00:00:10.600]  上一次我們就看了彼得前書的背景
[00:00:10.600 --> 00:00:17.000]  彼得是寫信給因為政府迫害而不斷逃亡在不同地方的人
[00:00:17.000 --> 00:00:20.700]  特別有五個大的社區、地域
[00:00:20.700 --> 00:00:22.400]  彼得就寫信給他們
[00:00:22.400 --> 00:00:24.800]  彼得是耶穌的首席門徒
[00:00:24.800 --> 00:00:27.900]  所以他對耶穌有更深的了解
[00:00:27.900 --> 00:00:31.300]  而彼得前書是很值得我們去探討的
[00:00:31.300 --> 00:00:34.600]  上一次我們就會看到我們得救的時候
[00:00:34.600 --> 00:00:38.300]  有些什麼東西是怎樣才算得救呢?
[00:00:38.300 --> 00:00:43.200]  原來今天我們得救是神
[00:00:43.200 --> 00:00:44.300]  但是三位看的時候
[00:00:44.300 --> 00:00:49.900]  聖父、聖子、聖靈都有份去策劃、參與的
[00:00:49.900 --> 00:00:54.000]  在彼得前書第一章裡面有幾節經文給我們看到
[00:00:54.000 --> 00:00:58.300]  父神在救恩裡面扮演什麼角色?
[00:00:58.300 --> 00:01:02.800]  神的揀選是出於祂的主權和祂的身份
[00:01:02.800 --> 00:01:05.400]  因為祂是創造萬物的主宰
[00:01:05.400 --> 00:01:07.800]  所以祂有權去做很多的事情
[00:01:07.800 --> 00:01:10.400]  但是這個救恩並不是後來補救的
[00:01:10.400 --> 00:01:13.100]  聖經裡面很清楚說在創世之先
[00:01:13.100 --> 00:01:15.500]  神就已經為我們預備了這個救贖
[00:01:15.500 --> 00:01:17.300]  正如我說做父母的
[00:01:17.300 --> 00:01:18.900]  當兒女都還沒出生的時候
[00:01:18.900 --> 00:01:21.100]  已經為他們預備了很多的事情
[00:01:21.100 --> 00:01:24.900]  你會說 如果明知道人會離大去犯罪
[00:01:24.900 --> 00:01:26.000]  他就要做人?
[00:01:26.000 --> 00:01:27.600]  我就問每一個做父母
[00:01:27.600 --> 00:01:28.800]  你生你的生命者出來
[00:01:28.800 --> 00:01:30.300]  你知不知道他會死的?
[00:01:30.300 --> 00:01:32.800]  是不是你知他會死的還要生出來呢?
[00:01:32.800 --> 00:01:36.600]  所以這個是不能真的用理性
[00:01:36.600 --> 00:01:38.900]  離大去很邏輯地去解釋
[00:01:38.900 --> 00:01:40.400]  神就是愛我們
[00:01:40.400 --> 00:01:45.400]  好了 祂也都基於祂自己的愛和意志
[00:01:45.400 --> 00:01:47.600]  神有祂自己的決定
[00:01:47.600 --> 00:01:52.200]  但是最重要就是祂看到我們要走的路
[00:01:52.200 --> 00:01:54.200]  就不是我們定了它行不行
[00:01:54.200 --> 00:01:57.900]  祂知道我們在聖靈的感動底下會不會得救
[00:01:57.900 --> 00:02:00.800]  好了 聖靈做什麼工作呢?
[00:02:00.800 --> 00:02:02.500]  就是分別我們出來
[00:02:02.500 --> 00:02:04.400]  我們經常都說分別為聖
