
[00:00:00.000 --> 00:00:04.000]  讓我們在長大之前一起禱告
[00:00:04.000 --> 00:00:06.000]  親愛的天父感謝祢
[00:00:06.000 --> 00:00:10.000]  每天早晨就是我們都能來敬拜祢
[00:00:10.000 --> 00:00:11.000]  我們都能來瞧見祢
[00:00:11.000 --> 00:00:14.000]  感謝祢讓我們能一起來敬拜
[00:00:14.000 --> 00:00:15.000]  一起來讚美祢
[00:00:15.000 --> 00:00:17.000]  求祢開通我們的耳朵
[00:00:17.000 --> 00:00:18.000]  開通我們的心
[00:00:18.000 --> 00:00:20.000]  讓我們能進入祢的話語
[00:00:20.000 --> 00:00:23.000]  讓我們能去跟隨祢自己
[00:00:23.000 --> 00:00:25.000]  我們這樣禱告是豐主明求
[00:00:25.000 --> 00:00:30.000]  我們這樣禱告是豐主明求 阿們
[00:00:30.000 --> 00:00:37.000]  今天我看大家的臉有點熟悉
[00:00:37.000 --> 00:00:40.000]  不知道大家認不認得我
[00:00:40.000 --> 00:00:43.000]  好像都在是吧
[00:00:43.000 --> 00:00:47.000]  剛才在聖葬祭的時候
[00:00:47.000 --> 00:00:48.000]  有碰到一位姐妹
[00:00:48.000 --> 00:00:51.000]  她很厲害能講出我的全名
[00:00:51.000 --> 00:00:52.000]  我的名字
[00:00:52.000 --> 00:00:57.000]  上一次來的時候你們記得是幾時嗎
[00:00:57.000 --> 00:00:59.000]  我們通常這個禮拜
[00:00:59.000 --> 00:01:01.000]  已經忘記上個禮拜的事情
[00:01:01.000 --> 00:01:04.000]  所以其實是五月份的時候
[00:01:04.000 --> 00:01:06.000]  我也是查看我的紀錄
[00:01:06.000 --> 00:01:09.000]  我才看到是五月十九號
[00:01:09.000 --> 00:01:12.000]  剛好就是五個月的時間
[00:01:12.000 --> 00:01:14.000]  但是我覺得這五個月
[00:01:14.000 --> 00:01:17.000]  好像是很久之前的事情
[00:01:17.000 --> 00:01:20.000]  很久之前的事情
[00:01:20.000 --> 00:01:22.000]  那你呢
[00:01:22.000 --> 00:01:24.000]  你回想起五個月之前的事情
[00:01:24.000 --> 00:01:28.000]  你會覺得有什麼感覺
[00:01:28.000 --> 00:01:35.000]  有沒有覺得好像比平常更長的時間
[00:01:35.000 --> 00:01:38.000]  覺得五月份很遙遠
[00:01:38.000 --> 00:01:41.000]  不只是因為光陰此戰
[00:01:41.000 --> 00:01:44.000]  而是在這幾個月裡面
[00:01:44.000 --> 00:01:46.000]  發生在香港
[00:01:46.000 --> 00:01:49.000]  在我們這個家的事情
[00:01:49.000 --> 00:01:51.000]  我們的生活
[00:01:51.000 --> 00:01:53.000]  我們身處的環境
[00:01:53.000 --> 00:01:56.000]  出現了翻天覆地的變化
[00:01:56.000 --> 00:02:02.000]  你們有這樣的感覺嗎
