
[00:00:00.000 --> 00:00:03.000]  弟兄姊妹好,我們一起低頭祈禱
[00:00:03.000 --> 00:00:07.300]  參與者,我們多謝你
[00:00:07.300 --> 00:00:12.540]  多謝你讓我們弟兄姊妹可以一起侍奉
[00:00:12.540 --> 00:00:16.400]  多謝你讓你的僕人
[00:00:16.400 --> 00:00:22.400]  很忠心地侍奉你
[00:00:22.400 --> 00:00:26.000]  天父,我們願意祝福梁牧師
[00:00:26.000 --> 00:00:28.800]  無論往哪裏去
[00:00:29.360 --> 00:00:30.600]  你都和他一起
[00:00:30.600 --> 00:00:33.880]  願意他帶給更多的
[00:00:33.880 --> 00:00:36.200]  弟兄姊妹
[00:00:36.200 --> 00:00:38.920]  更多年輕的牧者
[00:00:38.920 --> 00:00:41.440]  更大的祝福
[00:00:41.440 --> 00:00:44.160]  給我們深信
[00:00:44.160 --> 00:00:47.600]  願意栽培
[00:00:47.600 --> 00:00:50.680]  年輕牧者的
[00:00:50.680 --> 00:00:53.120]  真心栽培年輕牧者的
[00:00:53.120 --> 00:00:56.000]  牧者不多
[00:00:58.480 --> 00:01:00.920]  父,我們求你保守著他身體
[00:01:00.920 --> 00:01:04.440]  求你祝福他侍功
[00:01:04.440 --> 00:01:07.800]  保守
[00:01:07.800 --> 00:01:09.680]  他家庭
[00:01:09.680 --> 00:01:13.200]  願意他的侍奉
[00:01:13.200 --> 00:01:17.280]  繼續有你的恩守托著
[00:01:17.280 --> 00:01:19.920]  願意他走的每一步
[00:01:19.920 --> 00:01:22.480]  都帶著基督的香氣
[00:01:22.480 --> 00:01:23.760]  沒有
[00:01:23.760 --> 00:01:25.680]  東西可以攔阻
[00:01:26.840 --> 00:01:28.840]  沒有撒旦可以攻擊
[00:01:28.840 --> 00:01:31.560]  多謝你
[00:01:31.560 --> 00:01:34.320]  多謝你讓我們今天一起敬拜
[00:01:34.320 --> 00:01:36.600]  讓我們
[00:01:36.600 --> 00:01:38.600]  繼續學習你的話語
[00:01:38.600 --> 00:01:40.080]  預備我們的心
[00:01:40.080 --> 00:01:41.680]  去領受你的教導
[00:01:41.680 --> 00:01:43.240]  天父,多謝你
[00:01:43.240 --> 00:01:45.600]  你的話是活潑的
[00:01:45.600 --> 00:01:47.960]  你給我們的生命也是活潑的
[00:01:47.960 --> 00:01:50.480]  多謝你的教導
[00:01:50.480 --> 00:01:52.440]  我們同心吐告奉儲民求
[00:01:52.440 --> 00:01:53.080]  Amen
[00:01:53.080 --> 00:01:56.440]  弟兄姊妹,好啊
[00:01:56.440 --> 00:02:00.080]  今天我們由年頭到年底
[00:02:00.080 --> 00:02:01.440]  都在學習希伯來書
[00:02:01.440 --> 00:02:02.800]  來到說到
[00:02:02.800 --> 00:02:04.600]  說到信心
[00:02:04.600 --> 00:02:06.760]  Thank you你
[00:02:06.760 --> 00:02:09.800]  說到信心,今天十一章
[00:02:09.800 --> 00:02:11.960]  題目是
[00:02:11.960 --> 00:02:14.320]  信是動與活
[00:02:14.320 --> 00:02:16.120]  不是活動
[00:02:16.120 --> 00:02:17.400]  是動與活
