
[00:00:00.000 --> 00:00:06.680]  大家好 今天我講的是耶穌行頭一件神蹟
[00:00:06.680 --> 00:00:10.280]  我19年的時候
[00:00:10.280 --> 00:00:15.400]  我是18年左右 17年底過來這邊讀神學
[00:00:15.400 --> 00:00:20.640]  19年我就搬進去跟一個神學院的老師一起住
[00:00:20.640 --> 00:00:23.320]  今年他就85歲
[00:00:23.320 --> 00:00:26.400]  當我進到他的房子的時候
[00:00:26.400 --> 00:00:32.760]  他牆上掛著一個金婚招牌
[00:00:32.760 --> 00:00:34.920]  是一個相框來的
[00:00:34.920 --> 00:00:40.280]  是團契會友送給他的
[00:00:40.280 --> 00:00:42.960]  就是金婚
[00:00:42.960 --> 00:00:46.160]  什麼是金婚呢
[00:00:46.160 --> 00:00:48.880]  一年就是子婚
[00:00:48.880 --> 00:00:51.560]  五年就是母婚
[00:00:51.560 --> 00:00:52.920]  六年就是鐵婚
[00:00:52.920 --> 00:00:54.520]  七年就是銅婚
[00:00:54.520 --> 00:00:56.720]  女婚就是十年
[00:00:56.720 --> 00:01:04.080]  一到十年就會看到有木的 有鐵的 有銅的 有女的
[00:01:04.080 --> 00:01:05.920]  十一到二十年呢
[00:01:05.920 --> 00:01:09.960]  十一年就開始鋼婚了
[00:01:09.960 --> 00:01:11.720]  是鋼鐵的鋼
[00:01:11.720 --> 00:01:14.720]  二十年的時候就叫做瓷婚
[00:01:14.720 --> 00:01:16.880]  陶瓷的瓷
[00:01:16.880 --> 00:01:20.480]  我們一般認識的就會有銀婚
[00:01:20.480 --> 00:01:22.400]  銀婚通常是二十年
[00:01:22.400 --> 00:01:26.520]  金婚就證明他已經結婚五十年了
[00:01:26.520 --> 00:01:30.360]  鑽石婚有兩種說法
[00:01:30.360 --> 00:01:33.000]  一般人就說六十年就可以了
[00:01:33.000 --> 00:01:35.800]  有些人就說都不夠 要七十五年
[00:01:35.800 --> 00:01:38.840]  可能七十五年很少吧
[00:01:38.840 --> 00:01:42.360]  因為人的稅收的限制
[00:01:42.360 --> 00:01:44.640]  第二個就是
[00:01:44.640 --> 00:01:47.560]  另外一個相框寫著
