
[00:00:00.000 --> 00:00:05.000]  鄧少祖安,感恩再次跟大家分享神的話語
[00:00:05.000 --> 00:00:09.000]  今年我選了一個系列是講耶穌的生平
[00:00:09.000 --> 00:00:17.000]  今天選了耶穌在十二歲和父母和瑪利亞去到猶撒冷的故事
[00:00:17.000 --> 00:00:20.000]  去思想到兩代的關係
[00:00:20.000 --> 00:00:23.000]  當我準備訊息的時候就發覺
[00:00:23.000 --> 00:00:28.000]  今天經文和其他不同的故事來說
[00:00:28.000 --> 00:00:31.000]  其實兩代的人就算是多麼的敬虔
[00:00:31.000 --> 00:00:34.000]  有時也有很多的張力和挑戰
[00:00:34.000 --> 00:00:37.000]  但是如果能夠大家都在敬虔裡面
[00:00:37.000 --> 00:00:40.000]  大家都有永恆的愛
[00:00:40.000 --> 00:00:44.000]  大家都有永生都是美麗的恩典
[00:00:44.000 --> 00:00:51.000]  現代的父母跟我們年幼的時代可能很不同
[00:00:51.000 --> 00:00:54.000]  當中有些可能是有小孩有些沒有
[00:00:54.000 --> 00:00:58.000]  可以想起我們自己的父母或想起我們的家人
[00:00:58.000 --> 00:01:00.000]  在這些故事裡面
[00:01:00.000 --> 00:01:04.000]  在大陸有個文章叫當媽分標準
[00:01:04.000 --> 00:01:06.000]  講到現代的媽咪的標準
[00:01:06.000 --> 00:01:10.000]  要去街市到課堂
[00:01:10.000 --> 00:01:12.000]  做蛋糕講故事
[00:01:12.000 --> 00:01:15.000]  懂得大便講英文
[00:01:15.000 --> 00:01:17.000]  又懂得作文
[00:01:17.000 --> 00:01:19.000]  香港人懂得做powerpoint
[00:01:19.000 --> 00:01:21.000]  又要琴棋書畫
[00:01:21.000 --> 00:01:24.000]  又要有創意辦活動
[00:01:24.000 --> 00:01:27.000]  要給錢加學費等等
[00:01:27.000 --> 00:01:29.000]  要賺錢又要消費
[00:01:29.000 --> 00:01:34.000]  我就post了這個大陸的資料在facebook
[00:01:34.000 --> 00:01:35.000]  有人加一句
[00:01:35.000 --> 00:01:37.000]  要懂得去買淘寶
[00:01:37.000 --> 00:01:39.000]  要開車
[00:01:39.000 --> 00:01:44.000]  現代的感覺是很多元化的要求
[00:01:44.000 --> 00:01:46.000]  對父母很多的要求
[00:01:46.000 --> 00:01:49.000]  兩代裡面的故事
[00:01:49.000 --> 00:01:51.000]  在各種社會的張力之下
[00:01:51.000 --> 00:01:53.000]  會產生不同的故事
[00:01:53.000 --> 00:01:54.000]  不如我們看回今天經文
[00:01:54.000 --> 00:01:57.000]  在路加福音第二章四十到五十二節
[00:01:57.000 --> 00:02:00.000]  楊豐欽十九章二十五到二十七節
[00:02:00.000 --> 00:02:02.000]  我們弟兄讀黑色字雙數節
[00:02:02.000 --> 00:02:05.000]  姐妹弟讀紅色字單數節
[00:02:05.000 --> 00:02:07.000]  我先請弟兄
[00:02:07.000 --> 00:02:09.000]  孩子漸漸長大
[00:02:09.000 --> 00:02:10.000]  強健起來
[00:02:10.000 --> 00:02:11.000]  充滿智慧
[00:02:11.000 --> 00:02:18.000]  又有神的恩在他身上
[00:02:18.000 --> 00:02:20.000]  當他十二歲的時候
[00:02:20.000 --> 00:02:31.000]  他們按著節旗的規矩上去
[00:02:31.000 --> 00:02:34.000]  以為他在同行的人中間
[00:02:34.000 --> 00:02:36.000]  走了一天的路程
[00:02:36.000 --> 00:02:44.000]  就在陳族和熟悉的人中找他
[00:02:44.000 --> 00:02:47.000]  過了三天就遇見他在殿內
