
[00:00:00.000 --> 00:00:03.000]  字幕由Amara.org社区提供
[00:00:03.000 --> 00:00:10.000]  弟兄姊妹
[00:00:10.000 --> 00:00:13.000]  可能你今天在職場上的崗位
[00:00:13.000 --> 00:00:17.000]  是要你在前線去參與對抗這場疫症
[00:00:17.000 --> 00:00:21.000]  你現在內心有很多的掙扎
[00:00:21.000 --> 00:00:23.000]  又或者你是一個家長
[00:00:23.000 --> 00:00:26.000]  在照顧放假的小朋友
[00:00:26.000 --> 00:00:29.000]  每日生活就變得很忙碌
[00:00:29.000 --> 00:00:32.000]  我希望記載在《三武二記》上17章
[00:00:32.000 --> 00:00:37.000]  大衛打敗哥利亞的故事能夠激勵你
[00:00:37.000 --> 00:00:39.000]  大衛去打巨人哥利亞
[00:00:39.000 --> 00:00:42.000]  沒有穿蘇羅王給他的盔甲
[00:00:42.000 --> 00:00:45.000]  也沒有用蘇羅王給他的刀
[00:00:45.000 --> 00:00:48.000]  他只是用自己一向習慣用的丫叉
[00:00:48.000 --> 00:00:51.000]  和選了幾粒小石頭
[00:00:51.000 --> 00:00:54.000]  他做回自己能力可以做的事
[00:00:54.000 --> 00:00:56.000]  我們面對令人退縮
[00:00:56.000 --> 00:00:59.000]  和感到無能為力的處境的時候
[00:00:59.000 --> 00:01:01.000]  我們需要的是信心
[00:01:01.000 --> 00:01:04.000]  去做出自己能夠做的事
[00:01:04.000 --> 00:01:07.000]  縱使這些事看起來是微不足道的
[00:01:07.000 --> 00:01:10.000]  但是我們仍然努力去做
[00:01:10.000 --> 00:01:11.000]  盡力去做
[00:01:11.000 --> 00:01:14.000]  盡力去做自己熟悉的事
[00:01:14.000 --> 00:01:17.000]  用我們的丫叉去瞄準
[00:01:17.000 --> 00:01:21.000]  相信上帝會使用我們這些微小的工作
[00:01:21.000 --> 00:01:24.000]  我們千萬不要被現實的限制
[00:01:24.000 --> 00:01:26.000]  和絕望的思想
[00:01:26.000 --> 00:01:28.000]  令我們心灰意冷
[00:01:28.000 --> 00:01:31.000]  《針研》第29章第25節說
[00:01:31.000 --> 00:01:34.000]  「懼怕人的陷入網羅
[00:01:34.000 --> 00:01:36.000]  唯有倚靠耶和華的
[00:01:36.000 --> 00:01:38.000]  必得安穩」
[00:01:38.000 --> 00:01:40.000]  你就在自己的崗位上
[00:01:40.000 --> 00:01:42.000]  盡力做好自己的本分
[00:01:42.000 --> 00:01:44.000]  無論結果是怎樣
[00:01:44.000 --> 00:01:46.000]  我深信我們的上帝
[00:01:46.000 --> 00:01:49.000]  一定會保守和加力的
[00:01:54.000 --> 00:01:56.000]  我只想知道你到底是谁啊?
