
[00:00:00.000 --> 00:00:06.500]  這次我們來到看到《時事記》第13次了
[00:00:06.500 --> 00:00:08.740]  就是《網語招遊》
[00:00:08.740 --> 00:00:15.280]  但是我們上一次看到的是《網選網漢》
[00:00:15.280 --> 00:00:22.520]  他們是很魯莽地來選照一個歹徒
[00:00:22.520 --> 00:00:26.120]  一個網漢就是耶佛他
[00:00:26.120 --> 00:00:29.760]  但是在我們繼續今天探討之前
[00:00:29.760 --> 00:00:31.280]  因為有一個多兩個星期
[00:00:31.280 --> 00:00:33.980]  我們可以再看回我以往的教導
[00:00:33.980 --> 00:00:36.660]  有些東西想我們補充
[00:00:36.660 --> 00:00:40.800]  我們看到原來由耶佛他開始
[00:00:40.800 --> 00:00:43.600]  往往由外轉內
[00:00:43.600 --> 00:00:47.040]  之前《小事詩記》記載的重點
[00:00:47.040 --> 00:00:49.840]  就是以色列內部的事情
[00:00:49.840 --> 00:00:52.080]  甚至是家庭的事情
[00:00:52.080 --> 00:00:58.460]  所以接著記載漸漸的方向就是由外轉內
[00:00:58.460 --> 00:01:02.300]  耶佛他本來是與外敵阿們人對峙
[00:01:02.300 --> 00:01:06.060]  及後演變成今天我們會看到
[00:01:06.060 --> 00:01:10.800]  就是激烈人與以法連人相鬥的內在問題
[00:01:10.800 --> 00:01:14.040]  就是種族彼此之間出現問題
[00:01:14.040 --> 00:01:16.880]  他們將問題帶到自己的家庭
[00:01:16.880 --> 00:01:19.280]  就是要將自己的女兒獻祭
[00:01:19.280 --> 00:01:22.520]  所以耶佛他故事前後的《小事詩》
[00:01:22.520 --> 00:01:26.360]  就要我們留意到耶佛他的事情
[00:01:26.360 --> 00:01:29.940]  因為之前的《小事詩》沒有記載他殺敵
[00:01:29.940 --> 00:01:33.700]  記載他家裡有多少爐有多少城池
[00:01:33.700 --> 00:01:36.600]  我們再看回當時的以色列人是怎樣呢?
[00:01:36.600 --> 00:01:38.900]  以色列人為何成為以色列人呢?
[00:01:38.900 --> 00:01:41.520]  因為他稱耶華為神
[00:01:41.520 --> 00:01:43.400]  他是屬於神的子民
[00:01:43.400 --> 00:01:46.320]  但當他們一再離棄神的時候
[00:01:46.320 --> 00:01:49.520]  這樣他們是否還稱為以色列人呢?
[00:01:49.520 --> 00:01:51.280]  正如我們是基督徒
[00:01:51.280 --> 00:01:53.660]  因為我們深信主耶穌基督救贖我們
[00:01:53.660 --> 00:01:56.400]  如果有一天我們放棄了我們的信仰
[00:01:56.400 --> 00:01:58.460]  我們是否仍然是基督徒呢?
[00:01:58.460 --> 00:02:02.060]  但是不要忘記神都陷在矛盾裡面
[00:02:02.060 --> 00:02:05.420]  因為他明知以色列人的悔改
[00:02:05.420 --> 00:02:07.220]  只不過是因為遇到苦難
[00:02:07.220 --> 00:02:08.520]  暫時的
[00:02:08.520 --> 00:02:11.220]  甚至是在利用神
[00:02:11.220 --> 00:02:16.200]  但神又不能夠忍受以色列人被外敵欺壓
[00:02:16.200 --> 00:02:18.500]  所以神就要拯救以色列人
[00:02:18.500 --> 00:02:21.200]  但這個拯救是在憤怒之中進行的
[00:02:21.200 --> 00:02:23.720]  很多時候父母都見到子女不好
[00:02:23.720 --> 00:02:25.820]  甚至賭錢不幫他們
[00:02:25.820 --> 00:02:27.660]  怕他們被人打
[00:02:27.660 --> 00:02:29.920]  或者真的見到他們被人打的時候
[00:02:29.920 --> 00:02:31.240]  心又難受
[00:02:31.240 --> 00:02:31.940]  於是怎樣呢?
[00:02:31.940 --> 00:02:32.680]  唉
[00:02:32.680 --> 00:02:33.500]  不行不行
[00:02:33.500 --> 00:02:34.680]  又再幫他們
[00:02:34.680 --> 00:02:38.420]  這個矛盾正正是神對著我們一樣
[00:02:38.420 --> 00:02:41.240]  耶佛他為何會成為匪徒呢?
[00:02:41.240 --> 00:02:43.720]  因為他是無理地被驅逐
[00:02:43.720 --> 00:02:45.500]  基列人耶佛他
[00:02:45.500 --> 00:02:46.720]  基列是誰呢?
[00:02:46.720 --> 00:02:49.520]  就是馬來西亞的孫的名字
[00:02:49.520 --> 00:02:52.580]  後來就是藩子在約旦河東
[00:02:52.580 --> 00:02:54.680]  以色列人居住的地方
[00:02:54.680 --> 00:02:56.340]  耶佛他和他的兄弟
[00:02:56.340 --> 00:02:58.080]  因為他的母親
[00:02:58.080 --> 00:02:59.660]  就是耶佛他的生母
[00:02:59.660 --> 00:03:01.320]  是一個妓女
[00:03:01.320 --> 00:03:05.640]  所以就說你不可以去承繼我父親的產業
[00:03:05.640 --> 00:03:09.000]  於是他們就從法律途徑
[00:03:09.000 --> 00:03:11.800]  去要求耶佛他離開
[00:03:11.800 --> 00:03:13.720]  他們不敢用武力把耶佛他趕走
[00:03:13.720 --> 00:03:16.340]  因為耶佛他是一個大能勇士
[00:03:16.340 --> 00:03:17.420]  恐武有力
[00:03:17.420 --> 00:03:18.920]  打就一定打不過他
[00:03:18.920 --> 00:03:20.640]  所以掃之於行動
[00:03:20.640 --> 00:03:22.640]  我們從這一節經文就看到了
[00:03:22.640 --> 00:03:25.280]  《釋師傑第十一章》第七節
[00:03:25.280 --> 00:03:28.200]  耶佛他回答基列的長老說
[00:03:28.200 --> 00:03:30.040]  從前你們不是恨我
[00:03:30.040 --> 00:03:32.160]  趕逐我出來附加嗎?
[00:03:32.160 --> 00:03:34.000]  現在你們遭遇急難
[00:03:34.000 --> 00:03:35.920]  為何到我這裡來呢?
[00:03:35.920 --> 00:03:39.140]  這是我們上個查經的時候所看到的
[00:03:39.140 --> 00:03:42.260]  就是這班長老因為被阿們人欺負
[00:03:42.260 --> 00:03:43.760]  但沒有人敢跟他們打仗
[00:03:43.760 --> 00:03:45.260]  於是就來找耶佛他
[00:03:45.260 --> 00:03:47.100]  耶佛心就揶揄他們
[00:03:47.100 --> 00:03:50.320]  以前很恨我的你趕我出去
[00:03:50.320 --> 00:03:51.900]  現在為什麼要來找我呢?
[00:03:51.900 --> 00:03:55.040]  就是說不是他的兄弟趕他
[00:03:55.040 --> 00:03:57.680]  是長老執行法律而已
