
[00:00:00.000 --> 00:00:04.400]  我們很開心可以在年初一的時候跟大家分享神的說話
[00:00:04.400 --> 00:00:09.300]  傳統年初一就是敬拜神
[00:00:09.300 --> 00:00:10.860]  而我們信主的
[00:00:10.860 --> 00:00:14.880]  初一的時候早上親近神更加是一個祝福
[00:00:14.880 --> 00:00:19.660]  聖經裡面經常用羊來描繪屬去的人
[00:00:19.660 --> 00:00:22.360]  聖經說到主耶穌就是一個好牧人
[00:00:22.360 --> 00:00:24.760]  耶和聖的牧者我必不自缺乏
[00:00:24.760 --> 00:00:27.480]  而主耶穌也說我是好牧人
[00:00:27.480 --> 00:00:29.700]  好牧人是為羊寫命的
[00:00:29.700 --> 00:00:34.040]  而當我們犯錯的時候
[00:00:34.040 --> 00:00:37.160]  二賽亞書說到我們如走迷的羊
[00:00:37.160 --> 00:00:39.160]  我們各人偏行己路
[00:00:39.160 --> 00:00:42.160]  主耶穌契遣我們進入世界的時候
[00:00:42.160 --> 00:00:44.640]  就如羊進入狼群
[00:00:44.640 --> 00:00:46.160]  所以我們要警醒
[00:00:46.160 --> 00:00:48.940]  除了羊之外如果讓大家再去想
[00:00:48.940 --> 00:00:51.500]  用哪一種動物來描繪基督圖呢
[00:00:51.500 --> 00:00:53.500]  我就會想兔子
[00:00:53.500 --> 00:00:54.600]  為什麼呢
[00:00:54.600 --> 00:00:58.000]  兔子外表很純潔很溫柔很可愛
[00:00:58.000 --> 00:01:00.820]  但兔子沒有自我的保護能力
[00:01:00.820 --> 00:01:03.560]  而基督圖同時也是較為單純
[00:01:03.560 --> 00:01:05.560]  所以很容易被騙
[00:01:05.560 --> 00:01:07.840]  但我們基本上是溫柔的
[00:01:07.840 --> 00:01:09.840]  但我們的保護能力很低
[00:01:09.840 --> 00:01:11.840]  但還有一樣很特別的原因
[00:01:11.840 --> 00:01:14.340]  原來兔子耳朵很長
[00:01:14.340 --> 00:01:15.680]  聽很多東西
[00:01:15.680 --> 00:01:18.440]  我養過兔子小時候
[00:01:18.440 --> 00:01:20.440]  兔子沒有東西吃也好
[00:01:20.440 --> 00:01:24.440]  嘴巴都不斷動不斷說話
[00:01:24.440 --> 00:01:27.160]  但兔子的手手腳腳很短
[00:01:27.160 --> 00:01:28.760]  我們像不像兔子
[00:01:28.760 --> 00:01:30.760]  我們基督聽很多道理
[00:01:30.760 --> 00:01:32.760]  都講很多道理
[00:01:32.760 --> 00:01:34.760]  所以人們看我們講話多了
[00:01:34.760 --> 00:01:36.760]  就說不要跟我說耶穌
[00:01:36.760 --> 00:01:39.760]  但有時候我們是講就可以
[00:01:39.760 --> 00:01:41.760]  但做就一般般
[00:01:41.760 --> 00:01:45.760]  有時候講就天下無敵
[00:01:45.760 --> 00:01:47.760]  但做就有心無力
[00:01:47.760 --> 00:01:49.760]  有心無力也好
[00:01:49.760 --> 00:01:51.760]  我最怕是沒有心無力
[00:01:51.760 --> 00:01:53.760]  聖經裡面也有提到兔子
[00:01:53.760 --> 00:01:55.760]  只有兩段經文
[00:01:55.760 --> 00:01:57.760]  生命記第十一章第六節
[00:01:57.760 --> 00:01:59.760]  生命記第十四章第七節
[00:01:59.760 --> 00:02:01.760]  都是講到兔子是不潔的動物
[00:02:01.760 --> 00:02:03.760]  是不可以吃的
[00:02:03.760 --> 00:02:05.760]  熟悉我的人都知道
[00:02:05.760 --> 00:02:07.760]  每一年我都會按照生肖
[00:02:07.760 --> 00:02:09.760]  去講一篇道
[00:02:09.760 --> 00:02:11.760]  當然不是導人迷信
[00:02:11.760 --> 00:02:13.760]  而是藉著大家熟悉
[00:02:13.760 --> 00:02:15.760]  去反省一些真理
[00:02:15.760 --> 00:02:17.760]  第一個我要和大家分享的是
[00:02:17.760 --> 00:02:19.760]  兔死狗烹
[00:02:19.760 --> 00:02:21.760]  這是記載在《史記》的月世家
[00:02:21.760 --> 00:02:25.760]  記載了範禮寫信給文總
[00:02:25.760 --> 00:02:27.760]  提醒他叛軍如叛虎
[00:02:27.760 --> 00:02:29.760]  他搞兔死,走狗烹
[00:02:29.760 --> 00:02:31.760]  飛鳥盡,糧公藏
[00:02:31.760 --> 00:02:33.760]  兔子都被人捉了
[00:02:33.760 --> 00:02:35.760]  那隻獵犬都沒用
[00:02:35.760 --> 00:02:37.760]  連那隻狗都宰走了
[00:02:37.760 --> 00:02:39.760]  那些小鳥都沒了
[00:02:39.760 --> 00:02:41.760]  飛走了,就收工了
[00:02:41.760 --> 00:02:43.760]  在現實生活裡面
[00:02:43.760 --> 00:02:45.760]  我們看到這些情況是屢見不鮮的
[00:02:45.760 --> 00:02:47.760]  在商業社會裡面
[00:02:47.760 --> 00:02:49.760]  你有利用價值,可能高薪聘請你
[00:02:49.760 --> 00:02:51.760]  但當你一沒用的時候
[00:02:51.760 --> 00:02:53.760]  就馬上被解僱
[00:02:53.760 --> 00:02:55.760]  趕你走
[00:02:55.760 --> 00:02:57.760]  或者你幫忙安排一些東西
[00:02:57.760 --> 00:02:59.760]  好了,上了軌道的時候
[00:02:59.760 --> 00:03:01.760]  就覺得你薪金高
[00:03:01.760 --> 00:03:03.760]  於是解僱你
[00:03:03.760 --> 00:03:05.760]  一些夫婦也是
[00:03:05.760 --> 00:03:07.760]  夫婦的關係
[00:03:07.760 --> 00:03:09.760]  很可能兩夫婦很窮
[00:03:09.760 --> 00:03:11.760]  大家一起捱
