
[00:00:00.000 --> 00:00:06.000]  頂姐妹早晨,返早堂嘅啲早晨,如果係之後再聽返嘅呢,就係主內平安。
[00:00:06.000 --> 00:00:14.000]  近日呢,陸續收到一啲嘅朋友,師長,會有癌症復發嘅消息。
[00:00:14.000 --> 00:00:22.000]  加上又面對好多生離死別嘅情景,內心好沉重。
[00:00:22.000 --> 00:00:28.000]  先講死別,就呢幾個星期啫,我哋有多位嘅頂姐妹,同埋佢哋嘅家人離世。
[00:00:28.000 --> 00:00:31.000]  心中好難過,好唔捨得。
[00:00:31.000 --> 00:00:37.000]  其中有我哋顏關團契或者顏關大使一路關心嘅兩位姐妹。
[00:00:37.000 --> 00:00:41.000]  有我哋同佢洗禮嘅一位冥恩小學嘅家長。
[00:00:41.000 --> 00:00:48.000]  我哋有長姐,有會友嘅爸爸,有會友嘅女兒。
[00:00:48.000 --> 00:00:54.000]  最近嘅係前幾日嘅啫,我哋加密師一位姐妹,謝瀟芳。
[00:00:54.000 --> 00:00:58.000]  佢丈夫係好多人認識嘅永傑,即係傑佬。
[00:00:58.000 --> 00:01:04.000]  謝瀟芳姐妹一家喺仁興街嘅年代就已經嚟到冥恩堂。
[00:01:04.000 --> 00:01:09.000]  一直係默默參與聚會同埋侍奉。
[00:01:09.000 --> 00:01:13.000]  喺2010年嘅時候,我哋喺上水堂,上水席堂。
[00:01:13.000 --> 00:01:16.000]  謝瀟芳姐妹就成為席堂隊嘅隊員。
[00:01:16.000 --> 00:01:19.000]  佢係護士,連同我哋另外兩位護士姐妹。
[00:01:19.000 --> 00:01:26.000]  一定喺偏間上作出安排,有團契嘅日子,佢就安排自己放假。
[00:01:26.000 --> 00:01:32.000]  冇辦法放假,就會安排佢返工前,或者放工後都會嚟團契。
[00:01:32.000 --> 00:01:36.000]  有時仲係專責嗰啲嘅團契周會。
[00:01:36.000 --> 00:01:40.000]  姐妹喺禮拜二黃昏嘅時候,腦部嚴重出血。
[00:01:40.000 --> 00:01:47.000]  星期三晚,就好似瞓覺一樣,與世長持,安返天家。
[00:01:47.000 --> 00:01:52.000]  無論係佢嘅家人,或者認識佢哋嘅弟兄姐妹同埋目姐,
[00:01:52.000 --> 00:01:56.000]  收到消息都好難過,好唔捨得。
[00:01:56.000 --> 00:02:02.000]  跟隨主咁多年嘅我哋,唔單係佢一家。
[00:02:02.000 --> 00:02:06.000]  喺呢個時候就要將信仰生命體現出嚟。
[00:02:06.000 --> 00:02:13.000]  能夠去醫院視像探訪,或者到佢離世一刻,直接見到面嘅。
[00:02:13.000 --> 00:02:18.000]  冇一個唔淚流滿面。
[00:02:18.000 --> 00:02:25.000]  不過,喺淚流滿面嘅同時,大家又能夠為姐妹數算因典。
[00:02:25.000 --> 00:02:27.000]  係,因典好美麗。
[00:02:27.000 --> 00:02:30.000]  大家數算天父賜畀佢一個好良善嘅心,
[00:02:30.000 --> 00:02:33.000]  佢一個好孝順父母嘅心,
[00:02:33.000 --> 00:02:35.000]  好愛惜兒女,
[00:02:35.000 --> 00:02:37.000]  好懂得尊重丈夫,
[00:02:37.000 --> 00:02:39.000]  又樂意幫助他人,
[00:02:39.000 --> 00:02:41.000]  唔記仇。
[00:02:41.000 --> 00:02:43.000]  佢細個嘅時候成長好艱難,
[00:02:43.000 --> 00:02:46.000]  但係呢啲一切都走過啦。
[00:02:46.000 --> 00:02:49.000]  喺呢度我都知道,我哋冇辦法相聚,
[00:02:49.000 --> 00:02:51.000]  所以呢啲弟兄姐妹冇辦法見面,
[00:02:51.000 --> 00:02:53.000]  互相訴說談論,
[00:02:53.000 --> 00:02:55.000]  內心嗰種嘅感受,
[00:02:55.000 --> 00:02:58.000]  冇辦法你對舒懷。
[00:02:58.000 --> 00:03:02.000]  不過願透過網上崇拜,你有參與,
[00:03:02.000 --> 00:03:05.000]  都讓你知道我哋係彼此結連。
