
[00:00:00.000 --> 00:00:01.840]  當你看到今早的講題的時候
[00:00:01.840 --> 00:00:04.540]  覺得很奇怪 為甚麼講到講刀呢?
[00:00:04.540 --> 00:00:08.100]  我想請問你今早有沒有人未曾試過用刀的?
[00:00:08.100 --> 00:00:11.420]  哎呀 今早上來一粒糖我都沒有用刀
[00:00:11.420 --> 00:00:15.220]  假如你今早吃早餐或者吃午餐的話
[00:00:15.220 --> 00:00:19.160]  就算你自己沒有用刀切過任何的菜 任何的肉
[00:00:19.160 --> 00:00:20.900]  間接會用刀的 是不是呢?
[00:00:20.900 --> 00:00:24.860]  可能是餐廳的夥計 可能是你家裏面的工人
[00:00:24.860 --> 00:00:26.560]  用刀你已經不知道
[00:00:26.560 --> 00:00:30.420]  刀可以非常和平的使用 我們吃飯
[00:00:30.420 --> 00:00:33.840]  刀可以用來自衛 刀可以用來殺人
[00:00:33.840 --> 00:00:36.640]  刀可以真正的執行公義
[00:00:36.640 --> 00:00:41.620]  有些人犯錯的時候 這把刀是一個公義的表達
[00:00:41.620 --> 00:00:46.840]  剛才所讀的聖經 耳窩說「和機廉的刀」
[00:00:46.840 --> 00:00:50.000]  在聖經裏面剛才所讀經文起碼出現過兩次
[00:00:50.000 --> 00:00:53.020]  為甚麼聖經有這樣的情況呢?
[00:00:53.020 --> 00:00:56.300]  我們很快就看回《史詩記》的背景
[00:00:56.300 --> 00:01:00.780]  多謝黃牧師安排我們這段時間去思想《史詩記》
[00:01:00.780 --> 00:01:03.360]  因為想象神帶領由摩西
[00:01:03.360 --> 00:01:06.820]  他們帶領以色列人將這些律法頒佈
[00:01:06.820 --> 00:01:10.540]  但是那個時候 這些以色列人還沒有「和」
[00:01:10.540 --> 00:01:14.520]  在《史詩記》裏面就一再出現 起碼四次之多
[00:01:14.520 --> 00:01:17.680]  就說那時以色列人沒有「和」
[00:01:17.680 --> 00:01:21.560]  各人按照心中所喜好的去行
[00:01:21.560 --> 00:01:25.620]  各位 這起碼是令我們非常驚訝的事情
[00:01:25.620 --> 00:01:27.400]  他們沒有一個「船長」
[00:01:27.400 --> 00:01:28.760]  他們沒有一個「主席」
[00:01:28.760 --> 00:01:30.280]  沒有一個「班長」
[00:01:30.280 --> 00:01:33.360]  沒有一個他們的「統治者」
[00:01:33.360 --> 00:01:35.140]  就像剛才我們聽到的見證
[00:01:35.140 --> 00:01:37.860]  可能兩個人有不同的標準的時候
[00:01:37.860 --> 00:01:40.680]  各人按照自己心中所喜的去行
[00:01:40.680 --> 00:01:42.920]  結果就是大亂的
[00:01:42.920 --> 00:01:45.760]  在這個時候 他們神還沒有安排到
[00:01:45.760 --> 00:01:49.240]  日後要來的「訴羅大衛所羅門」
[00:01:49.240 --> 00:01:52.000]  這個時候摩西又完成了他的工作
[00:01:52.000 --> 00:01:55.920]  中間怎麼辦呢?神就興起了「時詩」
[00:01:55.920 --> 00:02:00.160]  「時詩」在英文是Judges
[00:02:00.160 --> 00:02:01.580]  這個詞怎麼解釋呢?
[00:02:01.580 --> 00:02:02.880]  他們不是做「和」的
[00:02:02.880 --> 00:02:05.880]  但是他們就有是非的判斷
[00:02:05.880 --> 00:02:08.940]  他們有服從真理那種的教導
[00:02:08.940 --> 00:02:10.140]  這個我們都希望
[00:02:10.140 --> 00:02:13.180]  今天我們的法院能夠做到這件事情
[00:02:13.180 --> 00:02:14.840]  能夠有是非的判斷
[00:02:14.840 --> 00:02:17.280]  能夠有公義在那裏來發生
[00:02:17.280 --> 00:02:19.200]  神興起了這些「時詩」裏面
[00:02:19.200 --> 00:02:21.640]  其中一個就叫做「祭奠」
[00:02:21.640 --> 00:02:25.160]  這個「祭奠」它所面對的世代是怎樣的世代呢?
[00:02:25.160 --> 00:02:26.200]  你回家的時候
[00:02:26.200 --> 00:02:27.720]  我們每個星期都這樣
[00:02:27.720 --> 00:02:30.480]  多謝黃耀輝牧師將神位教導我們
[00:02:30.480 --> 00:02:31.880]  我們回去看《聖經》
[00:02:31.880 --> 00:02:32.960]  《聖經》怎麼說呢?
[00:02:32.960 --> 00:02:36.360]  在《時詩記》第六章第一節到第六節
[00:02:36.360 --> 00:02:38.480]  就說當時的背景
[00:02:38.480 --> 00:02:40.520]  他們面對著兩種的敵人
[00:02:40.520 --> 00:02:43.240]  一種的敵人就叫做「米殿」
[00:02:43.240 --> 00:02:45.920]  第二種的敵人就看回那個《聖經》
[00:02:45.920 --> 00:02:46.920]  剛才我看到的
[00:02:46.920 --> 00:02:53.280]  一個「米殿人」另一種的敵人就叫做「阿瑪利人」
[00:02:53.280 --> 00:02:54.360]  這兩種的敵人
[00:02:54.360 --> 00:02:56.600]  這兩種敵人有什麼特別的地方呢?
[00:02:56.600 --> 00:03:02.240]  「米殿人」他們就是約旦河東的一個遊牧的民族
[00:03:02.240 --> 00:03:04.280]  他們是坐享其成的
[00:03:04.280 --> 00:03:06.680]  見到以色列人他們又收割了
[00:03:06.680 --> 00:03:08.200]  他們有好的結果了
[00:03:08.200 --> 00:03:09.520]  就來搶糧
[00:03:09.520 --> 00:03:10.600]  親愛的弟妹
[00:03:10.600 --> 00:03:13.360]  我們浙江街附近都有匯豐銀行
[00:03:13.360 --> 00:03:15.200]  假如今天5月1日
[00:03:15.200 --> 00:03:17.560]  你剛好出糧 今天是星期日
