
[00:00:00.000 --> 00:00:03.640]  去年原本想說今年我要講菲律賓書
[00:00:03.640 --> 00:00:06.040]  那麼
[00:00:06.040 --> 00:00:09.360]  最近這一個月發生太多事情了
[00:00:09.360 --> 00:00:11.420]  所以我決定講
[00:00:11.420 --> 00:00:13.160]  啟示錄
[00:00:13.160 --> 00:00:17.000]  今天我們讀了這段聖經裡面
[00:00:17.000 --> 00:00:18.840]  讓我們看清這件事情
[00:00:18.840 --> 00:00:21.700]  首先你來看
[00:00:21.700 --> 00:00:26.460]  這段聖經裡面告訴我們說日期近了
[00:00:26.460 --> 00:00:27.460]  對不對
[00:00:27.460 --> 00:00:29.420]  是不是
[00:00:29.680 --> 00:00:31.480]  什麼地方說日期近了
[00:00:31.480 --> 00:00:35.360]  我們看一下第一章
[00:00:35.360 --> 00:00:38.360]  在第三節這裡說
[00:00:38.360 --> 00:00:42.400]  因為日期近了
[00:00:42.400 --> 00:00:43.400]  是不是
[00:00:43.400 --> 00:00:47.380]  所以啟示錄是在講什麼呢
[00:00:47.380 --> 00:00:50.760]  啟示錄是在講有關
[00:00:50.760 --> 00:00:53.880]  這個以後要必成的事情
[00:00:53.880 --> 00:00:56.040]  也就是將來的事情對不對
[00:00:57.780 --> 00:01:01.320]  那中指揮這個日期是指的什麼日期呢
[00:01:01.320 --> 00:01:03.340]  什麼日期
[00:01:03.340 --> 00:01:06.780]  好很重要
[00:01:06.780 --> 00:01:09.940]  現在末世論是一個非常重要的主題
[00:01:09.940 --> 00:01:12.360]  我不講你也會發現
[00:01:12.360 --> 00:01:16.220]  網上這個視頻一大堆的東西都會出來
[00:01:16.220 --> 00:01:18.320]  那我今天會稍微提一下
[00:01:18.320 --> 00:01:21.460]  所以你一定要知道分辨
[00:01:21.460 --> 00:01:24.960]  不然的話太多的東西會讓我們整個混淆了
[00:01:25.920 --> 00:01:28.900]  聖經上告訴我們說這個日期是指的什麼呢
[00:01:28.900 --> 00:01:34.060]  首先第一章啟示錄第一章一開始就提到說
[00:01:34.060 --> 00:01:37.360]  耶穌基督的啟示對不對
[00:01:37.360 --> 00:01:41.420]  就是神賜給他叫他將
[00:01:41.420 --> 00:01:44.140]  必要快成的事
[00:01:44.140 --> 00:01:47.520]  必要快成的事
[00:01:47.520 --> 00:01:50.880]  這一句話啟示錄裡面好幾處提到
[00:01:50.880 --> 00:01:52.380]  必要快成的事情
[00:01:52.380 --> 00:01:55.140]  所以這件事情是一定會成就的
[00:01:55.340 --> 00:01:57.720]  這些事情是快要成就的
[00:01:57.720 --> 00:01:59.720]  表示還沒有成就對不對
[00:01:59.720 --> 00:02:01.620]  那中指揮
[00:02:01.620 --> 00:02:06.020]  這個日期在聖經上裡面很多的地方都提到
[00:02:06.020 --> 00:02:08.540]  聖經上舊約裡面講到那個日子
[00:02:08.540 --> 00:02:10.540]  講到那個憤怒的日子
[00:02:10.540 --> 00:02:13.420]  講到那一個黑暗蜜雲的日子
[00:02:13.420 --> 00:02:17.480]  這個日子在新約裡面就很清楚講到
[00:02:17.480 --> 00:02:20.560]  是主來的日子
[00:02:20.560 --> 00:02:24.400]  但是你可以看見不信主的人也講那個日子
[00:02:24.640 --> 00:02:25.480]  有沒有
[00:02:25.480 --> 00:02:27.580]  電影裡面講末日破鏡了
[00:02:27.580 --> 00:02:28.620]  末日來了
[00:02:28.620 --> 00:02:31.180]  末日什麼時候發生對不對
[00:02:31.180 --> 00:02:32.860]  中指揮
[00:02:32.860 --> 00:02:35.600]  末日跟主的再來
[00:02:35.600 --> 00:02:37.600]  這兩個是連結在一起的
[00:02:37.600 --> 00:02:40.320]  可是你如果只知道末日
[00:02:40.320 --> 00:02:42.320]  你就看不見盼望
[00:02:42.320 --> 00:02:43.980]  你知道主再來
[00:02:43.980 --> 00:02:44.820]  你就會有盼望
[00:02:44.820 --> 00:02:45.680]  Amen
[00:02:45.680 --> 00:02:48.140]  好
[00:02:48.140 --> 00:02:50.140]  我們怎麼知道那日期進來
[00:02:54.220 --> 00:02:55.560]  最近你看
[00:02:55.560 --> 00:02:57.560]  東非的蝗災有沒有
[00:02:57.560 --> 00:03:01.360]  在這個索馬利亞
[00:03:01.360 --> 00:03:04.120]  還有這個那個
[00:03:04.120 --> 00:03:06.000]  那個叫做什麼
[00:03:06.000 --> 00:03:08.520]  這個地方
[00:03:08.520 --> 00:03:13.400]  這個國內把它翻成叫做埃薩厄比亞
[00:03:13.400 --> 00:03:17.180]  Actually就是衣索匹亞
[00:03:17.180 --> 00:03:19.120]  那麼
[00:03:19.120 --> 00:03:23.320]  還有肯尼亞其實就是肯亞
[00:03:23.320 --> 00:03:25.320]  這三個國家
[00:03:25.320 --> 00:03:30.520]  這個蝗災已經造成它整個的農作物都被吃光了
[00:03:30.520 --> 00:03:34.320]  我們當中不知道有沒有人經歷過蝗災
[00:03:34.320 --> 00:03:36.320]  我們聽過都沒經歷過
[00:03:36.320 --> 00:03:38.320]  也許老一輩的經歷過
[00:03:38.320 --> 00:03:40.320]  那蝗蟲一過境的時候
[00:03:40.320 --> 00:03:42.320]  所有的都吃光了
[00:03:42.320 --> 00:03:44.320]  青色的都沒了
[00:03:44.320 --> 00:03:45.320]  很可怕
[00:03:45.320 --> 00:03:50.920]  大約兩千萬的人在現在會面臨到這個飢餓會危機
[00:03:50.920 --> 00:03:52.920]  會可能會餓死
[00:03:52.920 --> 00:03:54.920]  你能不能想像這件事情
[00:03:54.920 --> 00:03:56.920]  而這個蝗災還沒有結束
[00:03:56.920 --> 00:03:58.920]  它現在繼續往那個巴基斯坦
[00:03:58.920 --> 00:04:01.920]  還有往那個什麼沙烏地阿拉伯
[00:04:01.920 --> 00:04:04.920]  你大概看到網上沒有講說
[00:04:04.920 --> 00:04:06.920]  它要往中國去了
[00:04:06.920 --> 00:04:08.920]  中國還有網民說沒有關係它來
[00:04:08.920 --> 00:04:12.920]  我們把它做串燒
[00:04:12.920 --> 00:04:15.920]  中國人實在是拜託了
[00:04:15.920 --> 00:04:18.920]  這種視頻流出去人家會笑掉人家大牙
[00:04:18.920 --> 00:04:20.920]  覺得一點都沒有同情心
[00:04:20.920 --> 00:04:22.920]  你懂我意思嗎
[00:04:22.920 --> 00:04:23.920]  各位同學
[00:04:23.920 --> 00:04:25.920]  但是你可以看見聖經上提到
[00:04:25.920 --> 00:04:27.920]  這些蝗蟲的災
[00:04:27.920 --> 00:04:29.920]  這些的旱災
[00:04:29.920 --> 00:04:30.920]  西荒
[00:04:30.920 --> 00:04:33.920]  這些都是主耶穌再來之前會發生的預兆
[00:04:33.920 --> 00:04:34.920]  對不對
[00:04:34.920 --> 00:04:38.920]  那當然跟我們中國人最直接有關係的就是最近的什麼事情
[00:04:38.920 --> 00:04:39.920]  武漢肺炎
[00:04:39.920 --> 00:04:40.920]  這是最新的統計
[00:04:40.920 --> 00:04:45.920]  現在全球已經有七萬八千七百三十個這個案例
[00:04:45.920 --> 00:04:48.920]  有兩千四百六十二個死亡
[00:04:48.920 --> 00:04:50.920]  對不對
[00:04:50.920 --> 00:04:53.920]  今年你看大家都準備要過春節的時候
[00:04:53.920 --> 00:04:55.920]  誰會想到發生這種事情
[00:04:55.920 --> 00:04:58.920]  當這個春節之前的時候
[00:04:58.920 --> 00:05:00.920]  我看報紙還在想
[00:05:00.920 --> 00:05:02.920]  這個中國春運每一年春運的時候
[00:05:02.920 --> 00:05:07.920]  幾億人在陸上海上空中這樣子運
[00:05:07.920 --> 00:05:10.920]  那是一個非常busy的一個時機
[00:05:10.920 --> 00:05:11.920]  但是你能不能想到
[00:05:11.920 --> 00:05:14.920]  就在這樣子一個情況之下
[00:05:14.920 --> 00:05:21.920]  竟然中國會變成是一個好像是死城一樣
[00:05:21.920 --> 00:05:23.920]  你看這些現象的時候
[00:05:23.920 --> 00:05:24.920]  不要只是看地上
[00:05:24.920 --> 00:05:27.920]  要看天上
[00:05:27.920 --> 00:05:31.920]  這都是出於神的手
[00:05:31.920 --> 00:05:32.920]  末日的時候
[00:05:32.920 --> 00:05:35.920]  這些事情都要發生
[00:05:35.920 --> 00:05:37.920]  所以我們稱這一次武漢的疫情
[00:05:37.920 --> 00:05:44.920]  用聖經上的話來講叫做瘟疫
[00:05:44.920 --> 00:05:47.920]  就準備日期近了
[00:05:47.920 --> 00:05:49.920]  世界上的人都知道末日近了
[00:05:49.920 --> 00:05:51.920]  但是我們新竹人知道
[00:05:51.920 --> 00:05:54.920]  主來的日子近了
[00:05:54.920 --> 00:05:57.920]  所以啟示錄在這裡告訴我們說
[00:05:57.920 --> 00:05:59.920]  我們讀這卷書
[00:05:59.920 --> 00:06:00.920]  我們看一下第三節
[00:06:00.920 --> 00:06:03.920]  我們再一起來念好不好
[00:06:03.920 --> 00:06:07.920]  念這書上預言的
[00:06:07.920 --> 00:06:11.920]  和那些聽見又遵守其中所記載的
[00:06:11.920 --> 00:06:15.920]  都是有福的
[00:06:15.920 --> 00:06:17.920]  所以這裡提到說
[00:06:17.920 --> 00:06:20.920]  念這書上預言的
[00:06:20.920 --> 00:06:22.920]  聽見又遵守其中所記載的
[00:06:22.920 --> 00:06:24.920]  都是有福的
[00:06:24.920 --> 00:06:26.920]  所以親愛的兄姊妹
[00:06:26.920 --> 00:06:30.920]  也許你做基督徒做了這麼多年
[00:06:30.920 --> 00:06:35.920]  可能啟示錄你一看就不敢看
[00:06:35.920 --> 00:06:39.920]  有沒有人把啟示錄整個看過一遍
[00:06:39.920 --> 00:06:40.920]  我知道聽到今天早上
[00:06:40.920 --> 00:06:43.920]  好像新約班正在講啟示錄
