
[00:00:00.000 --> 00:00:07.480]  不知道大家剛纔聽那段經文的時候有沒有覺得好像有點很熟悉的感覺
[00:00:07.480 --> 00:00:14.920]  因爲在三個星期前,就是九月的第一個禮拜,我就講了馬可福音的十一章
[00:00:14.920 --> 00:00:20.200]  那次的講題是隻有耶子,就是一個問號來的
[00:00:20.200 --> 00:00:26.400]  那大家還記得那次我講的那十一章,馬可的十一章
[00:00:26.400 --> 00:00:33.400]  耶穌他做了一件什麼很特別的事情,還記得嗎?
[00:00:33.400 --> 00:00:41.200]  我聽到有些人在講,就是耶穌在咒煮無花果樹
[00:00:41.200 --> 00:00:46.600]  耶穌一咒煮這個無花果樹,他說永遠再沒有人喫你的果子了
[00:00:46.600 --> 00:00:50.800]  結果第二天的早上,他們來到無花果樹面前
[00:00:50.800 --> 00:00:54.800]  就發現這個無花果樹真的連根都枯乾了
[00:00:54.800 --> 00:01:00.800]  那耶穌藉着這件事情,是要帶出聖殿將要面對的審判
[00:01:00.800 --> 00:01:05.400]  和以色列人被棄絕的事情
[00:01:05.400 --> 00:01:09.400]  來到今天馬可的十三章的一到十節
[00:01:09.400 --> 00:01:18.000]  耶穌就跟他的門徒進一步的來從聖殿論到末世的事情
[00:01:18.000 --> 00:01:23.600]  那我們現在先看一下今天這段經文的分段和內容
[00:01:23.600 --> 00:01:28.000]  如果你仔細去看的話,你會看到第一和第二節
[00:01:28.000 --> 00:01:32.900]  其實是耶穌預言聖殿會被毀
[00:01:32.900 --> 00:01:37.000]  第三第四節就是帶出門徒的疑惑
[00:01:37.000 --> 00:01:41.900]  然後接着就是耶穌的回應
[00:01:41.900 --> 00:01:44.800]  那這個馬可的十三章
[00:01:44.800 --> 00:01:50.700]  有的人就說這整章被稱爲橄欖山上的講論
[00:01:50.700 --> 00:01:54.000]  或者叫馬可的天啓論
[00:01:54.000 --> 00:01:57.400]  還有就是終末論的講論
[00:01:57.400 --> 00:02:03.000]  這整章的經文是馬可福音最長的連續講論
[00:02:03.000 --> 00:02:09.800]  現在我們集中來看一到十節經文的信息
[00:02:09.800 --> 00:02:13.000]  首先我們會從頭兩節
[00:02:13.000 --> 00:02:18.800]  我們會看到耶穌預言聖殿的被毀
[00:02:18.800 --> 00:02:22.500]  當門徒和耶穌從聖殿出來之後
[00:02:22.500 --> 00:02:26.100]  門徒仍在留戀聖殿的華美
[00:02:26.100 --> 00:02:28.400]  所以他們說夫子請看
[00:02:28.400 --> 00:02:31.600]  這是何等的石頭何等的電雨
[00:02:31.600 --> 00:02:36.400]  那到底門徒在這裏他們看到什麼呢
[00:02:36.400 --> 00:02:41.900]  那如果大家對以色列的歷史有一點認識的話
[00:02:41.900 --> 00:02:48.300]  我們都會都知道在主前的587年
[00:02:48.300 --> 00:02:53.300]  所羅門在主前900年所建的那個第一聖殿
[00:02:53.300 --> 00:02:57.300]  就被巴比倫這個來徹底的摧毀
[00:02:57.300 --> 00:02:58.400]  那現在呢
[00:02:58.400 --> 00:03:02.000]  經文裏面提到門徒所看到的這個聖殿
[00:03:02.000 --> 00:03:05.400]  就是大西律在耶穌出生前
[00:03:05.400 --> 00:03:09.700]  就已經開始擴建重修的第二聖殿
[00:03:09.700 --> 00:03:16.200]  這個第二聖殿就是到了主前的516年
[00:03:16.200 --> 00:03:22.400]  就是那個所羅巴伯他重建的第二聖殿
[00:03:22.400 --> 00:03:24.800]  這個大西剛纔說這個大西律了
[00:03:24.800 --> 00:03:27.000]  就是馬太福音第二章提到
[00:03:27.000 --> 00:03:31.700]  他想殺死兩歲以下的嬰孩的那個統治
[00:03:31.700 --> 00:03:35.100]  整個猶太地區的統治者
[00:03:35.100 --> 00:03:38.400]  那這個重修過的這個第二聖殿呢
[00:03:38.400 --> 00:03:40.400]  非常的美麗壯觀
[00:03:40.400 --> 00:03:46.300]  甚至呢被被列爲古代建築物世界的奇觀之一
[00:03:46.300 --> 00:03:48.600]  曾經有猶太的拉比呢
[00:03:48.600 --> 00:03:49.800]  就這樣說
[00:03:49.800 --> 00:03:55.600]  他說如果有人沒有見過這個殿宇的完成的那個相貌
[00:03:55.600 --> 00:03:57.900]  那麼在他的生命當中
[00:03:57.900 --> 00:04:02.200]  就絕對還沒有見過一座榮美的建築
[00:04:02.200 --> 00:04:06.300]  所以你可以想象爲什麼門徒有這個說法
[00:04:06.300 --> 00:04:07.800]  這是何等的石頭
[00:04:07.800 --> 00:04:09.900]  何等的殿宇
[00:04:09.900 --> 00:04:15.200]  因爲當時那個聖殿確實是很很很榮美啊
[00:04:15.200 --> 00:04:15.800]  可是呢
[00:04:15.800 --> 00:04:24.700]  耶穌的回應馬上就像一盆冷水這樣潑下潑過去
[00:04:24.700 --> 00:04:26.900]  耶穌的回應是什麼
[00:04:26.900 --> 00:04:31.700]  他說將來在這裏沒有一塊石頭留在石頭上
[00:04:31.700 --> 00:04:34.600]  不被拆毀了
[00:04:34.600 --> 00:04:36.600]  這個快要完工的聖殿
[00:04:36.600 --> 00:04:38.600]  雖然非常的宏偉
[00:04:38.600 --> 00:04:41.100]  非常的吸引人的眼目
[00:04:41.100 --> 00:04:45.400]  但是神接着耶穌在馬可十一章的時候
[00:04:45.400 --> 00:04:48.800]  已經對他發出了審判的訊息
