
[00:00:00.000 --> 00:00:03.640]  以佛所述第六章第一到第四節的經文
[00:00:03.640 --> 00:00:05.300]  這裡說你們做兒女的
[00:00:05.300 --> 00:00:07.080]  要在祖裡聽從父母
[00:00:07.080 --> 00:00:08.580]  這是理所當然的
[00:00:08.580 --> 00:00:09.960]  要孝敬父母
[00:00:09.960 --> 00:00:11.160]  使你得福
[00:00:11.160 --> 00:00:12.660]  在世長壽
[00:00:12.660 --> 00:00:15.440]  這是第一條帶應許的誡命
[00:00:15.440 --> 00:00:17.960]  你們做父親的不要惹兒女的氣
[00:00:17.960 --> 00:00:20.600]  只要照著主的教訓和警戒
[00:00:20.600 --> 00:00:21.960]  養育他們
[00:00:21.960 --> 00:00:23.960]  我們就讀到這裡
[00:00:23.960 --> 00:00:25.280]  今天是母親節
[00:00:25.280 --> 00:00:27.040]  我要首先在這裡恭賀
[00:00:27.040 --> 00:00:29.400]  在我們中間每一位偉大的母親
[00:00:29.400 --> 00:00:31.400]  母親節非常非常快樂
[00:00:31.400 --> 00:00:33.400]  我們在這裡祝賀大家
[00:00:33.400 --> 00:00:38.280]  許多時候我們領受了母親的愛
[00:00:38.280 --> 00:00:40.480]  常常覺得習以為常
[00:00:40.480 --> 00:00:42.480]  不覺得有什麼特別
[00:00:42.480 --> 00:00:43.800]  但事實上我們看見
[00:00:43.800 --> 00:00:45.800]  母親在我們身上的愛
[00:00:45.800 --> 00:00:47.800]  所付出的愛是遠遠
[00:00:47.800 --> 00:00:50.400]  超過我們所能夠領會的
[00:00:50.400 --> 00:00:52.400]  我們從小長大
[00:00:52.400 --> 00:00:56.000]  母親在我們身上的愛跟掛念
[00:00:56.000 --> 00:00:58.400]  也是永不止息的
[00:00:58.400 --> 00:01:00.400]  所以在這裡真的再一次讓我向
[00:01:00.400 --> 00:01:02.400]  我們中間每一位母親
[00:01:02.400 --> 00:01:04.400]  說一聲謝謝你
[00:01:04.400 --> 00:01:06.400]  是因為你們的愛
[00:01:06.400 --> 00:01:08.400]  讓我們能夠明白上帝的愛
[00:01:08.400 --> 00:01:11.400]  是何等長闊高深
[00:01:11.400 --> 00:01:12.400]  Amen
[00:01:12.400 --> 00:01:15.400]  有人說在現今的世代
[00:01:15.400 --> 00:01:17.400]  教養兒女是一件
[00:01:17.400 --> 00:01:19.400]  教人謙卑的功課
[00:01:19.400 --> 00:01:21.400]  但事實上不只在
[00:01:21.400 --> 00:01:23.400]  現今的世代是如此
[00:01:23.400 --> 00:01:25.400]  自古以來
[00:01:25.400 --> 00:01:27.400]  兩代之間的衝突
[00:01:27.400 --> 00:01:29.400]  一直是家庭當中
[00:01:29.400 --> 00:01:31.400]  主要的危機
[00:01:31.400 --> 00:01:33.400]  在聖經裡面
[00:01:33.400 --> 00:01:35.400]  浪子回頭的故事
[00:01:35.400 --> 00:01:37.400]  就是最好的一個例子
[00:01:37.400 --> 00:01:40.400]  只不過在現今的世代當中
[00:01:40.400 --> 00:01:42.400]  兩代之間
[00:01:42.400 --> 00:01:46.400]  一種在文化在價值觀上的衝突
[00:01:46.400 --> 00:01:48.400]  是遠比以前的世代
[00:01:48.400 --> 00:01:50.400]  更加的厲害
[00:01:50.400 --> 00:01:52.400]  以前做父母的人
[00:01:52.400 --> 00:01:54.400]  在教養兒女的事情上
[00:01:54.400 --> 00:01:57.400]  是無上的權威
[00:01:57.400 --> 00:01:58.400]  現在呢
[00:01:58.400 --> 00:02:00.400]  父母只不過是
[00:02:00.400 --> 00:02:03.400]  眾多選擇中的一個而已
[00:02:03.400 --> 00:02:04.400]  所以我們看見
