
[00:00:00.000 --> 00:00:05.900]  如果你是來教會的就知道我們剛剛所講的系列叫做"爲什麼"
[00:00:05.900 --> 00:00:08.360]  我們講了三個"爲什麼"
[00:00:08.360 --> 00:00:14.040]  今天就要講"爲什麼耶穌是唯一的道路"
[00:00:14.040 --> 00:00:16.820]  我不知道在座有沒有一些無道的朋友
[00:00:16.820 --> 00:00:18.320]  或者基督徒也好
[00:00:18.320 --> 00:00:21.120]  當你聽到耶穌這樣說
[00:00:21.120 --> 00:00:24.120]  "我就是道路、真理、生命"
[00:00:24.120 --> 00:00:29.520]  "若不借着我,沒有人能到我父那裏去"
[00:00:29.520 --> 00:00:32.060]  當然我知道大部分人相信主
[00:00:32.060 --> 00:00:34.060]  但是你心中對這句話
[00:00:34.060 --> 00:00:37.420]  聽了之後有什麼反應沒有呢?
[00:00:37.420 --> 00:00:39.420]  有什麼感覺沒有呢?
[00:00:39.420 --> 00:00:41.620]  我們當中不知道會不會有人覺得
[00:00:41.620 --> 00:00:45.420]  哇!耶穌多麼自大、多麼狂妄
[00:00:45.420 --> 00:00:48.140]  你知道了,條條大路通羅馬
[00:00:48.140 --> 00:00:50.140]  爲什麼你會是唯一的道路
[00:00:50.140 --> 00:00:53.360]  爲什麼你會這樣說話呢?
[00:00:53.360 --> 00:00:55.360]  我不知道在我們座裏面
[00:00:55.360 --> 00:00:57.360]  你對着牧師是不敢說的
[00:00:57.360 --> 00:00:59.960]  不過心裏面有一個想法
[00:00:59.960 --> 00:01:04.640]  "基督教好就好了,不過有一樣不好"
[00:01:04.640 --> 00:01:07.560]  "排他咯,只有你那個纔是神"
[00:01:07.560 --> 00:01:10.360]  "其他的好像全部都不是神"
[00:01:10.360 --> 00:01:15.480]  "基督教不能夠包容其他的宗教信仰"
[00:01:15.480 --> 00:01:19.560]  這些可能在心裏想,但說不出口也不一定
[00:01:19.560 --> 00:01:22.080]  我不知道有沒有人聽到這句話的時候
[00:01:22.080 --> 00:01:23.560]  心裏面覺得
[00:01:23.560 --> 00:01:25.920]  "基督教好的,不錯的"
[00:01:25.920 --> 00:01:28.160]  不過在美國這個社會里面來說
