
[00:00:00.000 --> 00:00:03.000]  當我想到我要講道的時候
[00:00:03.000 --> 00:00:06.000]  我的心裡面就有一個字
[00:00:06.000 --> 00:00:09.000]  我只是想今天跟大家講一個字
[00:00:09.000 --> 00:00:13.000]  那個字就是SALOM
[00:00:13.000 --> 00:00:16.000]  可能大家都聽過這個字
[00:00:16.000 --> 00:00:18.000]  SALOM 平安的意思
[00:00:18.000 --> 00:00:21.000]  在基督教的圈子裡面
[00:00:21.000 --> 00:00:25.000]  都還不是很常見到面
[00:00:25.000 --> 00:00:26.000]  SALOM 這樣
[00:00:26.000 --> 00:00:28.000]  但我想大家都會聽過
[00:00:28.000 --> 00:00:30.000]  提過
[00:00:30.000 --> 00:00:31.000]  就是我們今天讀的經文
[00:00:31.000 --> 00:00:33.000]  耶和華SALOM
[00:00:33.000 --> 00:00:34.000]  SALOM
[00:00:34.000 --> 00:00:36.000]  這個是希伯來文
[00:00:36.000 --> 00:00:38.000]  是講平安的意思
[00:00:38.000 --> 00:00:40.000]  希伯來人他見面的時候
[00:00:40.000 --> 00:00:42.000]  他會說SALOM
[00:00:42.000 --> 00:00:44.000]  就是平安
[00:00:44.000 --> 00:00:46.000]  一個見面語
[00:00:46.000 --> 00:00:48.000]  分手的時候
[00:00:48.000 --> 00:00:49.000]  他會說SALOM
[00:00:49.000 --> 00:00:51.000]  一個祝福語
[00:00:51.000 --> 00:00:55.000]  我今天跟大家見面
[00:00:55.000 --> 00:00:59.000]  所以我就要跟大家講這個SALOM 平安
[00:00:59.000 --> 00:01:05.000]  SALOM 有三重的意思
[00:01:05.000 --> 00:01:11.000]  我們先講這段經文的出處
[00:01:11.000 --> 00:01:13.000]  這段經文的出處
[00:01:13.000 --> 00:01:16.000]  就是在二世詩記的第六章
[00:01:16.000 --> 00:01:18.000]  二世詩記的第六章
[00:01:18.000 --> 00:01:21.000]  就是上帝向基甸顯現
[00:01:21.000 --> 00:01:23.000]  呼召他
[00:01:23.000 --> 00:01:25.000]  成為一個時詩
[00:01:25.000 --> 00:01:27.000]  要帶領以色列人
[00:01:27.000 --> 00:01:31.000]  脫離當時迦南人對他們那種的轄制
[00:01:31.000 --> 00:01:33.000]  我相信基甸的故事
[00:01:33.000 --> 00:01:35.000]  特別是基甸的三百人
[00:01:35.000 --> 00:01:37.000]  是一個很熟悉的故事
[00:01:37.000 --> 00:01:40.000]  基甸的時代是什麼時代呢
[00:01:40.000 --> 00:01:42.000]  我們說是時詩時代
[00:01:42.000 --> 00:01:44.000]  時詩時代
[00:01:44.000 --> 00:01:46.000]  在整個聖經歷史裡面
[00:01:46.000 --> 00:01:48.000]  我們說是一個前王國的時代
[00:01:48.000 --> 00:01:51.000]  就是當時以色列人中沒有王
[00:01:52.000 --> 00:01:54.000]  各人任意而行
[00:01:54.000 --> 00:01:57.000]  這是時詩記結尾的時候的總結
[00:01:57.000 --> 00:02:00.000]  就是以色列人當中沒有王
[00:02:00.000 --> 00:02:03.000]  大家就照自己的意思去走
[00:02:03.000 --> 00:02:05.000]  沒辦法凝聚
[00:02:05.000 --> 00:02:08.000]  所以去到時詩記之後
[00:02:08.000 --> 00:02:10.000]  以色列人就要想有王
[00:02:10.000 --> 00:02:12.000]  好像當地人那樣
[00:02:12.000 --> 00:02:13.000]  有一個權威
[00:02:13.000 --> 00:02:14.000]  有一個核心
[00:02:14.000 --> 00:02:15.000]  有一個領導
[00:02:15.000 --> 00:02:17.000]  以致我們可以凝聚
[00:02:18.000 --> 00:02:22.000]  我們說時詩記是一個前權威時代
[00:02:22.000 --> 00:02:24.000]  沒有權威
[00:02:24.000 --> 00:02:26.000]  沒有一個人可以發師號令說
[00:02:26.000 --> 00:02:27.000]  你聽我說
[00:02:27.000 --> 00:02:29.000]  然後他可以統領
[00:02:29.000 --> 00:02:30.000]  沒有
[00:02:30.000 --> 00:02:32.000]  各人任意而行
[00:02:32.000 --> 00:02:33.000]  還是一個什麼呢
